ticker,checkpoint_type,time_utc,time_kst,price,price_status,execution_status,source,return_from_first_shadow_pct,return_from_live_intent_pct,notes
ANET,first_shadow_signal,2026-07-02T00:00:17.353337+00:00,2026-07-02T09:00:17.353337+09:00,166.70140000,logged_shadow_entry,not_live_filled,candidate_selection_audit_20260710/anet_bb_entry_signal_events.csv,0.00000000,,"first preserved shadow entry used for shadow-origin comparison"
ANET,live_order_intent_snapshot,2026-07-09T18:12:20.354401+00:00,2026-07-10T03:12:20.354401+09:00,184.74000549,actual_pre_order_candidate_quote,not_confirmed_filled,real_dashboard_manual_buy_intent.json,10.82090822,0.00000000,"hypothetical entry basis only; order remained pending_new with filled_shares=0"
ANET,stored_20260710_candidate_quote,2026-07-10T10:01:08.341463+00:00,2026-07-10T19:01:08.341463+09:00,184.22000000,stored_quote_not_official_close,not_confirmed_filled,real_dashboard_buy_candidates.json,10.50981084,-0.28148220,"not the 2026-07-10 official close; repository lacks final close OHLC"
BB,first_shadow_signal,2026-07-01T13:41:02.197363+00:00,2026-07-01T22:41:02.197363+09:00,12.86499977,logged_shadow_entry,not_live_filled,candidate_selection_audit_20260710/anet_bb_entry_signal_events.csv,0.00000000,,"first preserved shadow entry used for shadow-origin comparison"
BB,live_order_intent_snapshot,2026-07-09T18:08:58.353732+00:00,2026-07-10T03:08:58.353732+09:00,11.47719955,actual_pre_order_candidate_quote,not_confirmed_filled,real_dashboard_manual_buy_intent.json,-10.78740957,0.00000000,"hypothetical entry basis only; order remained pending_new with filled_shares=0"
BB,stored_20260710_candidate_quote,2026-07-10T10:01:08.341463+00:00,2026-07-10T19:01:08.341463+09:00,11.41470000,stored_quote_not_official_close,not_confirmed_filled,real_dashboard_buy_candidates.json,-11.27361100,-0.54455245,"not the 2026-07-10 official close; repository lacks final close OHLC"
CE,first_shadow_signal,2026-07-02T20:02:04.692517+00:00,2026-07-03T05:02:04.692517+09:00,48.00000000,logged_strategy_shadow_entry,confirmed_live_fill_later,elite_strategy_sim_state.json,0.00000000,,"earliest preserved CE shadow/sim entry; elite shadow regular entry followed at 48.63 on 2026-07-03"
CE,live_order_candidate_snapshot,2026-07-08T14:27:15.330072+00:00,2026-07-08T23:27:15.330072+09:00,48.61000061,actual_pre_order_candidate_quote,confirmed_live_fill_later,real_dashboard_manual_buy_intent.json,1.27083460,0.07926544,"candidate quote; actual average fill was 48.5715"
CE,actual_live_average_fill,, ,48.57150000,confirmed_average_fill,confirmed_live_fill,real_dashboard_alpaca_exit_orders.json,1.19062500,0.00000000,"actual fill timestamp absent"
CE,older_position_snapshot,2026-07-08T17:03:20.895655+00:00,2026-07-09T02:03:20.895655+09:00,47.93500137,stored_live_position_quote,confirmed_live_fill,real_dashboard_alpaca_exit_orders.json,-0.13541381,-1.31043642,"source of previously reported -1.31% unrealized pnl"
CE,latest_preserved_quote,2026-07-11T06:23:54.503141+00:00,2026-07-11T15:23:54.503141+09:00,46.88000000,stored_fractional_exit_watch_quote,confirmed_live_fill,real_dashboard_alpaca_exit_orders.json,-2.33333333,-3.48249488,"latest preserved quote after the 2026-07-10 US session; treated as close-adjacent stored quote, not certified official close"
