indicator,family,definition,formula,required_window,source_location,live_storage_status,storage_basis,d1_completed_bar_only,d0_leak_risk,candidate_set_status,notes
atr14_pct,VOLATILITY_LEVEL,14일 Wilder ATR의 종가 대비 비율,100*ATR14[D-1]/Close[D-1],D-15~D-1,engine/core/indicators.py:64-77;130-132,STORED,live OHLCV frame에서 calc_indicators가 보장,TRUE,LOW,INCLUDE,"가격 단위가 다른 종목 간 비교 가능"
atr14_pct_chg1,VOLATILITY_CHANGE,ATR 비율의 1일 변화,ATR_pct[D-1]-ATR_pct[D-2],D-16~D-1,3048579f:run_range_predictor_stage2_v3.py:406-410,STORED,ATR_pct에서 D-1 시점 계산 가능,TRUE,LOW,INCLUDE,"변동성 확대 속도"
true_range_d1_pct,VOLATILITY_EVENT,D-1 true range의 종가 대비 비율,"100*max(H-L,abs(H-prevClose),abs(L-prevClose))/Close",D-2~D-1,engine/core/indicators.py:64-77,STORED,OHLCV 원자료에서 계산,TRUE,LOW,INCLUDE,"overnight gap까지 range에 포함"
intraday_range_d1_pct,VOLATILITY_EVENT,D-1 고저폭의 종가 대비 비율,100*(High[D-1]-Low[D-1])/Close[D-1],D-1,3048579f:run_range_predictor_stage2_v3.py:332-365,STORED,OHLCV 원자료에서 계산,TRUE,LOW,INCLUDE,"true range와 고상관 예상"
range_vs_atr14,VOLATILITY_EVENT,D-1 고저폭의 ATR 대비 배수,(High[D-1]-Low[D-1])/ATR14[D-1],D-15~D-1,3048579f:run_range_predictor_stage2_v3.py:397-398,STORED,OHLCV+ATR에서 계산,TRUE,LOW,INCLUDE,"당일 range 확장 정도"
range_vs_range5,VOLATILITY_EVENT,D-1 range의 직전 5일 평균 range 대비 배수,range_pct[D-1]/mean(range_pct[D-6:D-2]),D-6~D-1,3048579f:run_range_predictor_stage2_v3.py:399,STORED,OHLCV 원자료에서 계산,TRUE,LOW,INCLUDE,"분모에서 D-1 제외"
range_vs_range20,VOLATILITY_EVENT,D-1 range의 직전 20일 평균 range 대비 배수,range_pct[D-1]/mean(range_pct[D-21:D-2]),D-21~D-1,3048579f:run_range_predictor_stage2_v3.py:400,STORED,OHLCV 원자료에서 계산,TRUE,LOW,INCLUDE,"분모에서 D-1 제외"
mean_range3_pct,VOLATILITY_LEVEL,최근 3개 완료봉 평균 고저폭,mean(100*(High-Low)/Close over D-3..D-1),D-3~D-1,3048579f:run_range_predictor_stage2_v3.py:418-420,STORED,OHLCV 원자료에서 계산,TRUE,LOW,INCLUDE,"단기 실현 range 수준"
mean_range5_pct,VOLATILITY_LEVEL,최근 5개 완료봉 평균 고저폭,mean(100*(High-Low)/Close over D-5..D-1),D-5~D-1,3048579f:run_range_predictor_stage2_v3.py:418-420,STORED,OHLCV 원자료에서 계산,TRUE,LOW,INCLUDE,"range predictor의 STK_vol5"
realized_vol5_pct,VOLATILITY_LEVEL,최근 5일 종가수익률 표준편차,std(ret_pct[D-5:D-1]),D-6~D-1,frozen OHLCV derivation,STORED,Close 원자료에서 계산,TRUE,LOW,INCLUDE,"sample std"
realized_vol10_pct,VOLATILITY_LEVEL,최근 10일 종가수익률 표준편차,std(ret_pct[D-10:D-1]),D-11~D-1,frozen OHLCV derivation,STORED,Close 원자료에서 계산,TRUE,LOW,INCLUDE,"sample std"
realized_vol20_pct,VOLATILITY_LEVEL,최근 20일 종가수익률 표준편차,std(ret_pct[D-20:D-1]),D-21~D-1,frozen OHLCV derivation,STORED,Close 원자료에서 계산,TRUE,LOW,INCLUDE,"중기 변동성 regime"
realized_vol5_vs20,VOLATILITY_CHANGE,단기 실현변동성의 20일 대비 배수,realized_vol5_pct/realized_vol20_pct,D-21~D-1,frozen OHLCV derivation,STORED,Close 원자료에서 계산,TRUE,LOW,INCLUDE,"변동성 regime 전환"
bb_width20_pct,VOLATILITY_LEVEL,20일 Bollinger band 폭의 중심선 대비 비율,100*(BB_upper-BB_lower)/BB_middle,D-20~D-1,engine/core/indicators.py:52-61;123-128,STORED,live calc_indicators가 BB_width 생성,TRUE,LOW,INCLUDE,"표준편차 기반 장기 변동성"
bb_width20_chg1_pctpoint,VOLATILITY_CHANGE,Bollinger 폭의 1일 변화,100*(BB_width[D-1]-BB_width[D-2]),D-21~D-1,3048579f:run_range_predictor_stage2_v3.py:406-410,STORED,BB_width에서 계산,TRUE,LOW,INCLUDE,"폭 확대 속도"
volume_ratio5_prior,VOLUME_LEVEL,D-1 거래량의 이전 5일 평균 대비 배수,Volume[D-1]/mean(Volume[D-6:D-2]),D-6~D-1,3048579f:run_range_predictor_stage2_v3.py:393,STORED,Volume 원자료에서 계산,TRUE,LOW,INCLUDE,"현재일을 분모에서 제외"
volume_ratio10_prior,VOLUME_LEVEL,D-1 거래량의 이전 10일 평균 대비 배수,Volume[D-1]/mean(Volume[D-11:D-2]),D-11~D-1,3048579f:run_range_predictor_stage2_v3.py:394,STORED,Volume 원자료에서 계산,TRUE,LOW,INCLUDE,"현재일을 분모에서 제외"
