check_type,group_or_boundary,threshold_spec,total_oos_rows,pass_count,coverage,pass_precision,lift_pp,offset_case_count,offset_share_of_pass,offset_precision,clean_pass_count,clean_precision,offset_penalty_pp,blocked_by_group_and,decision,interpretation
WITHIN_GROUP_OFFSET,G1_PULLBACK_SETUP,group_mean>=0.65; severe_member<0.20,12600,3622,0.2874603175,0.5646051905,6.3097253995,89,0.0245720596,0.6179775281,3533,0.5632606850,-5.4716843120,0,SAFE_SUM,"상쇄 케이스 2.46%; 오히려 clean보다 정밀도 높아 위험 증거 없음"
WITHIN_GROUP_OFFSET,G2_VOLATILITY_REGIME,group_mean>=0.65; severe_member<0.20,12600,4895,0.3884920635,0.5887640449,8.7256108436,174,0.0355464760,0.6839080460,4721,0.5852573607,-9.8650685248,0,SAFE_SUM,"single_up+ATR+realized20+BB width; 상쇄 케이스 3.55%이며 성과 저하 없음"
WITHIN_GROUP_OFFSET,G2_ALT_WITH_MEAN_RANGE5,group_mean>=0.65; severe_member<0.20,12600,5226,0.4147619048,0.5891695369,8.7661600423,2,0.0003827019,0.0000000000,5224,0.5893950995,58.9395099541,0,ALTERNATE_ONLY,"상쇄는 2건뿐이나 ATR-mean_range5 중복 r=0.8548로 동시 가중보다 대체 ablation 권장"
WITHIN_GROUP_OFFSET,G3_RANGE_EXPANSION_COMPACT,group_mean>=0.65; severe_member<0.20,12600,4687,0.3719841270,0.5606998080,5.9191871472,4,0.0008534244,0.2500000000,4683,0.5609651933,31.0965193252,0,SAFE_WITH_MEMBER_FLOOR,"상쇄 실패는 4건으로 희소하지만 정밀도 낮음; 각 member oriented percentile 0.15 floor 권장"
WITHIN_GROUP_OFFSET,G3_RANGE_EXPANSION_BROAD,group_mean>=0.65; severe_member<0.20,12600,4196,0.3330158730,0.5791229743,7.7615037753,604,0.1439466158,0.6523178808,3592,0.5668151448,-8.5502736029,0,SPLIT_WEAK_CHANGE_FEATURE,"bb_width20_chg1 포함 시 상쇄 케이스 14.39%; change feature를 분리/삭제"
WITHIN_GROUP_OFFSET,G4_VOLUME_CONFIRMATION_COMPACT,group_mean>=0.65; severe_member<0.20,12600,3797,0.3013492063,0.5175138267,1.6005890197,17,0.0044772189,0.7058823529,3780,0.5166666667,-18.9215686275,0,SAFE_SUM_BUT_WEAK,"상쇄 위험은 낮으나 단독 lift 1.60%p로 confirmation 경계 전용"
WITHIN_GROUP_OFFSET,G5_WEAK_PATH_BREADTH,group_mean>=0.65; severe_member<0.20,12600,1890,0.1500000000,0.5306878307,2.9179894180,918,0.4857142857,0.5642701525,972,0.4989711934,-6.5298959090,0,NOT_GROUPABLE,"상쇄 케이스가 통과의 48.57%; 일별 수익률·누적·up_days를 합치지 않음"
BOUNDARY_SIMULATION,GLOBAL_SUM_PASS,all four group mean>=0.55 equivalent global score,12600,5408,0.4292063492,0.5795118343,7.8003897812,0,,,0,,,0,BASELINE_GLOBAL_SUM,"그룹 경계 없이 전체 합산"
BOUNDARY_SIMULATION,FOUR_GROUP_AND_PASS,each G1/G2/G3/G4>=0.55,12600,928,0.0736507937,0.6357758621,13.4267925561,0,,,0,,,0,RECOMMENDED_STARTING_POINT,"기존 strict-AND 0.20%보다 coverage가 크게 높고 global sum보다 lift 개선"
BOUNDARY_SIMULATION,BOIL_OFFSET_BLOCKED,global>=0.55 and G3<0.35 or G4<0.35,12600,764,0.0606349206,0.5772251309,7.5717194382,764,,0.5772251309,928,0.6357758621,5.8550731179,764,BOUNDARY_EFFECTIVE,"range 또는 volume이 심하게 부족한 global-pass 764건을 전부 차단"
