candidate_id,ticker,score_on,score_off,event_component,market_adjustment,score_delta,expected_score_delta,threshold,pass_on,pass_off,market_score_on,market_score_off,market_score_equal,market_adjustment_equal,delta_invariant_ok
stage3:BTBT:363898884d44,BTBT,18.273542025757642,1.8154976300972685,14.919817861651637,1.1030995517688211,16.458044395660373,16.458044395660373,1.911257702358741,true,false,73.8,73.8,true,true,true
stage3:BMA:0c978464f9dd,BMA,18.204990256779272,1.9607261011351018,16.24426415564417,1.0,16.24426415564417,16.24426415564417,2.8483915860441122,true,false,73.8,73.8,true,true,true
stage3:BMI:07d4ee0f7841,BMI,10.859862443547124,1.9097334984273142,6.0676688995533095,1.475052296571209,8.95012894511981,8.95012894511981,2.4293027201134647,true,false,73.8,73.8,true,true,true
stage3:CRS:8695c9ce3320,CRS,8.238828989127486,4.662073703398463,3.5767552857290226,1.0,3.576755285729022,3.5767552857290226,2.5574757832651467,true,true,73.8,73.8,true,true,true
stage3:BCS:5e7da5a74b01,BCS,7.709165338378607,4.930840802600637,2.77832453577797,1.0,2.77832453577797,2.77832453577797,3.3016768173756628,true,true,73.8,73.8,true,true,true
stage3:BNTX:d667608bc166,BNTX,4.158148437835091,1.1370508448232954,3.0210975930117954,1.0,3.0210975930117954,3.0210975930117954,1.9606991235700824,true,false,73.8,73.8,true,true,true
stage3:ALGT:aec5dd5b1dc1,ALGT,5.5972934959001375,5.5972934959001375,0.0,1.5165610482161287,0.0,0.0,2.2937281833052667,true,true,73.8,73.8,true,true,true
stage2:CMC:4f6ee2739add,CMC,6.803416180510119,1.0491896730165133,5.754226507493605,1.0,5.754226507493605,5.754226507493605,2.390547721639751,true,false,73.8,73.8,true,true,true
stage3:BN:d264957fe5f6,BN,1.822850789170011,3.0183079336179097,-1.1954571444478987,1.0,-1.1954571444478987,-1.1954571444478987,2.6480219613592295,false,true,73.8,73.8,true,true,true
stage3:BWXT:f195725cb792,BWXT,3.941224960128279,1.0138423397149723,2.927382620413307,1.0,2.927382620413307,2.927382620413307,2.015809174011457,true,false,73.8,73.8,true,true,true
stage3:ADMA:42437a3ee595,ADMA,-1.4859205163281912,2.750733485083526,-3.0803813051216564,1.375366742541763,-4.2366540014117176,-4.2366540014117176,2.179290624723338,false,true,73.8,73.8,true,true,true
stage3:BB:f1bdfe7f8ad9,BB,3.2909034677771114,3.2909034677771114,0.0,1.0,0.0,0.0,2.791951174195162,true,true,73.8,73.8,true,true,true
stage3:ACMR:44c1e02681c4,ACMR,3.4946395578894967,1.5623539702530203,1.7499483422478328,1.10419578737646,1.9322855876364764,1.9322855876364768,1.672152226421145,true,false,73.8,73.8,true,true,true
stage3:ANET:fe220620802b,ANET,3.025097065320651,3.025097065320651,0.0,1.0,0.0,0.0,2.639090277958454,true,true,73.8,73.8,true,true,true
stage3:ARKW:296c057b4ef7,ARKW,3.53394930577326,3.53394930577326,0.0,1.0,0.0,0.0,2.563383325529843,true,true,73.8,73.8,true,true,true
stage3:CBRL:677767a0b6a9,CBRL,2.7998244708901066,2.7998244708901066,0.0,0.9610853642122791,0.0,0.0,1.904703742771071,true,true,73.8,73.8,true,true,true
stage3:CRK:997177aa687b,CRK,1.5277394450710886,1.8858613848450858,-0.37979667291762836,0.9429306924225429,-0.3581219397739972,-0.35812193977399737,1.6845297732650655,false,true,73.8,73.8,true,true,true
stage3:AEIS:6e26f08a7c6d,AEIS,2.445473023580007,2.445473023580007,0.0,1.0,0.0,0.0,1.6391176454145713,true,true,73.8,73.8,true,true,true
