candidate_id,ticker,actual_score_off,threshold,actual_should_buy,actual_market_score,classification
stage3:BTBT:363898884d44,BTBT,1.8154976300972685,1.911257702358741,false,73.84502206332408,DROP
stage3:BMA:0c978464f9dd,BMA,1.9607261011351018,2.8483915860441122,false,73.84502206332408,DROP
stage3:BMI:07d4ee0f7841,BMI,1.9097334984273142,2.4293027201134647,false,73.84502206332408,DROP
stage3:CRS:8695c9ce3320,CRS,4.662073703398463,2.5574757832651467,true,73.84502206332408,SURVIVE
stage3:BCS:5e7da5a74b01,BCS,4.930840802600637,3.3016768173756628,true,73.84502206332408,SURVIVE
stage3:BNTX:d667608bc166,BNTX,1.1370508448232954,1.9606991235700824,false,73.84502206332408,DROP
stage3:ALGT:aec5dd5b1dc1,ALGT,5.5972934959001375,2.2937281833052667,true,73.84502206332408,SURVIVE
stage2:CMC:4f6ee2739add,CMC,1.0491896730165133,2.390547721639751,false,73.84502206332408,DROP
stage3:BN:d264957fe5f6,BN,3.0183079336179097,2.6480219613592295,true,73.84502206332408,SURVIVE
stage3:BWXT:f195725cb792,BWXT,1.0138423397149723,2.015809174011457,false,73.84502206332408,DROP
stage3:ADMA:42437a3ee595,ADMA,2.750733485083526,2.179290624723338,true,73.84502206332408,SURVIVE
stage3:BB:f1bdfe7f8ad9,BB,3.2909034677771114,2.791951174195162,true,73.84502206332408,SURVIVE
stage3:ACMR:44c1e02681c4,ACMR,1.5623539702530203,1.672152226421145,false,73.84502206332408,DROP
stage3:ANET:fe220620802b,ANET,3.025097065320651,2.639090277958454,true,73.84502206332408,SURVIVE
stage3:ARKW:296c057b4ef7,ARKW,3.53394930577326,2.563383325529843,true,73.84502206332408,SURVIVE
stage3:CBRL:677767a0b6a9,CBRL,2.7996952678983287,1.904703742771071,true,73.84502206332408,SURVIVE
stage3:CRK:997177aa687b,CRK,1.88517497725187,1.6845297732650655,true,73.84502206332408,SURVIVE
stage3:AEIS:6e26f08a7c6d,AEIS,2.445473023580007,1.6391176454145713,true,73.84502206332408,SURVIVE
