ticker,split_label,feature,low,high,width
AAP,train_1,ma_trend,0.1463646265478683,0.7043087172493199,0.5579440907014516
AAP,train_1,macd_hist,0.0,0.9624579766779848,0.9624579766779848
AAP,train_1,rsi,0.29393126723683816,0.5652586344946009,0.27132736725776274
AAP,train_1,bb_position,0.5141335774730705,0.9590753883396873,0.44494181086661677
AAP,train_1,volume_ratio,0.08439194783241392,1.0,0.9156080521675861
AAP,train_2,ma_trend,0.033706168036546344,0.8308164077069978,0.7971102396704515
AAP,train_2,macd_hist,0.15436636835289136,0.5869647721581309,0.43259840380523956
AAP,train_2,rsi,0.11127481171953216,0.9497797578974729,0.8385049461779408
AAP,train_2,bb_position,0.14644592989057922,0.627396664255288,0.4809507343647087
AAP,train_2,volume_ratio,0.0278034940920242,0.196766823498739,0.1689633294067148
AAP,train_3,ma_trend,0.022448438988317568,0.8200477061608463,0.7975992671725287
AAP,train_3,macd_hist,0.11397379977293498,0.6914605319659319,0.577486732192997
AAP,train_3,rsi,0.0,0.5365419252675476,0.5365419252675476
AAP,train_3,bb_position,0.010112897295804255,0.7253401419745653,0.7152272446787611
AAP,train_3,volume_ratio,0.17653361493447448,0.9821571835170979,0.8056235685826234
POWI,train_1,ma_trend,0.13863777344955988,0.5924155765551108,0.45377780310555094
POWI,train_1,macd_hist,0.29977079299879544,0.688540539900578,0.3887697469017825
POWI,train_1,rsi,0.24960969626933344,0.8744879568406543,0.6248782605713208
POWI,train_1,bb_position,0.26099675513360154,0.8333747113461052,0.5723779562125036
POWI,train_1,volume_ratio,0.09940510793538311,0.6895945418921574,0.5901894339567743
POWI,train_2,ma_trend,0.26344989483661163,1.0,0.7365501051633884
POWI,train_2,macd_hist,0.005484192731279179,0.5935326724230252,0.588048479691746
POWI,train_2,rsi,0.11060297565706159,0.7614503999438124,0.6508474242867508
POWI,train_2,bb_position,0.5197317311525415,0.9314964256188405,0.41176469446629904
POWI,train_2,volume_ratio,0.0,0.26851665746983255,0.26851665746983255
POWI,train_3,ma_trend,0.052774165087765765,0.7313808506887132,0.6786066856009474
POWI,train_3,macd_hist,0.02782825787060781,0.828610177306116,0.8007819194355081
POWI,train_3,rsi,0.2298073494084608,0.9845468464142185,0.7547394970057577
POWI,train_3,bb_position,0.6705244914731452,0.7902640494111689,0.11973955793802371
POWI,train_3,volume_ratio,0.0,0.8937275373645907,0.8937275373645907
