variant,rank,rulebook_hash,label,composite_fitness,avg_exp,min_exp,neg_count,avg_dd_abs,worst_dd_abs,exp_stdev,total_trades,expectancy_pct,max_drawdown_pct,trade_count,win_rate,profit_factor,fitness_swing,exit_dist
baseline_live_42088d4e,baseline,036d1267caf1be9faf390f39857f73b9d3927ca25a541d385de53374c74e7f37,2022,-20.788940524552388,2.0635136593696983,-4.636743959764664,1,12.195114301068855,22.198957704514143,3.9346931870030004,22,-4.636743959764664,-22.198957704514143,6,50.0,0.40195548204460047,-146.36743959764664,"{""stop_loss"": 2, ""time_out"": 2, ""trailing"": 2}"
baseline_live_42088d4e,baseline,036d1267caf1be9faf390f39857f73b9d3927ca25a541d385de53374c74e7f37,2023,-20.788940524552388,2.0635136593696983,-4.636743959764664,1,12.195114301068855,22.198957704514143,3.9346931870030004,22,5.38129893799035,0.0,3,66.66666666666666,3.1258658781427933,-4.644534516119144,"{""take_profit"": 1, ""trailing"": 2}"
baseline_live_42088d4e,baseline,036d1267caf1be9faf390f39857f73b9d3927ca25a541d385de53374c74e7f37,2024,-20.788940524552388,2.0635136593696983,-4.636743959764664,1,12.195114301068855,22.198957704514143,3.9346931870030004,22,3.3638975439602348,-8.544355304748667,3,66.66666666666666,2.1809950270563543,-8.653696585247989,"{""take_profit"": 1, ""trailing"": 2}"
baseline_live_42088d4e,baseline,036d1267caf1be9faf390f39857f73b9d3927ca25a541d385de53374c74e7f37,2025H2,-20.788940524552388,2.0635136593696983,-4.636743959764664,1,12.195114301068855,22.198957704514143,3.9346931870030004,22,4.145602115292872,-18.037144195012615,10,50.0,1.9648658289618885,79.8877067098886,"{""stop_loss"": 3, ""take_profit"": 1, ""trailing"": 6}"
setB_manual_median,manual,c323909134c7183e3b07d1d433412ab2f1fc3b0c46fd737a3fade1ad434909cd,2022,3.8727452024311058,3.710279575317801,2.3308834022397393,0,7.70835565636833,11.177148201989542,1.0889533039674704,36,4.396763164887157,-9.762723179610978,10,80.0,3.3568790617942232,105.13287501941785,"{""breakeven_stop"": 3, ""time_out"": 7}"
setB_manual_median,manual,c323909134c7183e3b07d1d433412ab2f1fc3b0c46fd737a3fade1ad434909cd,2023,3.8727452024311058,3.710279575317801,2.3308834022397393,0,7.70835565636833,11.177148201989542,1.0889533039674704,36,2.3308834022397393,-9.8935512438728,4,75.0,1.9423904857109404,-12.135248164224198,"{""breakeven_stop"": 2, ""stop_loss"": 1, ""take_profit"": 1}"
setB_manual_median,manual,c323909134c7183e3b07d1d433412ab2f1fc3b0c46fd737a3fade1ad434909cd,2024,3.8727452024311058,3.710279575317801,2.3308834022397393,0,7.70835565636833,11.177148201989542,1.0889533039674704,36,5.088535205035668,0.0,3,100.0,13039.352817554882,-7.235714104945021,"{""breakeven_stop"": 1, ""take_profit"": 1, ""time_out"": 1}"
setB_manual_median,manual,c323909134c7183e3b07d1d433412ab2f1fc3b0c46fd737a3fade1ad434909cd,2025H2,3.8727452024311058,3.710279575317801,2.3308834022397393,0,7.70835565636833,11.177148201989542,1.0889533039674704,36,3.0249365291086376,-11.177148201989542,19,68.42105263157895,3.108898229584554,80.69736921301559,"{""breakeven_stop"": 10, ""fold_end_mark_to_market"": 1, ""stop_loss"": 1, ""take_profit"": 2, ""time_out"": 5}"
ga_top1,1,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,2022,18.079982976736122,7.660457460375181,6.302065162194418,0,2.2265940947317144,6.198669256325772,1.264124500000733,20,7.68469431574496,-2.707707122601086,5,60.0,15.190356089831559,33.841842005671694,"{""time_out"": 5}"
ga_top1,1,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,2023,18.079982976736122,7.660457460375181,6.302065162194418,0,2.2265940947317144,6.198669256325772,1.264124500000733,20,6.975455196664721,0.0,3,66.66666666666666,2.674007271607754,9.743999308981271,"{""take_profit"": 2, ""time_out"": 1}"
