ticker,selection_basis,selection_context,train_label,origin_rank,train_fitness,rulebook_hash,market_score_weight,sector_strength_weight,vix_sensitivity,market_adjustment_strength,use_market_entry_adjustment,market_gene_active,failed_period_label,evaluated_period_count,survived_all_5
AAP,deepest_reached,train_3_eval,train_1,98,-119.716187266,a5cd2d317f0a94a6780bc6b3dcf504212235b4380b767076a8d90769ef036579,0.616874266868,0.248742560879,-0.865998528575,0.907865407485,True,True,train_3_eval,2,False
AAP,deepest_reached,train_3_eval,train_1,99,-136.681510853,9ac288a277ce50972e3436b16097a250bbb8119df37b6b122904eae51fb35267,0.997919178986,-1,0.213434695042,0.342956419283,False,False,train_3_eval,2,False
AAP,deepest_reached,train_3_eval,train_1,100,-140.325166975,bd9c309344e363df3ffcde9ae68bc80185d32c3410c7b348cdb7b1f7458b72b0,1,-1,0.254494660958,0.907865407485,False,False,train_3_eval,2,False
AAP,top_train_rank1,train_1,train_1,1,111.3,c070f8e5ae01bb79521dc1913ce2dcb7bbe24212d6fd3cc90d02b09bff03a250,-0.212549625937,0.248742560879,-0.865998528575,0.0866181885213,False,False,stress_pre_2022h1,1,False
AAP,top_train_rank1,train_2,train_2,1,108.368683458,bc4395f1ecaa1945c71e8f16746b5b4293b0c2402061e82cad401934b5cfd135,0.374550870428,0.456893771421,-1,0.0617264515371,False,False,stress_pre_2022h1,1,False
AAP,top_train_rank1,train_3,train_3,1,152.37289009,3345039309178b580939a1fa2fff5162d417aeeaa0004969ce63e34c732c4689,-0.409103692758,1,-0.890776877517,0.741407625322,True,True,stress_pre_2022h1,1,False
POWI,deepest_reached,train_2_eval,train_3,4,111.461538462,a73b17bb341ea1ce460a2b92bff642e3a7e2313198eeabd77230f491064375b3,0.0545159192246,0.325891353112,0.23147561597,0.728165745064,False,False,train_2_eval,3,False
POWI,deepest_reached,train_2_eval,train_3,11,111.461538462,f6f065dd564d93c4b43c88c9ebf21f54e817707ae9265145e833f46b2c825476,0.79268792371,0.683127999107,0.413394697508,0.387508651812,False,False,train_2_eval,3,False
POWI,deepest_reached,train_2_eval,train_3,16,111.416666667,8ba3fd116cf3b40a5141a348402d4ef51cd0054dd81933ca1ccd5698d682cf77,-0.325618518591,0.683127999107,0.23147561597,0.787347379554,False,False,train_2_eval,3,False
POWI,deepest_reached,train_2_eval,train_3,18,111.416666667,3f808e0a598083900151eb750ffa500e078e3e657b624ad14681a34dbb5c912c,-0.926875889808,0.696187873542,0.550738467833,0.596050503846,False,False,train_2_eval,3,False
POWI,deepest_reached,train_2_eval,train_3,19,111.416666667,e304fca7e0d5379e7f68ecc7854ce18e4ae39c45827a47411604c5aa33964e19,0.79268792371,0.696187873542,0.104785288861,0.596050503846,False,False,train_2_eval,3,False
