ticker,trade_no,model_hash,origin_train_label,method,entry_date,entry_price,initial_target_date,target_extension_count,target_extension_history,final_target_date,exit_date,exit_price,exit_reason,period_end_exit,holding_sessions,gross_return_pct,round_trip_cost_bps,net_return_pct,plus3_reached_during_holding,plus3_first_reach_date,max_high_during_holding,max_favorable_excursion_pct,entry_label_2d3pct,entry_score,exit_score,decision_threshold
POWI,1,3943bed5f517b8f667580cc8141ede8cc60d83ead4c8fefbbcbcd618d20f6901,train_2,rolling_target_2_sessions_tp_off,2025-07-10,58.7000007629,2025-07-14,0,,2025-07-14,2025-07-14,56.6599998474,TARGET_DATE_REACHED,False,2,-3.4752996405228886,10.0,-3.5752996405228887,False,,59.3499984741,1.1073214697653322,0,0.6,0.0,0.45
POWI,2,3943bed5f517b8f667580cc8141ede8cc60d83ead4c8fefbbcbcd618d20f6901,train_2,rolling_target_2_sessions_tp_off,2025-09-03,44.2400016785,2025-09-05,0,,2025-09-05,2025-09-05,44.9099998474,TARGET_DATE_REACHED,False,2,1.5144623496377685,10.0,1.4144623496377684,True,2025-09-05,46.2400016785,4.520795488513674,1,0.6,0.0,0.45
POWI,3,3943bed5f517b8f667580cc8141ede8cc60d83ead4c8fefbbcbcd618d20f6901,train_2,rolling_target_2_sessions_tp_off,2025-09-10,44.7999992371,2025-09-12,1,2025-09-11:2025-09-12->2025-09-15,2025-09-15,2025-09-15,44.8699989319,TARGET_DATE_REACHED,False,3,0.15624932141076187,10.0,0.05624932141076186,False,,45.6899986267,1.9866058141870813,0,0.6,0.0,0.45
POWI,4,3943bed5f517b8f667580cc8141ede8cc60d83ead4c8fefbbcbcd618d20f6901,train_2,rolling_target_2_sessions_tp_off,2025-10-29,42.8800010681,2025-10-31,0,,2025-10-31,2025-10-31,41.8899993896,TARGET_DATE_REACHED,False,2,-2.308772513619406,10.0,-2.408772513619406,False,,42.8800010681,0.0,0,0.6,0.0,0.45
POWI,5,3943bed5f517b8f667580cc8141ede8cc60d83ead4c8fefbbcbcd618d20f6901,train_2,rolling_target_2_sessions_tp_off,2025-11-06,38.5600013733,2025-11-10,0,,2025-11-10,2025-11-10,35.6800003052,TARGET_DATE_REACHED,False,2,-7.468882172017222,10.0,-7.568882172017222,False,,39.3699989319,2.100616000394817,0,0.6,0.0,0.45
POWI,6,3943bed5f517b8f667580cc8141ede8cc60d83ead4c8fefbbcbcd618d20f6901,train_2,rolling_target_2_sessions_tp_off,2025-12-10,36.3899993896,2025-12-12,0,,2025-12-12,2025-12-12,36.4700012207,TARGET_DATE_REACHED,False,2,0.2198456511182556,10.0,0.1198456511182556,True,2025-12-10,38.2000007629,4.97389778417332,1,0.6,0.0,0.45
POWI,7,3943bed5f517b8f667580cc8141ede8cc60d83ead4c8fefbbcbcd618d20f6901,train_2,rolling_target_2_sessions_tp_off,2025-12-16,36.6199989319,2025-12-18,0,,2025-12-18,2025-12-18,36.1699981689,TARGET_DATE_REACHED,False,2,-1.2288388206587286,10.0,-1.3288388206587287,False,,37.1500015259,1.447303685031831,0,0.6,0.0,0.45
POWI,8,3943bed5f517b8f667580cc8141ede8cc60d83ead4c8fefbbcbcd618d20f6901,train_2,rolling_target_2_sessions_tp_off,2026-02-02,45.0600013733,2026-02-04,1,2026-02-03:2026-02-04->2026-02-05,2026-02-05,2026-02-05,47.2000007629,TARGET_DATE_REACHED,False,3,4.749221758497413,10.0,4.649221758497413,True,2026-02-02,48.8300018311,8.366623042390508,1,0.6,0.0,0.45
POWI,9,3943bed5f517b8f667580cc8141ede8cc60d83ead4c8fefbbcbcd618d20f6901,train_2,rolling_target_2_sessions_tp_off,2026-02-10,45.9700012207,2026-02-12,0,,2026-02-12,2026-02-12,46.6899986267,TARGET_DATE_REACHED,False,2,1.5662331670241336,10.0,1.4662331670241335,True,2026-02-10,49.4000015259,7.461388327428398,1,0.6,0.0,0.45
POWI,10,3943bed5f517b8f667580cc8141ede8cc60d83ead4c8fefbbcbcd618d20f6901,train_2,rolling_target_2_sessions_tp_off,2026-04-14,53.7599983215,2026-04-16,1,2026-04-15:2026-04-16->2026-04-17,2026-04-17,2026-04-17,58.6500015259,TARGET_DATE_REACHED,False,3,9.095988387418474,10.0,8.995988387418475,True,2026-04-16,60.1100006104,11.811760578795383,1,0.6,0.0,0.45
