variant,label,rulebook_hash,expectancy_pct,max_drawdown_pct,trade_count,win_rate,profit_factor,fitness,strict_pass,exit_dist
baseline_live_42088d4e,2022,42088d4edc816027291f1f66cb5466a315b781c34da46664c352cfcecb432ae2,-4.636743959764664,-22.198957704514143,6,50.0,0.40195548204460047,-146.36743959764664,False,"{""stop_loss"": 2, ""time_out"": 2, ""trailing"": 2}"
baseline_live_42088d4e,2023,42088d4edc816027291f1f66cb5466a315b781c34da46664c352cfcecb432ae2,5.38129893799035,0.0,3,66.66666666666666,3.1258658781427933,-4.644534516119144,False,"{""take_profit"": 1, ""trailing"": 2}"
baseline_live_42088d4e,2024,42088d4edc816027291f1f66cb5466a315b781c34da46664c352cfcecb432ae2,3.3638975439602348,-8.544355304748667,3,66.66666666666666,2.1809950270563543,-8.653696585247989,False,"{""take_profit"": 1, ""trailing"": 2}"
baseline_live_42088d4e,2025H2,42088d4edc816027291f1f66cb5466a315b781c34da46664c352cfcecb432ae2,4.145602115292872,-18.037144195012615,10,50.0,1.9648658289618885,79.8877067098886,True,"{""stop_loss"": 3, ""take_profit"": 1, ""trailing"": 6}"
setA_2820575b_exit_only,2022,8a885f84d4db08d6b96c40f7e2a6ef99655dbd7c921156fda46c84160d01aefa,4.396763164887157,-9.762723179610978,10,80.0,3.3568790617942232,105.13287501941785,True,"{""breakeven_stop"": 3, ""time_out"": 7}"
setA_2820575b_exit_only,2023,8a885f84d4db08d6b96c40f7e2a6ef99655dbd7c921156fda46c84160d01aefa,4.584162327958522,-9.73850701583235,4,75.0,2.882927573048912,4.66136410697896,False,"{""breakeven_stop"": 1, ""stop_loss"": 1, ""take_profit"": 2}"
setA_2820575b_exit_only,2024,8a885f84d4db08d6b96c40f7e2a6ef99655dbd7c921156fda46c84160d01aefa,7.024412103030785,0.0,3,100.0,17999.974362204575,9.226879919424018,False,"{""take_profit"": 1, ""time_out"": 2}"
setA_2820575b_exit_only,2025H2,8a885f84d4db08d6b96c40f7e2a6ef99655dbd7c921156fda46c84160d01aefa,1.5101102976240757,-20.889445200197137,19,57.89473684210527,1.7761336035915423,28.71626135465376,True,"{""breakeven_stop"": 9, ""fold_end_mark_to_market"": 1, ""stop_loss"": 2, ""take_profit"": 2, ""time_out"": 5}"
setB_6survivor_median_exit_only,2022,c323909134c7183e3b07d1d433412ab2f1fc3b0c46fd737a3fade1ad434909cd,4.396763164887157,-9.762723179610978,10,80.0,3.3568790617942232,105.13287501941785,True,"{""breakeven_stop"": 3, ""time_out"": 7}"
setB_6survivor_median_exit_only,2023,c323909134c7183e3b07d1d433412ab2f1fc3b0c46fd737a3fade1ad434909cd,2.3308834022397393,-9.8935512438728,4,75.0,1.9423904857109404,-12.135248164224198,False,"{""breakeven_stop"": 2, ""stop_loss"": 1, ""take_profit"": 1}"
setB_6survivor_median_exit_only,2024,c323909134c7183e3b07d1d433412ab2f1fc3b0c46fd737a3fade1ad434909cd,5.088535205035668,0.0,3,100.0,13039.352817554882,-7.235714104945021,False,"{""breakeven_stop"": 1, ""take_profit"": 1, ""time_out"": 1}"
setB_6survivor_median_exit_only,2025H2,c323909134c7183e3b07d1d433412ab2f1fc3b0c46fd737a3fade1ad434909cd,3.0249365291086376,-11.177148201989542,19,68.42105263157895,3.108898229584554,80.69736921301559,True,"{""breakeven_stop"": 10, ""fold_end_mark_to_market"": 1, ""stop_loss"": 1, ""take_profit"": 2, ""time_out"": 5}"
