artifact_id,selector_family,path,artifact_type,rows,size_bytes,mtime_utc,sha256,per_entity_or_per_ticker,target,validation_state,live_reachable,status,notes
A-001,Exact 5d-2d-3pct selector,NOT_FOUND,trained_individuals_or_threshold_table,0,0,,,NOT_FOUND,"2 trading days +3pct",NOT_FOUND,false,GENUINELY_NOT_FOUND,"No matching model, threshold table, fitness trace, survivor pool, or inference row"
A-002,Stage2 path filter,scripts/research/run_stage2_path_filter.py,research_runner,,25727,2026-07-04T03:53:28.324241Z,52fda4ce2b047561f3b2eda5f6d5985e0b24232f2eade96a3a199734ad155a44,per_rulebook_genes,"daily-return fitness across normal trades",code_only_no_run_artifact,false,FOUND_RESEARCH_ONLY,"Writes path_filter_manifest only when manually run; no manifest/survivors found in repository or backups"
A-003,Stage2 path filter hold3,scripts/research/run_stage2_path_filter_hold3.py,research_runner,,7442,2026-07-04T05:39:55.079800Z,28211967456ad55b1640575cca02e45cb8d4c247ce6b34b9b3110de88d19c95f,per_rulebook_genes,"same daily-return fitness; max holding 1..3",code_only_no_run_artifact,false,FOUND_RESEARCH_ONLY,"Hold3 is not a +3pct label"
A-004,Range predictor next-day +2pct HIGH,exp_fix_range_predictor_stage2_v3_rolling_event2pct_high_20260704_001/final_survivors.jsonl,final_survivor_pool,17,311602,2026-07-04T14:56:01.558024Z,238ff50136f39598b10ee5bcc376c1a5369586046f90d396ff303c1bf7b8f625,FIX_ticker_specific_GA_individuals,"next-day HIGH >=2pct event",partial_survival_detailed_final_metrics_deleted,false,FOUND_RESEARCH_ONLY,"Contains individual rules with q_low/q_high/weight and signature; only ticker FIX"
A-005,Range predictor true3,exp_fix_range_predictor_stage2_v3_true3_stage2gate_fixed_20260705_001/final_survivors.jsonl,final_survivor_pool,51,4467674,2026-07-05T08:07:07.439222Z,1ede61606a47c4d5f6466f964b94ad7af36dad288903c6c9d0cbe5ed2845dbc8,FIX_ticker_specific_GA_individuals,"next-day HIGH/LOW three coarse bins",mixed_OOS,false,FALSE_POSITIVE,"true3 means 3 classes; first survivor OOS HIGH lift -9.5436pp"
A-006,Range predictor HIGH-only dense,exp_fix_range_predictor_stage2_v3_high_only_20260705_001/final_survivors.jsonl,final_survivor_pool,4,469878,2026-07-05T14:11:04.583117Z,163e4caac2fff793509100ee90162e1d8a57c3502834e0585b2ca4199140930d,FIX_ticker_specific_GA_individuals,"next-day HIGH coarse bin",positive_small_sample,false,FOUND_RESEARCH_ONLY,"Stores 277 feature weights and dense cut1/cut2; first survivor OOS signal_count=19"
A-007,Payoff two-gene,scripts/research/run_payoff_two_gene_ga.py,research_runner,,23699,2026-07-05T15:39:00.338670Z,7092e8cc63fa6f8abdf8edaf9a791fa3d6f601549457821321eb2c21f0059a78,per_ticker_GA_individuals,"next-day ATR upside and downside",code_and_some_deleted_experiments,false,FOUND_RESEARCH_ONLY,"Periods begin stress 2020-07-01; each individual stores up_cut and low_cut"
A-008,Five-day payoff final audit,scripts/research/run_payoff_two_gene_fullfeature_stage2_rolling_ga_5d_separate_highlow_soft_nod0_finalaudit_target.py,research_runner,,17821,2026-07-06T04:25:24.140326Z,85e1f01cd40a9f371244e39b8b0c518d17a4bb3873e03ada4ffcb2f5de511e7b,per_ticker_GA_individuals,"next-day ATR target with 5 lag days",validation_outputs_NOT_STORED,false,FOUND_RESEARCH_ONLY,"Cleanup audit shows all_candidates/survival files once existed for MPC/HSBC, but final pass rows are not retained"
A-009,Operational cleanup audit,data/_system/analysis/candidate_selection_audit_20260710/operational_unused_second_pass.csv,audit_inventory,,394146,2026-07-10T14:26:48.803671Z,54308dfdc9e0d72a6f98af11d1628202b165070c32b68d157137ed6bf5da231c,NA,NA,confirmed_terminated,false,CONFIRMED,"Range/payoff outputs active_reference_count=0; path-filter runners ONE_OFF_OR_LEGACY_CODE and operational_reachable=X"
A-010,Exact per-entity +3pct threshold table,NOT_FOUND,threshold_table,0,0,,,NOT_FOUND,"per entity cutoff for 2d +3pct hit",NOT_FOUND,false,GENUINELY_NOT_FOUND,"Existing signal_threshold table is a different composite-score threshold"
