candidate_id,stage,ticker,rulebook_hash,signal_date,label_status,in_log_based_3430,previous_logged_entry_signal_date,next_logged_entry_signal_date,between_logged_entries,calendar_days_from_previous_entry,calendar_days_to_next_entry,during_logged_holding_interval,holding_entry_signal_date,holding_entry_fill_date,holding_exit_date,holding_period_label,cluster_id,cluster_start,cluster_end,cluster_length,cluster_contains_logged_entry_key,continuation_after_logged_entry_same_cluster,inclusion_class
stage2:ALGT:402f72d48c3c,stage2,ALGT,402f72d48c3cd87bae620e2c2c803420787f9ba6b893612d67f754c55a1b14bd,2021-01-04,LABELED,False,,2021-04-01,False,,87,False,,,,,C000001,2021-01-04,2021-01-04,1,False,False,REPLAY_ONLY_OTHER
stage2:ALGT:402f72d48c3c,stage2,ALGT,402f72d48c3cd87bae620e2c2c803420787f9ba6b893612d67f754c55a1b14bd,2021-01-07,LABELED,False,,2021-04-01,False,,84,False,,,,,C000002,2021-01-07,2021-01-07,1,False,False,REPLAY_ONLY_OTHER
stage2:ALGT:402f72d48c3c,stage2,ALGT,402f72d48c3cd87bae620e2c2c803420787f9ba6b893612d67f754c55a1b14bd,2021-01-14,LABELED,False,,2021-04-01,False,,77,False,,,,,C000003,2021-01-14,2021-01-14,1,False,False,REPLAY_ONLY_OTHER
stage2:ALGT:402f72d48c3c,stage2,ALGT,402f72d48c3cd87bae620e2c2c803420787f9ba6b893612d67f754c55a1b14bd,2021-01-27,LABELED,False,,2021-04-01,False,,64,False,,,,,C000004,2021-01-27,2021-01-27,1,False,False,REPLAY_ONLY_OTHER
stage2:ALGT:402f72d48c3c,stage2,ALGT,402f72d48c3cd87bae620e2c2c803420787f9ba6b893612d67f754c55a1b14bd,2021-01-29,LABELED,False,,2021-04-01,False,,62,False,,,,,C000005,2021-01-29,2021-02-01,2,False,False,REPLAY_ONLY_OTHER
stage2:ALGT:402f72d48c3c,stage2,ALGT,402f72d48c3cd87bae620e2c2c803420787f9ba6b893612d67f754c55a1b14bd,2021-02-01,LABELED,False,,2021-04-01,False,,59,False,,,,,C000005,2021-01-29,2021-02-01,2,False,False,REPLAY_ONLY_OTHER
stage2:ALGT:402f72d48c3c,stage2,ALGT,402f72d48c3cd87bae620e2c2c803420787f9ba6b893612d67f754c55a1b14bd,2021-02-04,LABELED,False,,2021-04-01,False,,56,False,,,,,C000006,2021-02-04,2021-02-05,2,False,False,REPLAY_ONLY_OTHER
stage2:ALGT:402f72d48c3c,stage2,ALGT,402f72d48c3cd87bae620e2c2c803420787f9ba6b893612d67f754c55a1b14bd,2021-02-05,LABELED,False,,2021-04-01,False,,55,False,,,,,C000006,2021-02-04,2021-02-05,2,False,False,REPLAY_ONLY_OTHER
stage2:ALGT:402f72d48c3c,stage2,ALGT,402f72d48c3cd87bae620e2c2c803420787f9ba6b893612d67f754c55a1b14bd,2021-03-22,LABELED,False,,2021-04-01,False,,10,False,,,,,C000007,2021-03-22,2021-03-22,1,False,False,REPLAY_ONLY_OTHER
stage2:ALGT:402f72d48c3c,stage2,ALGT,402f72d48c3cd87bae620e2c2c803420787f9ba6b893612d67f754c55a1b14bd,2021-03-31,LABELED,False,,2021-04-01,False,,1,False,,,,,C000008,2021-03-31,2021-04-01,2,True,False,REPLAY_ONLY_OTHER
