ticker,model_hash,origin_train_label,regime,group,members,group_size,learned_threshold,threshold_valid,group_passed_rows,final_entry_rows,count_distribution,g3_floor_percentile,g3_floor_norm,threshold_min_allowed,threshold_max_allowed,threshold_floor_valid,full_group_threshold_present
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,train,G1_PULLBACK,"[""pullback_from_high5_pct"", ""fade_after_surge_score"", ""inv_close_pos5"", ""inv_ret_d1_pct""]",4,3,True,74,21,"{""0"": 0, ""1"": 22, ""2"": 155, ""3"": 74, ""4"": 0}",,,2,3,True,False
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,train,G2_VOLATILITY,"[""single_up_day5_pct"", ""atr14_pct"", ""realized_vol20_pct"", ""bb_width20_pct""]",4,3,True,167,21,"{""0"": 2, ""1"": 27, ""2"": 55, ""3"": 107, ""4"": 60}",,,2,3,True,False
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,train,G3_RANGE_EXPANSION,"[""true_range_d1_pct"", ""range_vs_atr14"", ""range_vs_range20""]",3,2,True,167,21,"{""0"": 18, ""1"": 58, ""2"": 173, ""3"": 2}",0.15,"[0.015009759672486033, 0.1726043842598029, 0.06919934695283236]",2,2,True,False
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,train,G4_VOLUME_CONFIRMATION,"[""volume_ratio5_prior"", ""volume_ratio20_prior"", ""volume_chg1_pct""]",3,2,True,135,21,"{""0"": 3, ""1"": 113, ""2"": 132, ""3"": 3}",,,2,2,True,False
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,stress,G1_PULLBACK,"[""pullback_from_high5_pct"", ""fade_after_surge_score"", ""inv_close_pos5"", ""inv_ret_d1_pct""]",4,3,True,187,36,"{""0"": 1, ""1"": 42, ""2"": 270, ""3"": 187, ""4"": 0}",,,2,3,True,False
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,stress,G2_VOLATILITY,"[""single_up_day5_pct"", ""atr14_pct"", ""realized_vol20_pct"", ""bb_width20_pct""]",4,3,True,238,36,"{""0"": 2, ""1"": 110, ""2"": 150, ""3"": 176, ""4"": 62}",,,2,3,True,False
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,stress,G3_RANGE_EXPANSION,"[""true_range_d1_pct"", ""range_vs_atr14"", ""range_vs_range20""]",3,2,True,339,36,"{""0"": 26, ""1"": 72, ""2"": 402, ""3"": 0}",0.15,"[0.015009759672486033, 0.1726043842598029, 0.06919934695283236]",2,2,True,False
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,stress,G4_VOLUME_CONFIRMATION,"[""volume_ratio5_prior"", ""volume_ratio20_prior"", ""volume_chg1_pct""]",3,2,True,270,36,"{""0"": 2, ""1"": 228, ""2"": 270, ""3"": 0}",,,2,2,True,False
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,oos,G1_PULLBACK,"[""pullback_from_high5_pct"", ""fade_after_surge_score"", ""inv_close_pos5"", ""inv_ret_d1_pct""]",4,3,True,106,35,"{""0"": 4, ""1"": 24, ""2"": 118, ""3"": 106, ""4"": 0}",,,2,3,True,False
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,oos,G2_VOLATILITY,"[""single_up_day5_pct"", ""atr14_pct"", ""realized_vol20_pct"", ""bb_width20_pct""]",4,3,True,222,35,"{""0"": 0, ""1"": 0, ""2"": 30, ""3"": 163, ""4"": 59}",,,2,3,True,False
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,oos,G3_RANGE_EXPANSION,"[""true_range_d1_pct"", ""range_vs_atr14"", ""range_vs_range20""]",3,2,True,190,35,"{""0"": 20, ""1"": 39, ""2"": 193, ""3"": 0}",0.15,"[0.015009759672486033, 0.1726043842598029, 0.06919934695283236]",2,2,True,False
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,oos,G4_VOLUME_CONFIRMATION,"[""volume_ratio5_prior"", ""volume_ratio20_prior"", ""volume_chg1_pct""]",3,2,True,123,35,"{""0"": 2, ""1"": 127, ""2"": 122, ""3"": 1}",,,2,2,True,False
AAP,65432afdaad2f9546ff084d31a0a68cb9fc7366d9507ff9e7b5e30ef6f66bc6d,train_2,train,G1_PULLBACK,"[""pullback_from_high5_pct"", ""fade_after_surge_score"", ""inv_close_pos5"", ""inv_ret_d1_pct""]",4,2,True,215,20,"{""0"": 3, ""1"": 32, ""2"": 35, ""3"": 116, ""4"": 64}",,,2,3,True,False
AAP,65432afdaad2f9546ff084d31a0a68cb9fc7366d9507ff9e7b5e30ef6f66bc6d,train_2,train,G2_VOLATILITY,"[""single_up_day5_pct"", ""atr14_pct"", ""realized_vol20_pct"", ""bb_width20_pct""]",4,3,True,83,20,"{""0"": 31, ""1"": 69, ""2"": 67, ""3"": 56, ""4"": 27}",,,2,3,True,False
AAP,65432afdaad2f9546ff084d31a0a68cb9fc7366d9507ff9e7b5e30ef6f66bc6d,train_2,train,G3_RANGE_EXPANSION,"[""true_range_d1_pct"", ""range_vs_atr14"", ""range_vs_range20""]",3,2,True,120,20,"{""0"": 12, ""1"": 118, ""2"": 119, ""3"": 1}",0.15,"[0.07970314483734416, 0.11343761700857279, 0.09565721469923098]",2,2,True,False
AAP,65432afdaad2f9546ff084d31a0a68cb9fc7366d9507ff9e7b5e30ef6f66bc6d,train_2,train,G4_VOLUME_CONFIRMATION,"[""volume_ratio5_prior"", ""volume_ratio20_prior"", ""volume_chg1_pct""]",3,2,True,192,20,"{""0"": 6, ""1"": 52, ""2"": 122, ""3"": 70}",,,2,2,True,False
AAP,65432afdaad2f9546ff084d31a0a68cb9fc7366d9507ff9e7b5e30ef6f66bc6d,train_2,stress,G1_PULLBACK,"[""pullback_from_high5_pct"", ""fade_after_surge_score"", ""inv_close_pos5"", ""inv_ret_d1_pct""]",4,2,True,347,4,"{""0"": 0, ""1"": 153, ""2"": 57, ""3"": 187, ""4"": 103}",,,2,3,True,False
AAP,65432afdaad2f9546ff084d31a0a68cb9fc7366d9507ff9e7b5e30ef6f66bc6d,train_2,stress,G2_VOLATILITY,"[""single_up_day5_pct"", ""atr14_pct"", ""realized_vol20_pct"", ""bb_width20_pct""]",4,3,True,14,4,"{""0"": 177, ""1"": 205, ""2"": 104, ""3"": 7, ""4"": 7}",,,2,3,True,False
AAP,65432afdaad2f9546ff084d31a0a68cb9fc7366d9507ff9e7b5e30ef6f66bc6d,train_2,stress,G3_RANGE_EXPANSION,"[""true_range_d1_pct"", ""range_vs_atr14"", ""range_vs_range20""]",3,2,True,237,4,"{""0"": 85, ""1"": 123, ""2"": 288, ""3"": 4}",0.15,"[0.07970314483734416, 0.11343761700857279, 0.09565721469923098]",2,2,True,False
AAP,65432afdaad2f9546ff084d31a0a68cb9fc7366d9507ff9e7b5e30ef6f66bc6d,train_2,stress,G4_VOLUME_CONFIRMATION,"[""volume_ratio5_prior"", ""volume_ratio20_prior"", ""volume_chg1_pct""]",3,2,True,404,4,"{""0"": 3, ""1"": 93, ""2"": 216, ""3"": 188}",,,2,2,True,False
AAP,65432afdaad2f9546ff084d31a0a68cb9fc7366d9507ff9e7b5e30ef6f66bc6d,train_2,oos,G1_PULLBACK,"[""pullback_from_high5_pct"", ""fade_after_surge_score"", ""inv_close_pos5"", ""inv_ret_d1_pct""]",4,2,True,220,60,"{""0"": 3, ""1"": 29, ""2"": 70, ""3"": 92, ""4"": 58}",,,2,3,True,False
AAP,65432afdaad2f9546ff084d31a0a68cb9fc7366d9507ff9e7b5e30ef6f66bc6d,train_2,oos,G2_VOLATILITY,"[""single_up_day5_pct"", ""atr14_pct"", ""realized_vol20_pct"", ""bb_width20_pct""]",4,3,True,155,60,"{""0"": 0, ""1"": 23, ""2"": 74, ""3"": 95, ""4"": 60}",,,2,3,True,False
AAP,65432afdaad2f9546ff084d31a0a68cb9fc7366d9507ff9e7b5e30ef6f66bc6d,train_2,oos,G3_RANGE_EXPANSION,"[""true_range_d1_pct"", ""range_vs_atr14"", ""range_vs_range20""]",3,2,True,127,60,"{""0"": 4, ""1"": 121, ""2"": 127, ""3"": 0}",0.15,"[0.07970314483734416, 0.11343761700857279, 0.09565721469923098]",2,2,True,False
AAP,65432afdaad2f9546ff084d31a0a68cb9fc7366d9507ff9e7b5e30ef6f66bc6d,train_2,oos,G4_VOLUME_CONFIRMATION,"[""volume_ratio5_prior"", ""volume_ratio20_prior"", ""volume_chg1_pct""]",3,2,True,197,60,"{""0"": 0, ""1"": 55, ""2"": 115, ""3"": 82}",,,2,2,True,False
AAP,44fbc7e2facba2d8d70cf059716c05b4b570e4cf10bcd03279df8e565db34af2,train_3,train,G1_PULLBACK,"[""pullback_from_high5_pct"", ""fade_after_surge_score"", ""inv_close_pos5"", ""inv_ret_d1_pct""]",4,2,True,185,20,"{""0"": 4, ""1"": 61, ""2"": 166, ""3"": 16, ""4"": 3}",,,2,3,True,False
AAP,44fbc7e2facba2d8d70cf059716c05b4b570e4cf10bcd03279df8e565db34af2,train_3,train,G2_VOLATILITY,"[""single_up_day5_pct"", ""atr14_pct"", ""realized_vol20_pct"", ""bb_width20_pct""]",4,2,True,190,20,"{""0"": 18, ""1"": 42, ""2"": 103, ""3"": 87, ""4"": 0}",,,2,3,True,False
AAP,44fbc7e2facba2d8d70cf059716c05b4b570e4cf10bcd03279df8e565db34af2,train_3,train,G3_RANGE_EXPANSION,"[""true_range_d1_pct"", ""range_vs_atr14"", ""range_vs_range20""]",3,2,True,171,20,"{""0"": 7, ""1"": 44, ""2"": 199, ""3"": 0}",0.15,"[0.032862199166564125, 0.09033706272662825, 0.06086387001730224]",2,2,True,False
AAP,44fbc7e2facba2d8d70cf059716c05b4b570e4cf10bcd03279df8e565db34af2,train_3,train,G4_VOLUME_CONFIRMATION,"[""volume_ratio5_prior"", ""volume_ratio20_prior"", ""volume_chg1_pct""]",3,2,True,64,20,"{""0"": 25, ""1"": 161, ""2"": 64, ""3"": 0}",,,2,2,True,False
AAP,44fbc7e2facba2d8d70cf059716c05b4b570e4cf10bcd03279df8e565db34af2,train_3,stress,G1_PULLBACK,"[""pullback_from_high5_pct"", ""fade_after_surge_score"", ""inv_close_pos5"", ""inv_ret_d1_pct""]",4,2,True,354,8,"{""0"": 4, ""1"": 142, ""2"": 347, ""3"": 7, ""4"": 0}",,,2,3,True,False
AAP,44fbc7e2facba2d8d70cf059716c05b4b570e4cf10bcd03279df8e565db34af2,train_3,stress,G2_VOLATILITY,"[""single_up_day5_pct"", ""atr14_pct"", ""realized_vol20_pct"", ""bb_width20_pct""]",4,2,True,73,8,"{""0"": 321, ""1"": 106, ""2"": 66, ""3"": 7, ""4"": 0}",,,2,3,True,False
AAP,44fbc7e2facba2d8d70cf059716c05b4b570e4cf10bcd03279df8e565db34af2,train_3,stress,G3_RANGE_EXPANSION,"[""true_range_d1_pct"", ""range_vs_atr14"", ""range_vs_range20""]",3,2,True,154,8,"{""0"": 5, ""1"": 68, ""2"": 427, ""3"": 0}",0.15,"[0.032862199166564125, 0.09033706272662825, 0.06086387001730224]",2,2,True,False
