mode_or_path,current_process_status,current_entrypoint,direct_event_source,source_switch_coverage,runtime_switch_loaded,shadow_rows_current,coverage_result,notes
REAL_live_candidate_slots,ACTIVE,"data/_system/ops/live_candidate_slots.py::refresh_slots","engine/live/elite_shadow_trader.py::_event_flags -> live_event_flags",YES,NO,0,NOT_EFFECTIVE_AT_RUNTIME,"daemon PID 337946 started 2026-07-10 13:30 UTC before e5cd786/file modification; top-level import holds old evaluate_candidate in memory"
REAL_dashboard_api,ACTIVE,"api_server_candidate_only.py + real_dashboard_holding_days_patch","consumes live_slots_state candidate snapshot; no direct Event generation",NOT_APPLICABLE,NOT_APPLICABLE,0,COVERED_UPSTREAM,"dashboard process does not recalculate score in fallback path"
REAL_dashboard_export,NOT_RUNNING,"scripts/export_real_dashboard_buy_candidates.py::build_export_payload","elite_shadow_trader.evaluate_candidate",YES,WOULD_LOAD_ON_NEW_PROCESS,0,COVERED_IN_SOURCE,"not installed in cron and no running process found"
REAL_S2_auto,NOT_RUNNING,"engine/live/s2_auto_trader.py::_validate_candidate_signal","elite_shadow_trader.evaluate_candidate",YES,WOULD_LOAD_ON_NEW_PROCESS,0,COVERED_IN_SOURCE,"no run_s2_auto_live process found"
RUN_LIVE_real_live_vts,NOT_RUNNING,"Runner._process_ticker -> LearnedRuleBook.evaluate","engine/strategies/learned_rulebook.py::live_event_flags",YES,WOULD_LOAD_ON_NEW_PROCESS,0,COVERED_IN_SOURCE,"legacy BUY guard blocks ordinary BUY; signal/reconfirm paths still evaluate"
PAPER_general_runner,NOT_RUNNING,"Runner._process_ticker -> LearnedRuleBook.evaluate","engine/strategies/learned_rulebook.py::live_event_flags",YES,WOULD_LOAD_ON_NEW_PROCESS,0,COVERED_IN_SOURCE,"same Runner path as real/vts"
PAPER_next_open,NOT_RUNNING,"NextOpenBuyCoordinator -> scheduled_open_buy_queue","_lookup_signal_context(use_llm_events=False)",DIRECT_EVENT_ALREADY_OFF,NOT_APPLICABLE,0,COVERED_BY_EXISTING_OFF,"not a current-context live Event path"
CENTRAL_intraday,DORMANT,"LiveCentralController._evaluate_stage3_entity_signal","engine/live/central_control.py::live_event_flags",YES,NOT_RUNNING,0,COVERED_IN_SOURCE,"controller tick not registered in current scheduler"
VIRTUAL_elite_shadow,NOT_RUNNING,"run_shadow_tick -> elite evaluate_candidate","engine/live/elite_shadow_trader.py::live_event_flags",YES,WOULD_LOAD_ON_NEW_PROCESS,0,COVERED_IN_SOURCE,"no process found"
VIRTUAL_elite_strategy_sim,NOT_RUNNING,"run_strategy_sim_tick -> elite evaluate_candidate","engine/live/elite_shadow_trader.py::live_event_flags",YES,WOULD_LOAD_ON_NEW_PROCESS,0,COVERED_IN_SOURCE,"no process found"
VIRTUAL_signal_history,ON_DEMAND,"elite_signal_history -> elite _event_flags","engine/live/elite_shadow_trader.py::live_event_flags",YES,WOULD_LOAD_ON_NEW_PROCESS,0,COVERED_IN_SOURCE,"imports shared helper"
VIRTUAL_pullback_replay,ON_DEMAND,"elite_pullback_replay -> elite _event_flags","engine/live/elite_shadow_trader.py::live_event_flags",YES,WOULD_LOAD_ON_NEW_PROCESS,0,COVERED_IN_SOURCE,"imports shared helper"
HISTORICAL_builders,NON_LIVE,"market_history_v2 builders","inline historical has_* mapping",OUT_OF_SCOPE,NOT_APPLICABLE,0,NOT_A_LIVE_MISS,"history data creation only"
