candidate_id,ticker,initial_integrated_boil,latest_v3_status,latest_v3_reason,final_boil_exclusive_status,consistency_status,authoritative_current_reason
stage3:BTBT:363898884d44,BTBT,PASS,FAIL,ACTIVE_VOLUME_THRESHOLD_GT_TRAIN_P99,PASS,CONSISTENT,V3_FAIL
stage3:BMA:0c978464f9dd,BMA,PASS,PASS,,PASS,CONSISTENT,PASS
stage3:BMI:07d4ee0f7841,BMI,PASS,FAIL,ACTIVE_VOLUME_THRESHOLD_GT_TRAIN_P99,PASS,CONSISTENT,V3_FAIL
stage3:CRS:8695c9ce3320,CRS,PASS,PASS,,PASS,CONSISTENT,PASS
stage3:BCS:5e7da5a74b01,BCS,PASS,FAIL,ACTIVE_VOLUME_THRESHOLD_GT_TRAIN_P99,PASS,CONSISTENT,V3_FAIL
stage3:BNTX:d667608bc166,BNTX,FAIL,FAIL,INACTIVE_VOLUME_THRESHOLD_GT_TRAIN_P99,PASS,MISMATCH_INITIAL_BOIL_SUPERSEDED,V3_FAIL_BOIL_OVERLAP_EXCLUDED
stage3:ALGT:aec5dd5b1dc1,ALGT,PASS,PASS,,PASS,CONSISTENT,PASS
stage2:CMC:4f6ee2739add,CMC,PASS,PASS,,PASS,CONSISTENT,PASS
stage3:BN:d264957fe5f6,BN,PASS,PASS,,PASS,CONSISTENT,PASS
stage3:BWXT:f195725cb792,BWXT,PASS,PASS,,PASS,CONSISTENT,PASS
stage3:ADMA:42437a3ee595,ADMA,PASS,PASS,,PASS,CONSISTENT,PASS
stage3:BB:f1bdfe7f8ad9,BB,PASS,PASS,,PASS,CONSISTENT,PASS
stage3:ACMR:44c1e02681c4,ACMR,PASS,PASS,,PASS,CONSISTENT,PASS
stage3:ANET:fe220620802b,ANET,PASS,PASS,,PASS,CONSISTENT,PASS
stage3:ARKW:296c057b4ef7,ARKW,PASS,PASS,,PASS,CONSISTENT,PASS
stage3:CBRL:677767a0b6a9,CBRL,PASS,PASS,,PASS,CONSISTENT,PASS
stage3:CRK:997177aa687b,CRK,PASS,FAIL,ACTIVE_VOLUME_THRESHOLD_GT_TRAIN_MAX,PASS,CONSISTENT,V3_FAIL
stage3:AEIS:6e26f08a7c6d,AEIS,PASS,PASS,,PASS,CONSISTENT,PASS
