candidate_id,ticker,v3_status,v3_reason,event_off_score,threshold,event_off_status,v3_block_effect,final_status_after_event_v3_boil
stage3:BTBT:363898884d44,BTBT,FAIL,ACTIVE_VOLUME_THRESHOLD_GT_TRAIN_P99,1.8154976300972685,1.911257702358741,DROP,ALREADY_DROPPED_BY_EVENT,DROP
stage3:BMA:0c978464f9dd,BMA,PASS,,1.9607261011351018,2.8483915860441122,DROP,NO_ADDITIONAL_EFFECT,DROP
stage3:BMI:07d4ee0f7841,BMI,FAIL,ACTIVE_VOLUME_THRESHOLD_GT_TRAIN_P99,1.9097334984273142,2.4293027201134647,DROP,ALREADY_DROPPED_BY_EVENT,DROP
stage3:CRS:8695c9ce3320,CRS,PASS,,4.662073703398463,2.5574757832651467,SURVIVE,NO_ADDITIONAL_EFFECT,SURVIVE
stage3:BCS:5e7da5a74b01,BCS,FAIL,ACTIVE_VOLUME_THRESHOLD_GT_TRAIN_P99,4.930840802600637,3.3016768173756628,SURVIVE,ADDITIONAL_DROP_BY_V3,DROP
stage3:BNTX:d667608bc166,BNTX,FAIL,INACTIVE_VOLUME_THRESHOLD_GT_TRAIN_P99,1.1370508448232954,1.9606991235700824,DROP,ALREADY_DROPPED_BY_EVENT,DROP
stage3:ALGT:aec5dd5b1dc1,ALGT,PASS,,5.5972934959001375,2.2937281833052667,SURVIVE,NO_ADDITIONAL_EFFECT,SURVIVE
stage2:CMC:4f6ee2739add,CMC,PASS,,1.0491896730165133,2.390547721639751,DROP,NO_ADDITIONAL_EFFECT,DROP
stage3:BN:d264957fe5f6,BN,PASS,,3.0183079336179097,2.6480219613592295,SURVIVE,NO_ADDITIONAL_EFFECT,SURVIVE
stage3:BWXT:f195725cb792,BWXT,PASS,,1.0138423397149723,2.015809174011457,DROP,NO_ADDITIONAL_EFFECT,DROP
stage3:ADMA:42437a3ee595,ADMA,PASS,,2.750733485083526,2.179290624723338,SURVIVE,NO_ADDITIONAL_EFFECT,SURVIVE
stage3:BB:f1bdfe7f8ad9,BB,PASS,,3.2909034677771114,2.791951174195162,SURVIVE,NO_ADDITIONAL_EFFECT,SURVIVE
stage3:ACMR:44c1e02681c4,ACMR,PASS,,1.5623539702530203,1.672152226421145,DROP,NO_ADDITIONAL_EFFECT,DROP
stage3:ANET:fe220620802b,ANET,PASS,,3.025097065320651,2.639090277958454,SURVIVE,NO_ADDITIONAL_EFFECT,SURVIVE
stage3:ARKW:296c057b4ef7,ARKW,PASS,,3.53394930577326,2.563383325529843,SURVIVE,NO_ADDITIONAL_EFFECT,SURVIVE
stage3:CBRL:677767a0b6a9,CBRL,PASS,,2.7996952678983287,1.904703742771071,SURVIVE,NO_ADDITIONAL_EFFECT,SURVIVE
stage3:CRK:997177aa687b,CRK,FAIL,ACTIVE_VOLUME_THRESHOLD_GT_TRAIN_MAX,1.88517497725187,1.6845297732650655,SURVIVE,ADDITIONAL_DROP_BY_V3,DROP
stage3:AEIS:6e26f08a7c6d,AEIS,PASS,,2.445473023580007,1.6391176454145713,SURVIVE,NO_ADDITIONAL_EFFECT,SURVIVE
