source,ticker,last_news_date,age_days_asof_2026_07_10,stale_gt_7d
live_slots_state,ACMR,2026-05-31,40,true
live_slots_state,ADMA,2026-06-01,39,true
live_slots_state,AEIS,2026-05-27,44,true
live_slots_state,ALGT,2026-06-02,38,true
live_slots_state,ANET,2026-06-02,38,true
live_slots_state,ARKW,2026-05-31,40,true
live_slots_state,BB,2026-06-01,39,true
live_slots_state,BCS,2026-06-01,39,true
live_slots_state,BMA,2026-05-30,41,true
live_slots_state,BMI,2026-06-02,38,true
live_slots_state,BN,2026-05-28,43,true
live_slots_state,BNTX,2026-06-01,39,true
live_slots_state,BTBT,2026-05-30,41,true
live_slots_state,BWXT,2026-06-02,38,true
live_slots_state,CBRL,2026-05-31,40,true
live_slots_state,CMC,2026-05-29,42,true
live_slots_state,CRK,2026-05-29,42,true
live_slots_state,CRS,2026-06-01,39,true
central_buy_candidates,CAKE,2026-06-01,39,true
central_buy_candidates,WPM,2026-06-01,39,true
