metric,value,note
confirmed_alpaca_live_buy_fills,1,"CE live position snapshot confirms buy fill"
confirmed_alpaca_live_sell_fills,0,"CE exit order remains unfilled"
confirmed_closed_live_trades,0,"real_dashboard_trades_history is empty"
confirmed_open_live_positions,1,"CE"
confirmed_realized_losses,0,"no loss sample"
confirmed_realized_wins,0,"no win sample"
confirmed_entries_with_actual_signal_snapshot,1,"CE order-submit candidate snapshot"
confirmed_entries_with_full_precision_component_dict,0,"CE older snapshot stores rounded reasons only"
confirmed_entries_with_active_combo_reconstructed,1,"MACD+RSI+BB+Event"
submitted_but_unconfirmed_live_intents,7,"BMI ALGT BCS ADPT BB CDE ANET"
excluded_paper_closed_trades,11,"trade_log.csv"
excluded_paper_open_positions,3,"positions.json"
hypothesis_test_status,NOT_TESTABLE,"no realized alpaca_live outcomes"
logging_gate_status,PARTIAL_PASS,"signal snapshot recoverable for CE but fill timestamp/component precision/closed outcome lifecycle incomplete"
