axis,code_location,decision_form,classification,lower_bound,upper_bound,learned_parameters,notes
MA alignment,engine/strategies/evaluator.py,boolean ordering check,DIRECTIONAL_BOOLEAN,condition-specific,none,weight_ma_align,"long MA5>MA20>MA60; short inverse ordering"
MACD,engine/strategies/evaluator.py,cross event boolean,DIRECTIONAL_BOOLEAN,cross condition,none,weight_macd_golden,"macd_min_hist exists in Rulebook but evaluator does not use it"
RSI,engine/strategies/evaluator.py,rsi_low <= RSI <= rsi_high,BAND,rsi_low,rsi_high,"rsi_low|rsi_high|weight_rsi_zone","explicit learned two-sided band"
Bollinger,engine/strategies/evaluator.py,near lower band or near upper for short,ONESIDED_GEOMETRIC,proximity condition,none,"bb_proximity|weight_bb_near_lower","no opposite-side rejection bound beyond condition simply becoming false"
Volume,engine/core/indicators.py + evaluator.py,Volume_ratio >= volume_surge_ratio,ONESIDED_LOWER,volume_surge_ratio,none,"volume_surge_ratio|weight_volume_surge","larger volume remains qualifying; no learned upper cap"
News global,engine/strategies/evaluator.py,continuous signed additive,ADDITIVE_SIGNED,none,none,"weight_news_sentiment|use_news_global","not thresholded per axis"
NewsTopics,engine/strategies/evaluator.py,continuous signed additive then clamp,ADDITIVE_CAPPED,-news_block_cap,+news_block_cap,"topic weights|news_block_cap","explicit symmetric contribution cap"
Event,engine/strategies/evaluator.py,binary flags times signed coefficients then multiplier,ADDITIVE_UNCAPPED,none,none,"event_response_*|event_strength_multiplier|use_event_block","no event-block contribution cap"
Market crash bonus,engine/strategies/evaluator.py,market_score <= crash_threshold_score,ONESIDED_UPPER,none,crash_threshold_score,"crash_buy_enabled|crash_threshold_score","condition only adds fixed bonus"
Market adjustment,engine/strategies/evaluator.py,continuous adjustment clamped by strength,BANDED_MULTIPLIER,1-strength,1+strength,"market weights|market_adjustment_strength","explicit symmetric clamp around 1"
Final score,engine/strategies/evaluator.py,final_score >= signal_threshold,ONESIDED_LOWER,signal_threshold,none,signal_threshold,"no score upper bound or band parameter"
Add-buy recheck,engine/live/runner.py,score >= threshold * 1.2,ONESIDED_LOWER,1.2*threshold,none,none,"higher score always stronger"
Strength classification,engine/live/approval_manager.py,score/threshold ratio tiers,MONOTONIC_ONESIDED,threshold multiples,none,none,"1.2x weak;1.5x medium;2.0x strong; no upper rejection"
