ticker,split,feature,rows_total,valid_count,nan_rate,inf_count,min,q01,q05,q25,q50,q75,q95,q99,max,mean,std,unique_count,unique_ratio,iqr,p90_width,p98_width
AAP,train_1,ma_relation_pct,251,251,0,0,-23.7772777296,-23.2794308986,-19.2457491553,-5.85878609426,-2.76808927489,-0.829818527257,2.69041838064,4.89041584351,5.34632801662,-4.04383131788,5.77062698966,251,1,5.028967567,21.9361675359,28.1698467421
AAP,train_1,macd_hist_close_pct,251,251,0,0,-9.23046933259,-8.33190114975,-2.86934924835,-0.571754157783,0.0965770011092,0.826050137754,1.38065284352,2.62791978606,3.05802384971,-0.188167589443,1.73963356082,251,1,1.39780429554,4.25000209187,10.9598209358
AAP,train_1,rsi,251,251,0,0,11.3179326061,11.752174327,18.5902523268,32.3971002202,44.6785134186,53.1379456524,63.4851671648,70.2607673746,71.8295178362,42.5352355323,13.8596522099,251,1,20.7408454321,44.8949148381,58.5085930477
AAP,train_1,bb_position,251,251,0,0,-0.473362314521,-0.238972470409,-0.0622858617149,0.171145184495,0.431058142786,0.72546078142,0.996085173513,1.09241939669,1.12687627354,0.446893039197,0.337517485409,251,1,0.554315596925,1.05837103523,1.3313918671
AAP,train_1,volume_ratio,251,251,0,0,0.356283548179,0.524428105406,0.622175846632,0.797047175466,0.971070395371,1.16194021187,1.40591146229,2.2934032984,3.94477891329,1.01134191212,0.347534693828,251,1,0.364893036403,0.783735615654,1.768975193
AAP,train_2,ma_relation_pct,250,250,0,0,-15.5294772344,-14.1887347925,-10.8080549135,-6.40364408435,-1.30168273468,4.32094576188,9.49180503496,11.7194765797,12.1392324616,-1.27136119512,6.363592315,250,1,10.7245898462,20.2998599485,25.9082113723
AAP,train_2,macd_hist_close_pct,250,250,0,0,-2.96772963715,-2.49807129471,-1.32179531287,-0.502433437689,0.0396723731647,0.821469253518,2.08484196037,3.1707422868,3.31578450385,0.185474838151,1.08563136567,250,1,1.32390269121,3.40663727324,5.66881358151
AAP,train_2,rsi,250,250,0,0,23.5567138683,26.8770689646,29.8646974651,38.6771810706,46.4748553564,56.2975643318,73.6344723857,80.5994769805,82.6133502342,48.4224859048,13.0017722116,249,0.996,17.6203832613,43.7697749206,53.7224080159
AAP,train_2,bb_position,250,250,0,0,-0.282778761785,-0.18037648092,-0.0402291584936,0.194802681546,0.457920868457,0.74905779108,1.00020741934,1.19210787673,1.32362075232,0.476193937666,0.336019624185,250,1,0.554255109534,1.04043657784,1.37248435765
AAP,train_2,volume_ratio,250,250,0,0,0.279697771555,0.344918954263,0.559890902372,0.793570868593,0.955371804006,1.15023579339,1.6432232297,2.48422883457,2.80757880931,1.0028603431,0.359680621779,250,1,0.356664924793,1.08333232732,2.13930988031
AAP,train_3,ma_relation_pct,250,250,0,0,-17.1961142158,-16.6170634181,-12.6648591453,-8.18233211137,-3.88557460474,3.95036181069,14.6674177317,17.6308948622,18.7443300975,-2.31178961048,8.216689498,250,1,12.1326939221,27.3322768771,34.2479582803
AAP,train_3,macd_hist_close_pct,250,250,0,0,-3.67611431188,-3.47807937349,-3.0394455156,-0.509522431346,0.378825400588,1.02673457221,1.64187346783,3.91403159179,4.39594547925,0.126285018797,1.4380033564,250,1,1.53625700355,4.68131898342,7.39211096527
