date,score,regime,kospi_60d,sp500_60d,vix,sector_tech,sector_finance,sector_energy,sector_healthcare,sector_consumer,sector_industrials,sector_materials
2019-07-08,62.25786662419637,neutral,0.0,0.0,13.960000038146973,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-09,62.11313316345215,neutral,0.0,0.0,14.09000015258789,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-10,63.293266963958736,neutral,0.0,0.0,13.029999732971191,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-11,63.40459966023764,neutral,0.0,0.0,12.93000030517578,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-12,64.00579961776732,neutral,0.0,0.0,12.390000343322754,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-15,63.68293299357096,neutral,0.0,0.0,12.68000030517578,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-16,63.48253371556599,neutral,0.0,0.0,12.859999656677246,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-17,62.24673303604125,neutral,0.0,0.0,13.970000267028809,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-18,62.73660029729207,neutral,0.0,0.0,13.529999732971191,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-19,61.71233354568481,neutral,0.0,0.0,14.449999809265137,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-22,62.73660029729207,neutral,0.0,0.0,13.529999732971191,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-23,63.76086704889933,neutral,0.0,0.0,12.609999656677246,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-24,64.36206700642903,neutral,0.0,0.0,12.06999969482422,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-25,63.61613358815511,neutral,0.0,0.0,12.739999771118164,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-26,64.26186683654785,neutral,0.0,0.0,12.15999984741211,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-29,63.51593341827392,neutral,0.0,0.0,12.829999923706056,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-30,62.28013380050659,neutral,0.0,0.0,13.9399995803833,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-31,59.85306573232015,neutral,0.0,0.0,16.1200008392334,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-01,57.90473239898682,neutral,0.0,0.0,17.8700008392334,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-02,58.19419932047526,neutral,0.0,0.0,17.610000610351562,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-05,50.42313316345215,neutral,0.0,0.0,24.59000015258789,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-06,55.34406658172607,neutral,0.0,0.0,20.170000076293945,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-07,56.10113358815511,neutral,0.0,0.0,19.489999771118164,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-08,58.97353350321451,neutral,0.0,0.0,16.90999984741211,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-09,57.79340076446533,neutral,0.0,0.0,17.969999313354492,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-12,54.31979983011881,neutral,0.0,0.0,21.09000015258789,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-13,58.29439949035644,neutral,0.0,0.0,17.520000457763672,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-14,53.19533290863036,neutral,0.0,0.0,22.100000381469727,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-15,54.219599660237634,neutral,0.0,0.0,21.18000030517578,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-16,57.23673409779866,neutral,0.0,0.0,18.46999931335449,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-19,59.006934267679846,neutral,0.0,0.0,16.8799991607666,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-20,58.31666666666666,neutral,0.0,0.0,17.5,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-21,60.20933312098185,neutral,0.0,0.0,15.800000190734863,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-22,59.229599660237625,neutral,0.0,0.0,16.68000030517578,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-23,55.67806573232015,neutral,0.0,0.0,19.8700008392334,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-26,56.29040033976237,neutral,0.0,0.0,19.31999969482422,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-27,55.18820059458415,neutral,0.0,0.0,20.309999465942383,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-28,56.25699957529703,neutral,0.0,0.0,19.350000381469727,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-29,57.89360093434652,neutral,0.0,0.0,17.8799991607666,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-30,56.66893384297689,neutral,0.0,0.0,18.979999542236328,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-03,55.91186683654784,neutral,0.0,0.0,19.65999984741211,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-04,58.505933418273926,neutral,0.0,0.0,17.329999923706055,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-05,59.68606615702311,neutral,0.0,0.0,16.270000457763672,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-06,61.1,neutral,0.0,0.0,15.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-09,60.79939949035645,neutral,0.0,0.0,15.270000457763672,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-10,60.877333545684806,neutral,0.0,0.0,15.199999809265137,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-11,61.53420038223266,neutral,0.0,0.0,14.609999656677246,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-12,61.96839970270793,neutral,0.0,0.0,14.220000267028809,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-13,62.50280025482178,neutral,0.0,0.0,13.739999771118164,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-16,61.4673999150594,neutral,0.0,0.0,14.670000076293944,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-17,61.72346713383992,neutral,0.0,0.0,14.4399995803833,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-18,62.26900021235148,neutral,0.0,0.0,13.949999809265137,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-19,62.157666454315184,neutral,0.0,0.0,14.050000190734863,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-20,60.7437336730957,neutral,0.0,0.0,15.31999969482422,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-23,61.20020016988119,neutral,0.0,0.0,14.90999984741211,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-24,58.81766751607259,neutral,0.0,0.0,17.049999237060547,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-25,60.031199957529694,neutral,0.0,0.0,15.960000038146973,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-26,59.9087336730957,neutral,0.0,0.0,16.06999969482422,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-27,58.628400764465326,neutral,0.0,0.0,17.219999313354492,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-30,59.71946692148845,neutral,0.0,0.0,16.239999771118164,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-10-01,53.13781623467392,neutral,0.0,-1.1996153079730676,18.559999465942383,52.772891742598425,39.11490720224904,7.660664385254712,29.580854770933705,41.13665958242258,42.84502364893867,50.0
2019-10-02,44.61554894994803,neutral,0.0,-3.088295493390836,20.559999465942383,41.58500426362595,28.268626173525668,0.0,22.138702622843965,31.80028562380805,34.61538002443394,50.0
2019-10-03,47.33183668611167,neutral,0.0,-2.754368713862543,19.1200008392334,43.70715179918712,31.944936473423457,0.0,24.748548753798904,32.396676919379814,38.957168804548985,50.0
2019-10-04,53.5064277821203,neutral,0.0,-1.5967113595777738,17.040000915527344,50.0,38.0910043319801,0.0,32.081696709378946,35.93789435176016,40.71910508708494,50.0
2019-10-07,49.6228221712757,neutral,0.0,-2.487913144759868,17.860000610351562,44.26916248353814,32.344632578107664,0.0,35.882731818370885,28.320419070682235,29.844393051927163,50.0
2019-10-08,41.81439709126354,neutral,0.0,-4.022160643281336,20.280000686645508,33.60148828010347,25.497173859299185,0.0,25.604508458300657,21.7625071533233,24.38196480315098,50.0
2019-10-09,47.65565547305313,neutral,0.0,-2.8175435619414824,18.63999938964844,45.4122885941169,31.13208508037819,0.0,31.449348244614384,26.391559037196437,25.37226192176652,50.0
2019-10-10,53.06854535350451,neutral,0.0,-1.5510564958773565,17.56999969482422,50.12429539072289,40.30519015923174,7.252639842614101,33.73101898428428,34.20368928603846,40.180763765009466,50.0
