scope,feature,sample_count,mi_bits,pearson_corr,active_rows,active_rate,positive_rate_active,positive_rate_inactive,lift
POOLED,exact_before_3d,3006,0.00580221286416,0.0923128013564,119,0.0395874916833,0.563025210084,0.337720817458,0.225304392626
POOLED,rough_before_3d,3006,0.00112532840015,0.0402342785894,95,0.0316034597472,0.452631578947,0.343181037444,0.109450541503
POOLED,exact_before_5d,3006,0.00664077909522,0.0985811621381,162,0.0538922155689,0.543209876543,0.335443037975,0.207766838569
POOLED,rough_before_5d,3006,0.00113222561929,0.0402639560309,128,0.0425815036593,0.4375,0.342599027102,0.0949009728978
POOLED,exact_before_10d,3006,0.00590951605854,0.0921524095853,356,0.118429807053,0.466292134831,0.330566037736,0.135726097096
POOLED,rough_before_10d,3006,0.00206525404966,0.0542135023195,302,0.100465735196,0.423841059603,0.338017751479,0.0858233081234
POOLED,rough_blackout_80_100d,3006,0.00264894500477,0.0613699468454,375,0.124750499002,0.424,0.335613835044,0.0883861649563
POOLED,rough_blackout_75_105d,3006,0.00296631985919,0.0647354230461,573,0.190618762475,0.410122164049,0.331689272503,0.0784328915458
POOLED,rough_blackout_70_110d,3006,0.00344366311747,0.0696422027719,717,0.238522954092,0.405857740586,0.328090869375,0.0777668712105
AAP,exact_before_3d,1503,0.00321297224977,0.0682390208129,55,0.0365934797073,0.527272727273,0.352900552486,0.174372174787
AAP,rough_before_3d,1503,0.000430674870352,-0.0239876230419,32,0.0212907518297,0.28125,0.360978925901,-0.0797289259007
AAP,exact_before_5d,1503,0.0044578943821,0.0803432811922,76,0.0505655355955,0.526315789474,0.350385423966,0.175930365507
AAP,rough_before_5d,1503,0.0000749113477202,-0.0101357610475,51,0.0339321357285,0.333333333333,0.360192837466,-0.0268595041322
AAP,exact_before_10d,1503,0.00269531517736,0.0618719664832,172,0.114437791084,0.441860465116,0.348610067618,0.0932503974979
AAP,rough_before_10d,1503,0.000300882996166,0.020538729461,125,0.0831669993347,0.392,0.356313497823,0.0356865021771
AAP,rough_blackout_80_100d,1503,0.000239890766236,0.0183111806371,172,0.114437791084,0.383720930233,0.356123215627,0.0275977146052
AAP,rough_blackout_75_105d,1503,0.00256313637446,0.0600921908194,284,0.188955422488,0.419014084507,0.345365053322,0.0736490311846
AAP,rough_blackout_70_110d,1503,0.00332364802718,0.0683564288738,359,0.238855622089,0.41782729805,0.340909090909,0.076918207141
POWI,exact_before_3d,1503,0.00906512061986,0.116146854948,64,0.0425815036593,0.59375,0.322446143155,0.271303856845
POWI,rough_before_3d,1503,0.00563074744778,0.0912177483549,63,0.0419161676647,0.539682539683,0.325,0.214682539683
POWI,exact_before_5d,1503,0.00926173315221,0.117078035999,86,0.0572188955422,0.558139534884,0.320395201129,0.237744333755
POWI,rough_before_5d,1503,0.00492156073514,0.0849868600792,77,0.0512308715902,0.506493506494,0.324684431978,0.181809074516
POWI,exact_before_10d,1503,0.0103780126994,0.122850614156,184,0.122421823021,0.489130434783,0.312357846854,0.176772587929
POWI,rough_before_10d,1503,0.00525651195504,0.0870155565537,177,0.117764471058,0.446327683616,0.319004524887,0.127323158729
POWI,rough_blackout_80_100d,1503,0.0074958730998,0.10400186216,203,0.135063206919,0.458128078818,0.314615384615,0.143512694202
POWI,rough_blackout_75_105d,1503,0.00342918692745,0.0697100766671,289,0.192282102462,0.401384083045,0.317957166392,0.0834269166529
POWI,rough_blackout_70_110d,1503,0.00356883960201,0.0709638418425,358,0.238190286094,0.393854748603,0.315283842795,0.0785709058086
