metric,value,unit,status,calculation_or_condition,pass_or_effect,source_path,source_timestamp_utc,source_sha256,note
signal_time,2026-07-09T17:20:33.590054+00:00,UTC,RECOVERED,,FIRST_SIGNAL,data/_system/analysis/crs_full_forensics_20260711/crs_timeline.csv,2026-07-12T05:55:04.968228+00:00,6e44e792fdb5487f8a6656d4f978e8ba4bb78c0fefd3eccdf39a4d3e994e7fbb,13:20:33.590054 America/New_York
signal_price,600.8599853515625,USD,RECOVERED,,INPUT,data/_system/analysis/crs_full_forensics_20260711/crs_timeline.csv,2026-07-12T05:55:04.968228+00:00,6e44e792fdb5487f8a6656d4f978e8ba4bb78c0fefd3eccdf39a4d3e994e7fbb,
MA5,600.9259887695313,USD,RECONSTRUCTED,"mean of evaluator-input last 5 completed daily closes through 2026-07-08",,data/_system/analysis/crs_underperformance_20260711/high_entry_validation.csv,2026-07-11T18:03:44.513657+00:00,532115a1d6ee6f4d6a655c9b7af0e875d7f1ece5a738001d2021197923f82d64,yfinance evaluator-input reconstruction; exact historical response payload NOT_STORED
signal_minus_MA5,-0.06600341796877274,USD,DERIVED,"signal_price-MA5",below_MA5,data/_system/analysis/crs_underperformance_20260711/high_entry_validation.csv,2026-07-11T18:03:44.513657+00:00,532115a1d6ee6f4d6a655c9b7af0e875d7f1ece5a738001d2021197923f82d64,
dist_MA5_pct,-0.010983618482518498,pct,DERIVED,"(signal_price/MA5-1)*100",above_ma5=false,data/_system/analysis/crs_underperformance_20260711/high_entry_validation.csv,2026-07-11T18:03:44.513657+00:00,532115a1d6ee6f4d6a655c9b7af0e875d7f1ece5a738001d2021197923f82d64,shadow quality semantics only; live slot did not gate on this
MA20,581.2125,USD,RECONSTRUCTED,"evaluator-input through 2026-07-08",MA5>MA20,data/_system/analysis/crs_underperformance_20260711/high_entry_validation.csv,2026-07-11T18:03:44.513657+00:00,532115a1d6ee6f4d6a655c9b7af0e875d7f1ece5a738001d2021197923f82d64,
MA60,488.610834757487,USD,RECONSTRUCTED,"evaluator-input through 2026-07-08",MA20>MA60,data/_system/analysis/crs_underperformance_20260711/high_entry_validation.csv,2026-07-11T18:03:44.513657+00:00,532115a1d6ee6f4d6a655c9b7af0e875d7f1ece5a738001d2021197923f82d64,
Aligned_bull,1,bool,RECOVERED_AND_RECONSTRUCTED,"MA5>MA20>MA60",PASS_PLUS_1.073432530260209,data/_system/analysis/crs_full_forensics_20260711/recovery_ledger.csv,2026-07-12T05:55:47.659151+00:00,73ac368c1c978c797cba35cffd8f61002fe36e04e8f86c027e748420ddf2fb95,MA5 is one joint prerequisite; no separable MA5-only subscore
Volume_ratio_vs_MA5,0.8259,ratio,RECONSTRUCTED,"Volume/Volume_MA5",FAIL_NO_SCORE,data/_system/analysis/crs_underperformance_20260711/crs_basic_and_reasons.csv,2026-07-11T18:03:00.925735+00:00,72e688c40ae7259d74547dc113d38cbb83aa7f86f4f2e5092d4da9951cd7b728,rulebook volume_surge_ratio=1.2; full precision NOT_STORED
Volume_ratio_margin_to_threshold,-0.3741,ratio,DERIVED,"0.8259-1.2",FAIL_BY_0.3741,data/_system/analysis/crs_underperformance_20260711/crs_basic_and_reasons.csv,2026-07-11T18:03:00.925735+00:00,72e688c40ae7259d74547dc113d38cbb83aa7f86f4f2e5092d4da9951cd7b728,
prior_5_session_high,625.94,USD,RECOVERED_FROM_PRIOR_FORENSICS,"max High over prior 5 completed sessions",signal_below_high,data/_system/analysis/crs_underperformance_20260711/high_entry_validation.csv,2026-07-11T18:03:44.513657+00:00,532115a1d6ee6f4d6a655c9b7af0e875d7f1ece5a738001d2021197923f82d64,Alpaca IEX completed daily bars
prior_5_session_low,577.55,USD,DERIVED_FROM_RECOVERED_RANGE,"solve low from signal price, high=625.94, range position=48.1710794618%",signal_above_low,data/_system/analysis/crs_underperformance_20260711/high_entry_validation.csv,2026-07-11T18:03:44.513657+00:00,532115a1d6ee6f4d6a655c9b7af0e875d7f1ece5a738001d2021197923f82d64,underlying individual daily-bar dump NOT_STORED in current repo
prior_5_session_range_width,48.39,USD,DERIVED,"625.94-577.55",,data/_system/analysis/crs_underperformance_20260711/high_entry_validation.csv,2026-07-11T18:03:44.513657+00:00,532115a1d6ee6f4d6a655c9b7af0e875d7f1ece5a738001d2021197923f82d64,
