item,verdict,recovered_value,confirmed_or_inferred,why,evidence_path,evidence_timestamp,evidence_sha256,not_stored_boundary
first_signal_timestamp,RECOVERED,2026-07-09T17:20:33.590054+00:00,CONFIRMED,first_seen_signals field persisted,data/_system/live_slots_state.json,2026-07-12T05:48:08.969973+00:00,f0a44d663e877c6f77e5e202aa3833228b2359041aad530aab8779a357be4dc0,
first_signal_price,RECOVERED,600.8599853515625,CONFIRMED,first_seen_signals field persisted,data/_system/live_slots_state.json,2026-07-12T05:48:08.969973+00:00,f0a44d663e877c6f77e5e202aa3833228b2359041aad530aab8779a357be4dc0,
first_final_score,RECOVERED,2.971797614887265,CONFIRMED,first_seen_signals and archived refresh agree,data/_system/live_slots_state.json,2026-07-12T05:48:08.969973+00:00,f0a44d663e877c6f77e5e202aa3833228b2359041aad530aab8779a357be4dc0,
first_threshold,RECOVERED,2.5574757832651467,CONFIRMED,archived refresh and rulebook agree,backup/pre_rulebook_completeness_audit_20260709_174011.tar.gz::data/_system/live_slots_state.json,2026-07-09T17:39:17+00:00,288bb174baba69ae0f9b4bf923a13720d197d830d45af466677766d9450c3f3f,
first_pass,RECOVERED,true,CONFIRMED,score exceeds threshold by 0.41432183162211844,backup/pre_rulebook_completeness_audit_20260709_174011.tar.gz::data/_system/live_slots_state.json,2026-07-09T17:39:17+00:00,288bb174baba69ae0f9b4bf923a13720d197d830d45af466677766d9450c3f3f,
first_reason_list,PARTIALLY_RECOVERED,"정배열(+1.07)|RSI 60∈[39,67](+1.65)|BB근접(+1.94)|이벤트반응(-1.69)",CONFIRMED_NEAREST_SURVIVING_SNAPSHOT,18m44s and 34m38s post-signal snapshots retain identical score and reasons,backup/pre_rulebook_completeness_audit_20260709_174011.tar.gz::data/_system/live_slots_state.json,2026-07-09T17:39:17+00:00,288bb174baba69ae0f9b4bf923a13720d197d830d45af466677766d9450c3f3f,exact 17:20:33 serialized reasons payload NOT_STORED
first_component_ma_align,RECOVERED,1.073432530260209,CONFIRMED,archived dashboard component,backup/pre_exit_wiring_universe_audit_20260709_182021.tar.gz::data/_system/real_dashboard_buy_candidates.json,2026-07-09T17:56:10+00:00,7a223b01b2ddabf318cdaddbb48a53c384ae3066c0d7d1e0fd47196539ec42c2,
first_component_rsi,RECOVERED,1.6475902670733407,CONFIRMED,archived dashboard component,backup/pre_exit_wiring_universe_audit_20260709_182021.tar.gz::data/_system/real_dashboard_buy_candidates.json,2026-07-09T17:56:10+00:00,7a223b01b2ddabf318cdaddbb48a53c384ae3066c0d7d1e0fd47196539ec42c2,
first_component_bb,RECOVERED,1.9410509060649137,CONFIRMED,archived dashboard component,backup/pre_exit_wiring_universe_audit_20260709_182021.tar.gz::data/_system/real_dashboard_buy_candidates.json,2026-07-09T17:56:10+00:00,7a223b01b2ddabf318cdaddbb48a53c384ae3066c0d7d1e0fd47196539ec42c2,
first_component_macd,RECOVERED,0.0,CONFIRMED,archived dashboard component,backup/pre_exit_wiring_universe_audit_20260709_182021.tar.gz::data/_system/real_dashboard_buy_candidates.json,2026-07-09T17:56:10+00:00,7a223b01b2ddabf318cdaddbb48a53c384ae3066c0d7d1e0fd47196539ec42c2,
first_component_volume,RECOVERED,0.0,CONFIRMED,archived dashboard component,backup/pre_exit_wiring_universe_audit_20260709_182021.tar.gz::data/_system/real_dashboard_buy_candidates.json,2026-07-09T17:56:10+00:00,7a223b01b2ddabf318cdaddbb48a53c384ae3066c0d7d1e0fd47196539ec42c2,
first_component_news,RECOVERED,0.0,CONFIRMED,archived dashboard component,backup/pre_exit_wiring_universe_audit_20260709_182021.tar.gz::data/_system/real_dashboard_buy_candidates.json,2026-07-09T17:56:10+00:00,7a223b01b2ddabf318cdaddbb48a53c384ae3066c0d7d1e0fd47196539ec42c2,
first_component_news_topics,RECOVERED,0.0,CONFIRMED,archived dashboard component,backup/pre_exit_wiring_universe_audit_20260709_182021.tar.gz::data/_system/real_dashboard_buy_candidates.json,2026-07-09T17:56:10+00:00,7a223b01b2ddabf318cdaddbb48a53c384ae3066c0d7d1e0fd47196539ec42c2,
first_component_events,RECOVERED,-1.6902760885111983,CONFIRMED,archived dashboard component,backup/pre_exit_wiring_universe_audit_20260709_182021.tar.gz::data/_system/real_dashboard_buy_candidates.json,2026-07-09T17:56:10+00:00,7a223b01b2ddabf318cdaddbb48a53c384ae3066c0d7d1e0fd47196539ec42c2,
market_entry_adjustment,RECOVERED,"multiplier=1.0; contribution=0",CONFIRMED,rulebook use_market_entry_adjustment=false and exact component sum,exp_batch_stage123_2009_20260616_full/tickers/CRS/stage3/final_rulebooks.jsonl,2026-07-07T07:11:37.439751+00:00,ee4e6964212fc69927000fef1037db201bfb7d6f271b9cdfd0df3d3119a963ff,
minus_0_437668_gap,RECOVERED,-0.4376680991636863,CONFIRMED_DERIVATION,"actual events -1.6902760885111983 minus diagnostic news total -1.252607989347512",backup/pre_exit_wiring_universe_audit_20260709_182021.tar.gz::data/_system/real_dashboard_buy_candidates.json,2026-07-09T17:56:10+00:00,7a223b01b2ddabf318cdaddbb48a53c384ae3066c0d7d1e0fd47196539ec42c2,
event_flag_combination,PARTIALLY_RECOVERED,"rate_hike|rate_cut|geopolitical|inflation|fed_statement",INFERRED_UNIQUE,only exact subset among all 2048 binary combinations,exp_batch_stage123_2009_20260616_full/tickers/CRS/stage3/final_rulebooks.jsonl,2026-07-07T07:11:37.439751+00:00,ee4e6964212fc69927000fef1037db201bfb7d6f271b9cdfd0df3d3119a963ff,actual historical active_events payload NOT_STORED
event_article_payload,NOT_STORED,,CONFIRMED_ABSENCE,historical market_state not present in Git tar state logs or dashboard export,data/_system/analysis/ticker_updater_ce_event_recovery_20260711_market_state_recovery.md,2026-07-11T09:11:04.368877+00:00,,same storage-boundary audit applies; no CRS-specific historical market state
first_price_provider,RECOVERED,"yfinance 1m prepost",CONFIRMED_BY_DETERMINISTIC_CODE_PATH,first-price function has yfinance 1m then daily-close fallback and no Alpaca; stored price differs from fallback close,engine/live/elite_shadow_trader.py@02c4cf113bd0a1a4fc0e77cdae1806af8a297b56,2026-07-02T11:58:48+00:00,,individual response payload and quote timestamp NOT_STORED
first_price_provider_field,NOT_STORED,,CONFIRMED_ABSENCE,state schema stores price but not provider,data/_system/ops/live_candidate_slots.py,2026-07-09 code path,,
bb_proximity_origin,RECOVERED,"Stage3 entry GA train_3 seed 2026061880 pool_rank 65 selected_rank 9",CONFIRMED,entry artifact and final hash lineage,exp_batch_stage123_2009_20260616_full/tickers/CRS/stage3/entry_rulebooks.jsonl,2026-07-07T04:22:07.313968+00:00,53e58bd063f20a1b7d9ce0afe92b7dcf1093aed4b941f79bd9c031e0cfa5aa39,
longest_recent_daily_cache,RECOVERED,"1526 rows 2020-06-08..2026-07-06",CONFIRMED,file content and hash,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf,
full_signal_window_1m_cache,NOT_STORED,,CONFIRMED_ABSENCE,no CRS raw 1m file found across repo data logs cache and archives,repository-wide segmented search,2026-07-12 forensic scan,,daemon in-memory frames were not serialized
selected_post_signal_intraday_points,PARTIALLY_RECOVERED,"10 stored points including signal and later Alpaca IEX observations",CONFIRMED,derived forensic path file,data/_system/analysis/crs_underperformance_20260711/post_signal_path.csv,2026-07-11T18:03:59.003631+00:00,a0c8a4dd3f5fca97db9d677668708e1351197058567067410ffe63f97e74c16d,not a complete minute-bar cache
raw_news_20260706_20260708,RECOVERED,7 articles,CONFIRMED,raw Alpha Vantage monthly cache,data/_system/ticker_news_cache/CRS/av_CRS_202607.json.gz,2026-07-11T15:12:28.419073+00:00,13698997d5ab9791c54306ccd12f37a2186497a2a568816e230469c568652d34,
raw_news_20260709_onward,NOT_STORED,,CONFIRMED_ABSENCE,July cache refreshed July 11 but ends July 8 and daily aggregate also ends July 8,data/_system/ticker_news_cache/CRS/av_CRS_202607.json.gz,2026-07-11T15:12:28.419073+00:00,13698997d5ab9791c54306ccd12f37a2186497a2a568816e230469c568652d34,global market-event articles are a separate data path
