path,mtime_utc,size_bytes,sha256,match_class
"data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv",2026-07-07T16:56:26.331753+00:00,108858,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf,CRS_PROVENANCE_OR_RAW
"data/_system/research/honest_full_6174_20260610/stage0/ohlcv_cache/CRS.meta.json",2026-06-09T23:53:06.811202+00:00,391,08067c2f7547e6aae3125426caf2078c1ac7aaa08e893ca5f9005e44c7855a3a,CRS_PROVENANCE_OR_RAW
"data/_system/research/honest_full_6174_20260610/stage0/ohlcv_cache/CRS.pkl",2026-06-09T23:53:06.676202+00:00,356765,e9750a6f8d61546ed3501cb7029294f688003832aa8bb6dcffbaa7ea34064063,CRS_PROVENANCE_OR_RAW
"data/_system/research/honest_full_6174_20260616_stage01_full/stage0/ohlcv_cache/CRS.meta.json",2026-06-16T06:52:57.842764+00:00,391,eeb96486811dd1d06b43fcb94691e88e46d524d049776cf5a387be1fe6f51689,CRS_PROVENANCE_OR_RAW
"data/_system/research/honest_full_6174_20260616_stage01_full/stage0/ohlcv_cache/CRS.pkl",2026-06-16T06:52:57.744764+00:00,356533,b04a21480695380694c587640291938e93b85c0785af3c62b0584851cba8636f,CRS_PROVENANCE_OR_RAW
"data/_system/ticker_news_cache/CRS/av_CRS_202607.json.gz",2026-07-11T15:12:28.419073+00:00,2950,13698997d5ab9791c54306ccd12f37a2186497a2a568816e230469c568652d34,CRS_PROVENANCE_OR_RAW
"data/_system/ticker_sentiment/CRS_daily.csv",2026-07-11T15:12:28.804072+00:00,23239,d71b2f86b9d47f7e6d9d1ab545065a01bd2407f1f95498fc2d5df5ebc8ef5e45,CRS_PROVENANCE_OR_RAW
"engine/learning/genetic.py",2026-06-14T21:26:35.324337+00:00,12357,89611d799fdca69d7a8e149898f5652f7e4ef5d020349f567919a548bf4361ad,CRS_PROVENANCE_OR_RAW
"engine/live/elite_shadow_trader.py",2026-07-11T11:29:46.876975+00:00,37575,ff8fb6e2bfff23b360a37001a5ae637908624bb2c8df001a4fb58f92c73b927c,CRS_PROVENANCE_OR_RAW
"engine/pipeline/context.py",2026-06-08T22:43:39.315392+00:00,11719,33740d9032eb838716070b603d39b13fb87e6e883f7ec46583b16038ec34d74d,CRS_PROVENANCE_OR_RAW
"engine/strategies/evaluator.py",2026-06-06T20:38:58.237852+00:00,14002,d7ce157564c3311d95ba73de79f41dfad3d7d1134727dd8a5fa776487cd83584,CRS_PROVENANCE_OR_RAW
"engine/strategies/rulebook.py",2026-06-14T21:26:08.475385+00:00,9979,c7b2892f410cd1b25b8090fe26b2b6daaa0aa4bfeaa28555cf4c8b6d12cb15dc,CRS_PROVENANCE_OR_RAW
"exp_batch_stage123_2009_20260616_full/logs/CRS_stage2.log",2026-06-18T05:58:39.320282+00:00,26946,d2333c0acc3349969318a9b348c5f01773c43c21c6db27b8dd08e34bc500a33e,CRS_PROVENANCE_OR_RAW
"exp_batch_stage123_2009_20260616_full/logs/CRS_stage3.log",2026-07-07T07:12:24.712666+00:00,117310,c6f44da491096ede124be2b98cdeda47f2a07b134714c787d6fe41a876c7b1cc,CRS_PROVENANCE_OR_RAW
"exp_batch_stage123_2009_20260616_full/tickers/CRS/stage2/_stage2_done.json",2026-06-18T05:58:39.504282+00:00,730,b85925aa6f833023c5f4bccd1618d2cf688589ef6c2a0270c728518efd6029aa,CRS_PROVENANCE_OR_RAW
"exp_batch_stage123_2009_20260616_full/tickers/CRS/stage2/config.json",2026-06-18T05:58:39.287282+00:00,6974,b51f870177d9fe3ff3331a33c03cbdb214e9fdf2c0ff1634892190eaaa315f10,CRS_PROVENANCE_OR_RAW
