path,mtime_utc,size_bytes,sha256,match_class
"data/_system/analysis/entry_quality_stops_regime_20260707/per_trade_entry_quality_regime.csv",2026-07-07T19:38:22.673343+00:00,39211586,4e30add3655e40a32dc46f70c9b08e227494341ae026c8390a39f1bf228923b8,EXACT_ID_OR_HASH
"data/_system/analysis/eq_validity_20260708/eq_trade_labels_approx.csv",2026-07-07T23:19:42.135556+00:00,16386244,156a372beda4b721f3a03b9591b12cf6663e523557f0d568eed3a11c2853f810,EXACT_ID_OR_HASH
"data/_system/analysis/exit_variants_20260707/trade_level_variants.csv",2026-07-07T18:09:15.028928+00:00,90961747,5de2f1637043c1158ed9b95b3e44193127d9f1445b5baccd67e3ad7861aed7ea,EXACT_ID_OR_HASH
"data/_system/analysis/gate_block_consistency_20260711/consistency_18.csv",2026-07-11T15:23:59.536832+00:00,1491,dbe1d9eba2b39cc0328b3622a55caebf5bf0bfa1f345b2907352a59d1cfdfecf,EXACT_ID_OR_HASH
"data/_system/analysis/gate_block_consistency_20260711/v3_block_impact.csv",2026-07-11T15:24:20.641794+00:00,2240,209608257abeb1a49b2980c5d73b2b532e7db608fa0a282f8ab3b6e914257764,EXACT_ID_OR_HASH
"data/_system/analysis/live_pool_event_contribution_vs_return_20260711/candidate_full_table.csv",2026-07-11T13:40:46.808901+00:00,5219,dd9a193529a4f2a51eece44f3e36b0045b7916023a1dbe98a05d375488688b39,EXACT_ID_OR_HASH
"data/_system/analysis/oos_reproduce_20260707/candidate_rebuild_status.csv",2026-07-07T16:43:28.378139+00:00,5374,dcd1cce0c7ab75a19dd8b29cc2f3c36b1a52d6207f8e31b077f1c4f28bb9a127,EXACT_ID_OR_HASH
"data/_system/analysis/oos_reproduce_20260707/oos_trades.csv",2026-07-07T16:43:28.375139+00:00,17672855,dcb9185bd590d8ca3b2b33fb76723fd4f418d3e4cd58ba33268442f8024e1413,EXACT_ID_OR_HASH
"data/_system/analysis/oos_reproduce_frozen_20260707/candidate_pool_export_write_readout.md",2026-07-09T17:56:59.268821+00:00,6798,a080833b2d92edec0cb0511258a79f90080ef52d07709937c4a24d8dfb6f2960,EXACT_ID_OR_HASH
"data/_system/analysis/oos_reproduce_frozen_20260707/candidate_rebuild_status_run1.csv",2026-07-07T17:10:49.191212+00:00,5374,dcd1cce0c7ab75a19dd8b29cc2f3c36b1a52d6207f8e31b077f1c4f28bb9a127,EXACT_ID_OR_HASH
