candidate_id,ticker,boil_verifiable,boil_check,vol_group,weight_volume_surge,boil_condition_summary,operational_status,evidence_source
stage3:BTBT:363898884d44,BTBT,true,PASS,HIGH_VOL,2.0,"HIGH_VOL but abs(weight_volume_surge)>0.05",DESIGN_ONLY_NOT_IMPLEMENTED,data/_system/analysis/candidate_selection_audit_20260710/integrated_gate_candidate_dryrun.csv
stage3:BMA:0c978464f9dd,BMA,true,PASS,MID_VOL,1.3782265612640092,"not HIGH_VOL and abs(weight_volume_surge)>0.05",DESIGN_ONLY_NOT_IMPLEMENTED,data/_system/analysis/candidate_selection_audit_20260710/integrated_gate_candidate_dryrun.csv
stage3:BMI:07d4ee0f7841,BMI,true,PASS,LOW_VOL,1.6935256311717612,"not HIGH_VOL and abs(weight_volume_surge)>0.05",DESIGN_ONLY_NOT_IMPLEMENTED,data/_system/analysis/candidate_selection_audit_20260710/integrated_gate_candidate_dryrun.csv
stage3:CRS:8695c9ce3320,CRS,true,PASS,MID_VOL,1.233207754645207,"not HIGH_VOL and abs(weight_volume_surge)>0.05",DESIGN_ONLY_NOT_IMPLEMENTED,data/_system/analysis/candidate_selection_audit_20260710/integrated_gate_candidate_dryrun.csv
stage3:BCS:5e7da5a74b01,BCS,true,PASS,LOW_VOL,1.2180368328356566,"not HIGH_VOL and abs(weight_volume_surge)>0.05",DESIGN_ONLY_NOT_IMPLEMENTED,data/_system/analysis/candidate_selection_audit_20260710/integrated_gate_candidate_dryrun.csv
stage3:BNTX:d667608bc166,BNTX,true,FAIL,HIGH_VOL,0.0,"HIGH_VOL and volume-blind near-zero structure; BOIL checker FAIL",DESIGN_ONLY_NOT_IMPLEMENTED,data/_system/analysis/candidate_selection_audit_20260710/integrated_gate_candidate_dryrun.csv
stage3:ALGT:aec5dd5b1dc1,ALGT,true,PASS,MID_VOL,1.7985077572048582,"not HIGH_VOL and abs(weight_volume_surge)>0.05",DESIGN_ONLY_NOT_IMPLEMENTED,data/_system/analysis/candidate_selection_audit_20260710/integrated_gate_candidate_dryrun.csv
stage2:CMC:4f6ee2739add,CMC,true,PASS,MID_VOL,2.0,"not HIGH_VOL and abs(weight_volume_surge)>0.05",DESIGN_ONLY_NOT_IMPLEMENTED,data/_system/analysis/candidate_selection_audit_20260710/integrated_gate_candidate_dryrun.csv
stage3:BN:d264957fe5f6,BN,true,PASS,LOW_VOL,0.0,"not HIGH_VOL despite zero volume weight",DESIGN_ONLY_NOT_IMPLEMENTED,data/_system/analysis/candidate_selection_audit_20260710/integrated_gate_candidate_dryrun.csv
stage3:BWXT:f195725cb792,BWXT,true,PASS,LOW_VOL,0.7812819878095832,"not HIGH_VOL and abs(weight_volume_surge)>0.05",DESIGN_ONLY_NOT_IMPLEMENTED,data/_system/analysis/candidate_selection_audit_20260710/integrated_gate_candidate_dryrun.csv
stage3:ADMA:42437a3ee595,ADMA,true,PASS,HIGH_VOL,0.5537849162587305,"HIGH_VOL but abs(weight_volume_surge)>0.05",DESIGN_ONLY_NOT_IMPLEMENTED,data/_system/analysis/candidate_selection_audit_20260710/integrated_gate_candidate_dryrun.csv
stage3:BB:f1bdfe7f8ad9,BB,true,PASS,HIGH_VOL,1.16162064645687,"HIGH_VOL but abs(weight_volume_surge)>0.05",DESIGN_ONLY_NOT_IMPLEMENTED,data/_system/analysis/candidate_selection_audit_20260710/integrated_gate_candidate_dryrun.csv
stage3:ACMR:44c1e02681c4,ACMR,true,PASS,HIGH_VOL,0.2246226169937476,"HIGH_VOL but abs(weight_volume_surge)>0.05",DESIGN_ONLY_NOT_IMPLEMENTED,data/_system/analysis/candidate_selection_audit_20260710/integrated_gate_candidate_dryrun.csv
stage3:ANET:fe220620802b,ANET,true,PASS,LOW_VOL,0.2530485421711657,"not HIGH_VOL and abs(weight_volume_surge)>0.05",DESIGN_ONLY_NOT_IMPLEMENTED,data/_system/analysis/candidate_selection_audit_20260710/integrated_gate_candidate_dryrun.csv
stage3:ARKW:296c057b4ef7,ARKW,true,PASS,MID_VOL,0.3772900702445667,"not HIGH_VOL and abs(weight_volume_surge)>0.05",DESIGN_ONLY_NOT_IMPLEMENTED,data/_system/analysis/candidate_selection_audit_20260710/integrated_gate_candidate_dryrun.csv
stage3:CBRL:677767a0b6a9,CBRL,true,PASS,MID_VOL,1.7779746825934932,"not HIGH_VOL and abs(weight_volume_surge)>0.05",DESIGN_ONLY_NOT_IMPLEMENTED,data/_system/analysis/candidate_selection_audit_20260710/integrated_gate_candidate_dryrun.csv
stage3:CRK:997177aa687b,CRK,true,PASS,MID_VOL,1.8479672817210988,"not HIGH_VOL and abs(weight_volume_surge)>0.05",DESIGN_ONLY_NOT_IMPLEMENTED,data/_system/analysis/candidate_selection_audit_20260710/integrated_gate_candidate_dryrun.csv
stage3:AEIS:6e26f08a7c6d,AEIS,true,PASS,LOW_VOL,0.6370661188954672,"not HIGH_VOL and abs(weight_volume_surge)>0.05",DESIGN_ONLY_NOT_IMPLEMENTED,data/_system/analysis/candidate_selection_audit_20260710/integrated_gate_candidate_dryrun.csv
