sequence,scope,layer,file,function,line_range,input,filter_or_action,output,parity_note
1,Stage2,배치 완성도 원천,scripts/research/run_stage23_batch.py,build_stage2_central_index_rows,413-438,"STAGE2_DONE 또는 SKIPPED_EXISTING의 survivors.jsonl","완료 상태만 central_index에 기록하고 eligible=true 부여",central_index stage2 row,"라이브는 이 eligible 값을 완성도 대리값으로 사용; dry-run의 별도 completeness 판정과 동일하지 않음"
2,Stage2,원시 pool 읽기,engine/live/elite_shadow_report.py,collect_stage2_elite,337-352,central_index.jsonl,"eligible=true 및 stage=stage2만 유지",Stage2 필터 입력,"central_index는 wrapper append index"
3,Stage2,과거실적·elite 선필터,engine/live/elite_shadow_report.py,collect_stage2_elite,353-373,central_index metrics,"expectancy>=2.7; fitness>=70; OOS trades>=15; win>=70; stress expectancy>=0.5; worst DD>-18; min trades>=8",Stage2 성과 통과 row,"dry-run의 completeness/history/elite 분리 계층과 임계·순서가 다름"
4,Stage2,원본 룰북 로드,engine/live/elite_shadow_report.py,collect_stage2_elite,374-382,source_file+source_row_index,"survivor 원본 row와 full rulebook 로드; anti-pattern 검사",Stage2 raw candidate,"v3·BOIL 판정에 필요한 저장 weight·threshold는 이 source row에 존재"
5,Stage2,anti-pattern,engine/live/elite_shadow_report.py,_rulebook_passes_anti_pattern_filter,262-282,full rulebook+metrics,"expectancy/fitness/market adjustment/holding/target-stop 형상 검사",Stage2 raw candidate 통과,"dry-run elite_static_pass와 다른 live 고유 필터"
6,Stage2,elite 정렬·ticker dedup·cap,engine/live/elite_shadow_report.py,collect_stage2_elite,384-395,모든 Stage2 raw candidate,"elite_score→fitness→expectancy 정렬; ticker 최초 1개; 최대 60개",Stage2 최종 후보,"정적 BLOCK은 이 단계 전에 있어야 차순위 fallback 보존"
7,Stage3,원시 pool 읽기,engine/live/elite_shadow_report.py,collect_stage3_elite,398-423,*/stage3/final_rulebooks.jsonl,"final rulebook 직접 스캔; bull/stress metrics 구성",Stage3 필터 입력,"eligible_stage3_basic/profile catalog를 런타임에서 재검증하지 않음"
8,Stage3,과거실적·elite 선필터,engine/live/elite_shadow_report.py,collect_stage3_elite,424-442,final_rulebook metrics,"expectancy>=2.7; fitness>=45; win>=70; trades>=8; worst DD>-18; anti-pattern",Stage3 raw candidate 통과,"dry-run의 history·elite 계층과 다름"
9,Stage3,후보 payload 구성,engine/live/elite_shadow_report.py,collect_stage3_elite,443-472,full final_rulebook row,"candidate_id/source_file/rulebook_hash와 축약 rulebook payload 생성",Stage3 raw candidate,"축약 payload에는 entry weight·volume_surge_ratio·bb_proximity가 없음"
10,Stage3,elite 정렬·ticker dedup·cap,engine/live/elite_shadow_report.py,collect_stage3_elite,473-484,모든 Stage3 raw candidate,"elite_score→fitness→expectancy 정렬; ticker 최초 1개; 최대 80개",Stage3 최종 후보,"정적 BLOCK은 이 단계 전에 있어야 차순위 fallback 보존"
11,공통,stage 결합,engine/live/elite_shadow_report.py,build_elite_shadow_report,572-575,Stage2 최대60+Stage3 최대80,"두 stage 후보 연결",결합 후보,"stage cap은 이미 적용된 뒤"
12,공통,denylist,engine/live/elite_shadow_report.py,build_elite_shadow_report,576,결합 후보,"candidate_denylist.json 적용",denylist 통과 후보,"현재는 cap·dedup 이후 적용되어 차순위 fallback 없음; dry-run은 denylist-before-dedup"
13,공통,최종 report 정렬,engine/live/elite_shadow_report.py,build_elite_shadow_report,577-608,denylist 통과 후보,"A_core 우선 후 elite_score 정렬",elite shadow report,"현재 report 82개=Stage2 12+Stage3 70"
14,Entry 후보 생성,정규장 gate,data/_system/ops/live_candidate_slots.py,refresh_slots,346-381,daemon 60초 cycle,"정규장 밖이면 기존 candidate_pool 재사용; 정규장이면 market context와 report 재생성",평가 대상 report,"정규장 밖 feature flag 변경은 pool을 즉시 재생성하지 않음"
15,Entry 후보 생성,report slice,data/_system/ops/live_candidate_slots.py,refresh_slots,381-382,elite shadow report,"max_candidates 기본 93으로 앞부분 slice",최대93개 후보,"report가 이미 dedup·cap된 뒤라 여기서 BLOCK하면 fallback 손실"
16,Entry 후보 생성,기존 정적 gate,data/_system/ops/live_candidate_slots.py,refresh_slots,392-398,live_candidate_list_20260707.json,"gate_missing 또는 DROP_BAD_MAE_CAPTURE 제외",구 gate KEEP 후보,"v3·BOIL과 무관한 20260707 고정 93개 gate"
17,Entry 후보 생성,보유 후보 제외,data/_system/ops/live_candidate_slots.py,refresh_slots,399-400,held_exclusions,"이미 보유 처리된 candidate_id 제외",신규 진입 평가 후보,"청산이 아니라 중복 신규 진입 방지"
18,Entry 후보 생성,동적 signal,data/_system/ops/live_candidate_slots.py,refresh_slots,402-418,현재 OHLCV·가격·시장·뉴스,"evaluate_candidate 실행 후 should_buy=true만 유지",buy candidate_pool,"정적 v3·BOIL보다 뒤에 위치해야 할 동적 단계"
19,Entry 후보 생성,pool 정렬·상태 기록,data/_system/ops/live_candidate_slots.py,sort_candidate_pool+refresh_slots,318-343;451-466,buy 후보,"priority_group→final_score 내림차순; candidate_pool/slots/waitlist 저장",live_slots_state.json,"주문 자체는 수행하지 않음"
20,실주문 Entry 소비,후보 pool 읽기,engine/live/s2_auto_trader.py,candidate_pool+compute_order_plan,290-298;342-367,live_slots_state candidate_pool,"held 제외 후 우선순위 첫 후보 선택",order plan 후보,"entry 전용 소비 경로"
21,실주문 Entry 소비,실행 직전 재검증,engine/live/s2_auto_trader.py,_candidate_full_payload+_validate_candidate_signal,300-329,현재 elite report+evaluate_candidate,"현재 report에 후보 존재 및 should_buy=true 재확인",검증된 BUY 후보,"정적 gate의 2차 fail-closed 지점으로 적합하지만 primary로는 너무 늦음"
22,실주문 Entry 소비,BUY 안전·등록,engine/live/s2_auto_trader.py,submit_plan,421-470,검증된 order plan,"real_order_gate; SafetyLayer purpose=entry; broker.place_buy; position 등록",신규 포지션,"exit 경로와 분리"
23,보유·청산,실계좌 exit,engine/live/position_manager.py,check_exits+_check_one,620-790,positions.json+broker holdings+rulebook_snapshot,"ExitPolicy/legacy trigger 평가 후 broker.place_sell",청산 또는 포지션 유지,"live candidate report·v3·BOIL catalog를 호출하지 않음"
24,보유·청산,shadow exit,engine/live/elite_shadow_trader.py,run_shadow_tick+_maybe_close_position,752-770;604-697,elite_shadow_state open_positions,"open position을 후보 entry loop보다 먼저 MTM/청산",shadow 청산 또는 유지,"report에서 후보가 사라져도 기존 shadow position은 소급 제거되지 않음"
