sequence,layer,file,function,line_range,input,output_or_use,persistence,verdict
1,signal calculation,engine/strategies/evaluator.py,evaluate_signal,30-238,"Rulebook+OHLCV+market+sector+VIX+news+events","SignalResult(should_buy score raw_score threshold reasons market_adjustment components)",none_in_function,"계산만 수행"
2,live candidate evaluation,engine/live/elite_shadow_trader.py,evaluate_candidate,395-471,Stage3 candidate+current context,"evaluate_signal 호출 후 ratio 계산; components를 entry_quality에 전달; full dict 반환",caller_dependent,"이 함수 자체는 파일 저장 안 함"
3,live slot filtering,data/_system/ops/live_candidate_slots.py,refresh_slots,402-418,evaluate_candidate result,"should_buy 판단 후 public_candidate_row 호출",none,"component는 이 시점까지 존재"
4,live slot projection,data/_system/ops/live_candidate_slots.py,public_candidate_row,270-315,evaluate_candidate result,"final_score/raw_score/threshold/ratio/price/ATR/market/sector/VIX/reasons만 선택",live_slots_state.json current snapshot,"components·market_adjustment·news_sentiment는 projection에서 탈락"
5,live slot state save,data/_system/ops/live_candidate_slots.py,refresh_slots,419-466,projected pool,"candidate_pool·slots·waitlist 및 first_seen score 저장",live_slots_state.json overwrite,"현재 point snapshot만 부분 보존; append-only entry history 아님"
6,execution recheck,engine/live/s2_auto_trader.py,_validate_candidate_signal,313-329,현재 report candidate,"evaluate_candidate 재호출; full evaluation을 payload로 반환",temporary memory,"components는 메모리에 다시 존재"
7,order plan,engine/live/s2_auto_trader.py,compute_order_plan,361-418,execution payload,"evaluation_summary에 score threshold ratio price ATR should_buy만 선택",s2_auto state if configured,"components/raw_score/market_adjustment 탈락"
8,order intent,engine/live/s2_auto_trader.py,submit_plan,421-475,order plan,"candidate_id ticker shares price notional selected_rulebook ATR 저장",order intent JSONL/event,"score threshold ratio components 미저장"
9,shadow entry evaluation,engine/live/elite_shadow_trader.py,run_shadow_tick,792-853,evaluate_candidate result,"should_buy 및 quality 판단 후 _open_position",temporary memory,"component는 open 직전까지 존재"
10,shadow open persistence,engine/live/elite_shadow_trader.py,_open_position,500-553,evaluate_candidate result,"entry_score entry_threshold entry_ratio entry_reasons 저장",elite_shadow_state.json,"components raw_score market_adjustment 미저장"
11,shadow closed trade,engine/live/elite_shadow_trader.py,close path,existing open position,"entry_score threshold ratio와 outcome 기록",elite_shadow_trades.jsonl,"Top2 재구성 불가"
12,backtest signal snapshot,engine/learning/backtest.py,_signal_snapshot/_signal_full_snapshot,175-184;405-417;636-661,SignalResult,"entry_signal_score raw_score threshold market_adjustment components news/topic/market/sector/VIX/events를 trade dict에 추가",in-memory trade dict,"Stage2 저장 경로에서는 유지"
13,Stage3 compact projection,scripts/research/run_stage3_aggressive.py wrapper→backup module,_compact_exit_trade,919-942;1038-1063,full backtest trade dict,"EXIT_TRADE_OUTPUT_FIELDS 22개만 선택",stage3/exit_trades.jsonl,"모든 entry_signal 계열 필드 탈락"
14,Stage3 exit write,scripts/research/run_stage3_aggressive.py wrapper→backup module,run_validate write,1344-1353,compact exit rows,"append_jsonl(exit_trades.jsonl)",stage3/exit_trades.jsonl,"975118건 모두 entry signal field 0건"
