topic,existing_convention,identified_point,restart_required,behavior,caveat
feature_flag_primary,"data/_system/live_auto_config.json의 selection 객체; s2_auto_config.py가 매 reload 시 JSON merge","selection.static_entry_gate_mode = off|shadow|block 및 policy_version을 두는 위치가 기존 entry 설정 관행과 가장 가까움",false,"collector/report 호출 때마다 설정을 읽는 구현이면 다음 regular-hours refresh에서 반영","현재 live_candidate_slots와 elite_shadow_report는 이 config를 읽지 않으므로 실제 구현이 필요함"
feature_flag_hard_switch,"EXIT_LIVE_POLICY·EXIT_LIVE_SHADOW 및 KINGMAKER_REAL_DASHBOARD_ALLOW_DIRECT_ORDERS 환경변수 관행","정적 entry gate 환경변수도 가능",true,"process 시작 시 고정되는 hard cutover에 적합","빠른 shadow↔block 전환과 운영 rollback에는 JSON 동적 설정보다 불리"
shadow_compare,"exit 경로의 EXIT_LIVE_SHADOW는 실제 결정을 바꾸지 않고 비교 기록","Stage2 382-384·Stage3 472-473 primary hook에서 동일 판정을 수행하되 continue하지 않음",false,"현재 후보 유지; v3/BOIL would-block reason·count·candidate_id만 report summary에 기록","post-report에서 별도 계산하면 primary enforcement와 입력·fallback이 달라질 수 있음"
shadow_observability,"live_slots_state.last_refresh.blocked_summary와 live_slots_events.jsonl","report의 static_gate_summary를 refresh_slots 381 이후 state/event에 복사",false,"cycle별 shadow 차단 규모·sample ID·catalog version 노출","로그는 판정 소비자가 아니라 관측 전용이어야 함"
block_primary,"collector의 skipped Counter가 기존 filter reason을 집계","같은 primary hook에서 BLOCK 모드일 때만 continue",false,"ticker dedup·stage cap 전에 제거되어 차순위 fallback 유지","denylist는 여전히 cap 이후라 dry-run 전체 순서 parity는 별도 문제"
execution_recheck,"S2AutoTrader가 order plan 전에 report와 should_buy를 재검증","_candidate_full_payload 또는 _validate_candidate_signal에서 동일 catalog 상태 확인",false,"stale candidate_pool 후보를 fail-closed","이 지점만으로 차단하면 stage fallback 복원 불가"
config_rollback,"JSON config를 reload하는 기존 S2AutoTrader 관행","mode를 block→shadow 또는 off로 변경",false,"동적 로드 구현 시 다음 regular-hours 60초 cycle에 기존 entry 후보 동작 복귀","정규장 밖 refresh_slots 371-375는 cached pool을 재사용하므로 즉시 pool 재구성이 안 됨"
outside_hours_rollback,"live_candidate_slots CLI force refresh와 daemon guard 재시작 관행","정규장 밖 즉시 반영 필요 시 force_evaluate 또는 daemon 재시작 후 명시적 refresh",conditional,"cached candidate_pool을 새 정책으로 재생성","단순 config 변경만으로는 outside-hours cached pool이 바뀌지 않음"
code_rollback,"scripts/live_candidate_slots_guard.sh restart_daemon 57-62","코드 원복 후 daemon 재시작",true,"새 Python 코드 import 상태를 제거하고 기존 동작 복귀","guard pattern은 live_candidate_slots daemon만 재시작; 별도 shadow daemon이 실행 중이면 별도 재시작 필요"
stale_state_safety,"S2AutoTrader._candidate_full_payload가 현재 report에서 candidate_id를 다시 찾음","gate ON 뒤 과거 candidate_pool에 남은 후보는 report에서 사라져 candidate_not_found로 차단",false,"신규 BUY fail-closed","primary report gate가 실제로 적용돼 있다는 전제"
exit_isolation,"auto_buy_enabled와 auto_exit_enabled가 별도 config 필드; PositionManager는 positions.json 기반","정적 gate flag는 selection 아래에만 두고 exit 객체·EXIT_LIVE_POLICY를 건드리지 않음",false,"신규 entry 후보만 영향","정적 gate mode를 master_enabled나 공용 kill switch에 결합하면 exit까지 막을 수 있으므로 피해야 함"
