candidate_id,stage,ticker,rulebook_hash,source_file,source_row_index,vol_group_final,classification_method,classification_metric,classification_value,classification_limit,signal_threshold,market_multiplier_cap,market_adjustment_strength,use_market_entry_adjustment,weight_ma_align,weight_macd_golden,weight_rsi_zone,weight_bb_near_lower,weight_volume_surge,volume_weight_near_zero,nonvolume_weight_sum,nonvolume_market_cap_final_score,nonvolume_market_cap_threshold_margin,market_cap_nonvolume_min_count,market_cap_nonvolume_subset,neutral_nonvolume_min_count,neutral_nonvolume_subset,nonvolume_entry_possible_market_cap,risk_high_vol_volume_blind,risk_reason,scope_status,origin_complete_bool,boil_existing_bool,ce_existing_fail_bool,history_avg_atr_pct,legacy_candidate_vol_group,legacy_boil_check,base_n,base_avg_pnl_pct,base_win_rate_pct,holdout_n,holdout_avg_pnl_pct,holdout_win_rate_pct,activity_rule_hash,activity_source,activity_source_file,activity_source_line,train_label,train_start,train_end,direction,eligible_days,volume_surge_ratio,activity_volume_surge_weight,volume_weight_abs_diff,volume_surge_fired_count,volume_surge_fired_rate,volume_surge_fired_rate_pct,volume_surge_activity_label,volume_surge_validation_state,stage2_strict_risk,stage2_relaxed_risk,strict_captured,relaxed_captured,is_named_boil_9044
stage2:GSAT:7d070e5b4580,stage2,GSAT,7d070e5b45801332acb40b018de0a20df6df75e107c290a0830ef19f7a6dd606,exp_batch_stage123_2009_20260616_full/tickers/GSAT/stage2/survivors.jsonl,1,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,MEDIAN_CANDIDATE_HISTORY_ATR_PCT,6.975402126853704,proxy from median candidate trade-entry ATR; not exact full-ticker IS std20 tercile,3.184873211950446,1.0,0.5908264221476185,False,1.331152803086042,1.03151628979138,1.56634001237724,1.2627603528586246,0.0,True,5.191769458113287,5.191769458113287,2.006896246162841,3.0,ma+rsi+bb,3.0,ma+rsi+bb,True,True,HIGH_VOL_AND_ENTRY_POSSIBLE_WITHOUT_VOLUME_AT_MARKET_CAP,RISK,True,True,False,6.975402126853704,HIGH_VOL,FAIL,36,3.441948320880716,72.22222222222221,20,4.611655403281911,90.0,7d070e5b45801332acb40b018de0a20df6df75e107c290a0830ef19f7a6dd606,REUSED_A73118D,exp_batch_stage123_2009_20260616_full/tickers/GSAT/stage2/rulebooks_all.jsonl,68,train_1,2022-07-01,2023-06-30,long,251,1.2,0.0,0.0,51,0.2031872509960159,20.31872509960159,ACTIVE,ZERO_WEIGHT_ACTIVE,False,False,False,False,False
stage3:AAOI:ae213c8001ca,stage3,AAOI,ae213c8001ca59303fd5fde1a029190ef152794f910caaeb1f0d253160a1260f,exp_batch_stage123_2009_20260616_full/tickers/AAOI/stage3/final_rulebooks.jsonl,17,HIGH_VOL,EXACT_FROZEN_IS_STD20_TERCILE,IS_AVG_STD20,0.0848138684129,93-candidate frozen analysis mapped consistently by ticker,3.04612728775602,1.346472538335786,0.3464725383357859,True,2.0,1.1335677859461777,1.927328944125084,2.0,0.0,True,7.060896730071262,9.507303543065904,6.461176255309884,2.0,ma+bb,2.0,ma+bb,True,True,HIGH_VOL_AND_ENTRY_POSSIBLE_WITHOUT_VOLUME_AT_MARKET_CAP,RISK,False,True,False,9.24983935542366,HIGH_VOL,FAIL,53,1.055596876325114,54.71698113207547,22,4.235066194994254,63.63636363636363,078adc27c35aa2ba2fa93b443978b44f745c7364fe36b80f1c6a2a0412a4a698,REUSED_A73118D,exp_batch_stage123_2009_20260616_full/tickers/AAOI/stage3/entry_rulebooks.jsonl,20,train_3,2024-07-01,2025-06-30,long,250,1.8741530682161467,0.0,0.0,7,0.028,2.8000000000000003,ACTIVE,ZERO_WEIGHT_ACTIVE,False,False,False,False,False
stage3:AAOI:c0c59406f865,stage3,AAOI,c0c59406f865af838259f4c69bec0391eaba7d6b28986e7c83b6aacfa3256c66,exp_batch_stage123_2009_20260616_full/tickers/AAOI/stage3/final_rulebooks.jsonl,16,HIGH_VOL,EXACT_FROZEN_IS_STD20_TERCILE,IS_AVG_STD20,0.0848138684129,93-candidate frozen analysis mapped consistently by ticker,3.04612728775602,1.346472538335786,0.3464725383357859,True,2.0,1.1335677859461777,1.927328944125084,2.0,0.0,True,7.060896730071262,9.507303543065904,6.461176255309884,2.0,ma+bb,2.0,ma+bb,True,True,HIGH_VOL_AND_ENTRY_POSSIBLE_WITHOUT_VOLUME_AT_MARKET_CAP,RISK,False,True,False,9.032686707520677,HIGH_VOL,FAIL,54,1.7123407203495062,55.55555555555556,22,4.734789408401739,63.63636363636363,078adc27c35aa2ba2fa93b443978b44f745c7364fe36b80f1c6a2a0412a4a698,REUSED_A73118D,exp_batch_stage123_2009_20260616_full/tickers/AAOI/stage3/entry_rulebooks.jsonl,20,train_3,2024-07-01,2025-06-30,long,250,1.8741530682161467,0.0,0.0,7,0.028,2.8000000000000003,ACTIVE,ZERO_WEIGHT_ACTIVE,False,False,False,False,False
stage3:AAOI:e0ab243df98a,stage3,AAOI,e0ab243df98add650c0088d71e7a45d7904343fc464051aff447929802750d71,exp_batch_stage123_2009_20260616_full/tickers/AAOI/stage3/final_rulebooks.jsonl,14,HIGH_VOL,EXACT_FROZEN_IS_STD20_TERCILE,IS_AVG_STD20,0.0848138684129,93-candidate frozen analysis mapped consistently by ticker,3.04612728775602,1.346472538335786,0.3464725383357859,True,2.0,1.1335677859461777,1.927328944125084,2.0,0.0,True,7.060896730071262,9.507303543065904,6.461176255309884,2.0,ma+bb,2.0,ma+bb,True,True,HIGH_VOL_AND_ENTRY_POSSIBLE_WITHOUT_VOLUME_AT_MARKET_CAP,RISK,False,True,False,9.657534680139808,HIGH_VOL,FAIL,53,1.2802821661910038,54.71698113207547,22,4.9284099056553705,59.09090909090909,078adc27c35aa2ba2fa93b443978b44f745c7364fe36b80f1c6a2a0412a4a698,REUSED_A73118D,exp_batch_stage123_2009_20260616_full/tickers/AAOI/stage3/entry_rulebooks.jsonl,20,train_3,2024-07-01,2025-06-30,long,250,1.8741530682161467,0.0,0.0,7,0.028,2.8000000000000003,ACTIVE,ZERO_WEIGHT_ACTIVE,False,False,False,False,False
stage3:AAON:0154152801c6,stage3,AAON,0154152801c64735fbcab2a7fe1bb1c16ad9e96e47b75359dde924e5658ea29f,exp_batch_stage123_2009_20260616_full/tickers/AAON/stage3/final_rulebooks.jsonl,55,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,MEDIAN_CANDIDATE_HISTORY_ATR_PCT,5.668091219086488,proxy from median candidate trade-entry ATR; not exact full-ticker IS std20 tercile,2.216292413240484,1.0,0.0,False,2.0,1.615097906504977,0.3027956520406395,0.0,0.0,True,3.9178935585456167,3.9178935585456167,1.7016011453051323,2.0,ma+macd,2.0,ma+macd,True,True,HIGH_VOL_AND_ENTRY_POSSIBLE_WITHOUT_VOLUME_AT_MARKET_CAP,RISK,False,True,False,5.903873455174409,HIGH_VOL,FAIL,45,1.3606976331727447,48.888888888888886,15,0.327181383380716,53.333333333333336,9ae5d2cc461b9845e968417dd25f133f465655767cc4d1d0ed82ae5542899059,REUSED_A73118D,exp_batch_stage123_2009_20260616_full/tickers/AAON/stage3/entry_rulebooks.jsonl,6,train_3,2024-07-01,2025-06-30,long,250,1.6747153098149488,0.0,0.0,12,0.048,4.8,ACTIVE,ZERO_WEIGHT_ACTIVE,False,False,False,False,False
stage3:AAON:12194937e0a0,stage3,AAON,12194937e0a09689b2b85e4569530621878eec84906845e7965b842f3a67706b,exp_batch_stage123_2009_20260616_full/tickers/AAON/stage3/final_rulebooks.jsonl,10,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,MEDIAN_CANDIDATE_HISTORY_ATR_PCT,5.668091219086488,proxy from median candidate trade-entry ATR; not exact full-ticker IS std20 tercile,2.3519512787969727,1.192508333517945,0.192508333517945,True,2.0,1.615097906504977,0.3027956520406395,0.893198852088239,0.0,True,4.811092410633856,5.737267793005812,3.3853165142088395,1.0,ma,2.0,ma+macd,True,True,HIGH_VOL_AND_ENTRY_POSSIBLE_WITHOUT_VOLUME_AT_MARKET_CAP,RISK,True,True,False,8.791301151116457,HIGH_VOL,FAIL,36,3.045316939280416,61.11111111111112,14,1.9627561793441288,50.0,a7f695f7a9942a86ef8d1e2be19c8754620369cb25addeef6caa999c966c3189,REUSED_A73118D,exp_batch_stage123_2009_20260616_full/tickers/AAON/stage3/entry_rulebooks.jsonl,19,train_3,2024-07-01,2025-06-30,long,250,1.6747153098149488,0.0,0.0,12,0.048,4.8,ACTIVE,ZERO_WEIGHT_ACTIVE,False,False,False,False,False
stage3:AAON:19975cf5aa18,stage3,AAON,19975cf5aa1810b0c6de88df75c83b53251b36c67ac09fc3b33c2a5eb7e9e15b,exp_batch_stage123_2009_20260616_full/tickers/AAON/stage3/final_rulebooks.jsonl,7,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,MEDIAN_CANDIDATE_HISTORY_ATR_PCT,5.668091219086488,proxy from median candidate trade-entry ATR; not exact full-ticker IS std20 tercile,2.19527770606247,1.082465367085692,0.0824653670856921,True,1.872611920479556,1.615097906504977,0.3027956520406395,0.3055866453837517,0.0,True,4.096092124408925,4.433877865065119,2.2386001590026487,2.0,ma+macd,2.0,ma+macd,True,True,HIGH_VOL_AND_ENTRY_POSSIBLE_WITHOUT_VOLUME_AT_MARKET_CAP,RISK,False,True,False,7.902243822069755,HIGH_VOL,FAIL,41,2.568707695402651,56.09756097560976,25,-0.5009197516859242,40.0,725e42f708b24f8d509c09b8de6bcfa6ffee1f3e034662cf639067e0b4f11ee9,REUSED_A73118D,exp_batch_stage123_2009_20260616_full/tickers/AAON/stage3/entry_rulebooks.jsonl,10,train_3,2024-07-01,2025-06-30,long,250,1.814667082539244,0.0,0.0,6,0.024,2.4,ACTIVE,ZERO_WEIGHT_ACTIVE,False,False,False,False,False
stage3:AAON:34aac6eb1caf,stage3,AAON,34aac6eb1cafd2a630d285601f0765b51e44fc4c173e99c530d4e6c1ccd490b7,exp_batch_stage123_2009_20260616_full/tickers/AAON/stage3/final_rulebooks.jsonl,12,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,MEDIAN_CANDIDATE_HISTORY_ATR_PCT,5.668091219086488,proxy from median candidate trade-entry ATR; not exact full-ticker IS std20 tercile,2.3519512787969727,1.192508333517945,0.192508333517945,True,2.0,1.615097906504977,0.3027956520406395,0.893198852088239,0.0,True,4.811092410633856,5.737267793005812,3.3853165142088395,1.0,ma,2.0,ma+macd,True,True,HIGH_VOL_AND_ENTRY_POSSIBLE_WITHOUT_VOLUME_AT_MARKET_CAP,RISK,True,True,False,7.6559072581270815,HIGH_VOL,FAIL,35,2.500694356880394,60.0,14,1.744538195649205,50.0,a7f695f7a9942a86ef8d1e2be19c8754620369cb25addeef6caa999c966c3189,REUSED_A73118D,exp_batch_stage123_2009_20260616_full/tickers/AAON/stage3/entry_rulebooks.jsonl,19,train_3,2024-07-01,2025-06-30,long,250,1.6747153098149488,0.0,0.0,12,0.048,4.8,ACTIVE,ZERO_WEIGHT_ACTIVE,False,False,False,False,False
stage3:AAON:8dc5711e9e50,stage3,AAON,8dc5711e9e50f7af5406d202d2828c9b4a9e0dc544d6cf98ae35cb2b9e592d03,exp_batch_stage123_2009_20260616_full/tickers/AAON/stage3/final_rulebooks.jsonl,9,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,MEDIAN_CANDIDATE_HISTORY_ATR_PCT,5.668091219086488,proxy from median candidate trade-entry ATR; not exact full-ticker IS std20 tercile,2.19527770606247,1.082465367085692,0.0824653670856921,True,1.872611920479556,1.615097906504977,0.3027956520406395,0.3055866453837517,0.0,True,4.096092124408925,4.433877865065119,2.2386001590026487,2.0,ma+macd,2.0,ma+macd,True,True,HIGH_VOL_AND_ENTRY_POSSIBLE_WITHOUT_VOLUME_AT_MARKET_CAP,RISK,False,True,False,6.882920671835677,HIGH_VOL,FAIL,41,2.5664319406451748,56.09756097560976,25,-0.5022660356816481,40.0,725e42f708b24f8d509c09b8de6bcfa6ffee1f3e034662cf639067e0b4f11ee9,REUSED_A73118D,exp_batch_stage123_2009_20260616_full/tickers/AAON/stage3/entry_rulebooks.jsonl,10,train_3,2024-07-01,2025-06-30,long,250,1.814667082539244,0.0,0.0,6,0.024,2.4,ACTIVE,ZERO_WEIGHT_ACTIVE,False,False,False,False,False
stage3:AAON:a192ab39cdc5,stage3,AAON,a192ab39cdc5142631822bc619734ed518597ae6ce9fa72729af569d20ea91a0,exp_batch_stage123_2009_20260616_full/tickers/AAON/stage3/final_rulebooks.jsonl,8,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,MEDIAN_CANDIDATE_HISTORY_ATR_PCT,5.668091219086488,proxy from median candidate trade-entry ATR; not exact full-ticker IS std20 tercile,2.19527770606247,1.082465367085692,0.0824653670856921,True,1.872611920479556,1.615097906504977,0.3027956520406395,0.3055866453837517,0.0,True,4.096092124408925,4.433877865065119,2.2386001590026487,2.0,ma+macd,2.0,ma+macd,True,True,HIGH_VOL_AND_ENTRY_POSSIBLE_WITHOUT_VOLUME_AT_MARKET_CAP,RISK,False,True,False,6.882920671835677,HIGH_VOL,FAIL,41,2.5664319406451748,56.09756097560976,25,-0.5022660356816481,40.0,725e42f708b24f8d509c09b8de6bcfa6ffee1f3e034662cf639067e0b4f11ee9,REUSED_A73118D,exp_batch_stage123_2009_20260616_full/tickers/AAON/stage3/entry_rulebooks.jsonl,10,train_3,2024-07-01,2025-06-30,long,250,1.814667082539244,0.0,0.0,6,0.024,2.4,ACTIVE,ZERO_WEIGHT_ACTIVE,False,False,False,False,False
