part,item,backtest_value,live_value,match_or_status,source_note,default_or_missing_note,impact
A_rulebook,load_path,exp_batch_stage123_2009_20260616_full/tickers/CE/stage3/final_rulebooks.jsonl,exp_batch_stage123_2009_20260616_full/tickers/CE/stage3/final_rulebooks.jsonl,SAME_FILE,backtest_frozen_and_live_candidate_slots_full_revalidation,NONE,NONE
A_rulebook,load_format,full final_rulebooks.jsonl row['rulebook'],full final_rulebooks.jsonl row['rulebook'],MATCH,Rulebook.from_dict(full dict),NONE,NONE
A_rulebook,real_dashboard_snapshot_format,full final_rulebooks.jsonl row['rulebook'],data/_system/live_slots_state.json compact candidate snapshot,DIFFERENT_FILE,real_dashboard direct buy fallback candidate payload,selected_rulebook/rulebook dict missing,AFFECTS_FULL_REVALIDATION_AVAILABILITY
A_rulebook,sector_name,tech,tech,MATCH,full_rulebook,NONE,NONE
A_rulebook,use_market_entry_adjustment,False,False,MATCH,full_rulebook,NONE,NONE
A_rulebook,sector_strength_weight,-0.6208615991099308,-0.6208615991099308,MATCH,full_rulebook,NONE,NONE
A_rulebook,market_adjustment_strength,0.10684213221952549,0.10684213221952549,MATCH,full_rulebook,NONE,NONE
A_rulebook,market_score_weight,0.008840218406678813,0.008840218406678813,MATCH,full_rulebook,NONE,NONE
A_rulebook,vix_sensitivity,-1.0,-1.0,MATCH,full_rulebook,NONE,NONE
A_rulebook,signal_threshold,2.6541866643896674,2.6541866643896674,MATCH,full_rulebook,NONE,NONE
A_rulebook,use_event_block,True,True,MATCH,full_rulebook,NONE,NONE
A_rulebook,event_response_war,0.5423230960412313,0.5423230960412313,MATCH,full_rulebook,NONE,NONE
A_rulebook,event_response_rate_hike,1.4331502126146771,1.4331502126146771,MATCH,full_rulebook,NONE,NONE
A_rulebook,event_response_rate_cut,-0.8925811195689358,-0.8925811195689358,MATCH,full_rulebook,NONE,NONE
A_rulebook,event_response_geopolitical,-1.931246851347001,-1.931246851347001,MATCH,full_rulebook,NONE,NONE
A_rulebook,event_response_tariff,-1.214004165245134,-1.214004165245134,MATCH,full_rulebook,NONE,NONE
A_rulebook,event_response_export_ban,-0.3083143715618548,-0.3083143715618548,MATCH,full_rulebook,NONE,NONE
