ticker,candidate_id,stage,bucket,name,rulebook_has_sector_name,rulebook_sector_name,detected_sector_name,detect_reason,sector_strength_weight,market_score_weight,market_adjustment_strength
CAPR,stage3:CAPR:a51d615a0ff1,stage3,A_core,Capricor Therapeutics Inc,False,,tech,default_fallback_to_tech,0.16776638979114683,-0.3708203144308721,0.29479248410308323
CDE,stage3:CDE:ceb9fe0512dc,stage3,A_core,Coeur Mining Inc,False,,tech,default_fallback_to_tech,0.2596616904359823,0.8385905624111898,0.72564732358922
BBIO,stage3:BBIO:82c4a7aa36a9,stage3,A_core,BridgeBio Pharma Inc,False,,healthcare,explicit_healthcare_keyword,-0.6422644695014252,-0.2739081453840282,1.0
CSIQ,stage3:CSIQ:030ce2015af8,stage3,A_core,Canadian Solar Inc,False,,tech,default_fallback_to_tech,0.059568492764859704,0.7683136406200035,0.33648166769851806
BOIL,stage3:BOIL:9044dc2c67a3,stage3,A_core,ProShares Ultra Bloomberg Natural Gas 2x Shares,False,,tech,default_fallback_to_tech,-0.5439897145330602,0.8283914998996856,0.7608617272119501
ANET,stage3:ANET:fe220620802b,stage3,A_core,Arista Networks Inc,False,,tech,default_fallback_to_tech,0.017806401332763233,-0.38002235153479513,0.5274642035018973
AMD,stage3:AMD:a01b055a1d13,stage3,A_core,Advanced Micro Devices Inc,False,,tech,default_fallback_to_tech,-0.28735045190095165,-0.4202689621564865,0.9507335204456673
CAN,stage3:CAN:dd27c77ca4dc,stage3,A_core,Canaan Inc,False,,tech,default_fallback_to_tech,0.8288039671415096,-0.2323235417034485,0.6538973025552747
CAMT,stage3:CAMT:bd5f11c548d5,stage3,A_core,Camtek Ltd,False,,tech,default_fallback_to_tech,-0.028757424398368148,0.2299905666763069,0.5248644578570784
FIX,stage2:FIX:cab7d458767d,stage2,A_core,Comfort Systems USA Inc,False,,tech,default_fallback_to_tech,1.0,0.3518547462982013,0.4027345855702504
ALGT,stage2:ALGT:402f72d48c3c,stage2,A_core,Allegiant Travel,False,,tech,default_fallback_to_tech,0.8642383261204772,0.29010420291152,0.9367116722494253
CMC,stage2:CMC:4f6ee2739add,stage2,A_core,Commercial Metals Company,False,,tech,default_fallback_to_tech,0.39130546292146495,-0.7506609530761108,0.1349538908800039
AEVA,stage3:AEVA:3c4e598fa5c7,stage3,watch,Aeva Technologies Inc,False,,tech,explicit_tech_keyword,-0.2261241422713205,-1.0,0.17936402878286573
AAOI,stage3:AAOI:5fa4b9dea9eb,stage3,watch,Applied Optoelectronics Inc,False,,tech,default_fallback_to_tech,-0.4046662414476454,0.21650506106715667,0.10514007202599804
BE,stage3:BE:b07b2e49fef8,stage3,B_stable,Bloom Energy Corp - Class A,False,,energy,explicit_energy_keyword,-1.0,0.917548152143959,0.661966024914923
CENX,stage3:CENX:53d7b0caa6a3,stage3,B_stable,Century Aluminum Company,False,,tech,default_fallback_to_tech,-1.0,0.13425658387907619,0.5444138059705865
AVAV,stage3:AVAV:3d66945d7c65,stage3,C_momentum,AeroVironment Inc,False,,tech,default_fallback_to_tech,-1.0,-0.42267128006220694,0.543479689017021
CRMD,stage3:CRMD:1a48a9a1b768,stage3,B_stable,CorMedix Inc,False,,tech,default_fallback_to_tech,0.13172609332667262,0.7567987599415307,1.0
AMSC,stage3:AMSC:57bf3f342f43,stage3,C_momentum,American Superconductor Corp,False,,tech,default_fallback_to_tech,-0.277190156745331,0.5752469022865583,0.3181166440838705
CLS,stage3:CLS:78777565b183,stage3,watch,Celestica Inc,False,,tech,default_fallback_to_tech,0.3568698225266257,1.0,0.3013705900526917
CRK,stage3:CRK:997177aa687b,stage3,C_momentum,Comstock Resources Inc,False,,tech,default_fallback_to_tech,-0.06564004720858135,-0.4620425769259667,0.8249640163963188
CAR,stage3:CAR:ce44ff6acbb5,stage3,C_momentum,Avis Budget Group Inc,False,,tech,default_fallback_to_tech,0.8323426496048285,0.7876319822223017,0.26726114658464256
AGQ,stage3:AGQ:6d10e70f54ee,stage3,B_stable,ProShares Ultra Silver 2x Shares,False,,tech,default_fallback_to_tech,-0.5754636386660723,0.603383749121863,0.5426590543357791
AXON,stage3:AXON:25b116de3cd4,stage3,C_momentum,Axon Enterprise Inc,False,,tech,default_fallback_to_tech,-0.9051365140749132,-1.0,1.0
BKSY,stage3:BKSY:f1bcc8efea02,stage3,watch,BlackSky Technology Inc - Class A,False,,tech,explicit_tech_keyword,1.0,0.38202236591677385,0.8737523835778197
CIEN,stage3:CIEN:2ed675d30868,stage3,C_momentum,CIENA Corp,False,,tech,default_fallback_to_tech,0.5271378653806593,-0.04765260890224429,0.10109941352094165
CGC,stage3:CGC:650b7578c8c7,stage3,watch,Canopy Growth Corporation,False,,tech,default_fallback_to_tech,-0.27634662363244544,0.8457679872014021,1.0
AVGO,stage3:AVGO:e4fd3cee2402,stage3,C_momentum,Broadcom Inc,False,,tech,default_fallback_to_tech,1.0,0.42722466570193357,0.6923257296538712
CCL,stage3:CCL:82d5bafb7e78,stage3,C_momentum,Carnival Corporation Ltd (Paired Stock),False,,tech,default_fallback_to_tech,0.3965998254047654,-0.7700889040380197,0.2041996830055036
ARKW,stage3:ARKW:296c057b4ef7,stage3,watch,ARK NEXT GENERATION INTERNET ETF ,False,,tech,default_fallback_to_tech,-0.9157437328789978,-0.7036707933093163,0.3448784991618167
CRS,stage3:CRS:8695c9ce3320,stage3,watch,Carpenter Technology Corp,False,,tech,explicit_tech_keyword,-0.041497642809305055,-0.3342660607984012,0.13152898967369853
COHR,stage3:COHR:10ef1bf6b0d1,stage3,watch,Coherent Corp,False,,tech,default_fallback_to_tech,-0.8282431989117633,-1.0,0.20806539986491324
BTE,stage3:BTE:4ba9af200f79,stage3,watch,Baytex Energy Corp,False,,energy,explicit_energy_keyword,-0.8380703696569978,-0.5532879122772305,0.35053234927927757
AMBA,stage3:AMBA:5e057e3cfc2d,stage3,watch,Ambarella Inc,False,,tech,default_fallback_to_tech,-0.17471439453977639,1.0,0.17522507110763635
CLDX,stage3:CLDX:99264f63b69d,stage3,watch,Celldex Therapeutics Inc,False,,tech,default_fallback_to_tech,0.4185606050162438,-0.6953558078433071,1.0
BMA,stage3:BMA:0c978464f9dd,stage3,C_momentum,Banco Macro S.A.,False,,tech,default_fallback_to_tech,1.0,-0.2633634448515037,1.0
BELFB,stage3:BELFB:b031f5add884,stage3,watch,Bel Fuse Inc - Class B,False,,tech,default_fallback_to_tech,-0.08012321086744811,-0.25477039127149603,0.4860508420612276
CRWD,stage3:CRWD:a1e78fe5f62e,stage3,B_stable,Crowdstrike Holdings Inc - Class A,False,,tech,default_fallback_to_tech,0.01524739368440109,0.40792414852398595,0.10221180349997472
