champion_origin_train_label,exit_reason,holding_sessions,method,model_hash,regime,ticker,trade_count,trade_share
train_1,TARGET_DATE_REACHED,2,rolling_target_2_sessions_tp_off,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,train,ADMA,38,0.8837209302325582
train_1,TARGET_DATE_REACHED,3,rolling_target_2_sessions_tp_off,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,train,ADMA,5,0.11627906976744186
train_1,EARLY_TAKE_PROFIT,0,rolling_target_2_sessions_tp_on,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,train,ADMA,10,0.23255813953488372
train_1,EARLY_TAKE_PROFIT,1,rolling_target_2_sessions_tp_on,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,train,ADMA,13,0.3023255813953488
train_1,EARLY_TAKE_PROFIT,2,rolling_target_2_sessions_tp_on,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,train,ADMA,7,0.16279069767441862
train_1,TARGET_DATE_REACHED,2,rolling_target_2_sessions_tp_on,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,train,ADMA,12,0.27906976744186046
train_1,TARGET_DATE_REACHED,3,rolling_target_2_sessions_tp_on,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,train,ADMA,1,0.023255813953488372
train_1,FIXED_TWO_SESSION_EXIT,2,fixed_2_sessions,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,train,ADMA,43,1.0
train_1,TARGET_DATE_REACHED,2,rolling_target_2_sessions_tp_off,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,stress,ADMA,24,0.9230769230769231
train_1,TARGET_DATE_REACHED,3,rolling_target_2_sessions_tp_off,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,stress,ADMA,2,0.07692307692307693
train_1,EARLY_TAKE_PROFIT,0,rolling_target_2_sessions_tp_on,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,stress,ADMA,4,0.14814814814814814
train_1,EARLY_TAKE_PROFIT,1,rolling_target_2_sessions_tp_on,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,stress,ADMA,1,0.037037037037037035
train_1,EARLY_TAKE_PROFIT,2,rolling_target_2_sessions_tp_on,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,stress,ADMA,2,0.07407407407407407
train_1,TARGET_DATE_REACHED,2,rolling_target_2_sessions_tp_on,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,stress,ADMA,19,0.7037037037037037
train_1,EARLY_TAKE_PROFIT,3,rolling_target_2_sessions_tp_on,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,stress,ADMA,1,0.037037037037037035
train_1,FIXED_TWO_SESSION_EXIT,2,fixed_2_sessions,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,stress,ADMA,26,1.0
train_1,TARGET_DATE_REACHED,2,rolling_target_2_sessions_tp_off,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,oos,ADMA,9,0.6428571428571429
train_1,TARGET_DATE_REACHED,3,rolling_target_2_sessions_tp_off,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,oos,ADMA,5,0.35714285714285715
train_1,EARLY_TAKE_PROFIT,0,rolling_target_2_sessions_tp_on,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,oos,ADMA,2,0.14285714285714285
train_1,EARLY_TAKE_PROFIT,1,rolling_target_2_sessions_tp_on,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,oos,ADMA,6,0.42857142857142855
train_1,EARLY_TAKE_PROFIT,2,rolling_target_2_sessions_tp_on,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,oos,ADMA,1,0.07142857142857142
train_1,TARGET_DATE_REACHED,2,rolling_target_2_sessions_tp_on,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,oos,ADMA,3,0.21428571428571427
train_1,TARGET_DATE_REACHED,3,rolling_target_2_sessions_tp_on,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,oos,ADMA,2,0.14285714285714285
train_1,FIXED_TWO_SESSION_EXIT,2,fixed_2_sessions,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,oos,ADMA,14,1.0
train_3,TARGET_DATE_REACHED,2,rolling_target_2_sessions_tp_off,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,train,CRS,44,0.7719298245614035
train_3,TARGET_DATE_REACHED,3,rolling_target_2_sessions_tp_off,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,train,CRS,8,0.14035087719298245
train_3,TARGET_DATE_REACHED,4,rolling_target_2_sessions_tp_off,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,train,CRS,4,0.07017543859649122
train_3,TARGET_DATE_REACHED,5,rolling_target_2_sessions_tp_off,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,train,CRS,1,0.017543859649122806
train_3,EARLY_TAKE_PROFIT,0,rolling_target_2_sessions_tp_on,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,train,CRS,16,0.26666666666666666
train_3,EARLY_TAKE_PROFIT,1,rolling_target_2_sessions_tp_on,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,train,CRS,12,0.2
train_3,EARLY_TAKE_PROFIT,2,rolling_target_2_sessions_tp_on,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,train,CRS,13,0.21666666666666667
train_3,TARGET_DATE_REACHED,2,rolling_target_2_sessions_tp_on,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,train,CRS,15,0.25
train_3,EARLY_TAKE_PROFIT,3,rolling_target_2_sessions_tp_on,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,train,CRS,2,0.03333333333333333
train_3,TARGET_DATE_REACHED,4,rolling_target_2_sessions_tp_on,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,train,CRS,1,0.016666666666666666
train_3,TARGET_DATE_REACHED,5,rolling_target_2_sessions_tp_on,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,train,CRS,1,0.016666666666666666
train_3,FIXED_TWO_SESSION_EXIT,2,fixed_2_sessions,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,train,CRS,58,1.0
train_3,TARGET_DATE_REACHED,2,rolling_target_2_sessions_tp_off,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,stress,CRS,25,0.78125
train_3,TARGET_DATE_REACHED,3,rolling_target_2_sessions_tp_off,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,stress,CRS,2,0.0625
train_3,TARGET_DATE_REACHED,4,rolling_target_2_sessions_tp_off,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,stress,CRS,5,0.15625
train_3,EARLY_TAKE_PROFIT,0,rolling_target_2_sessions_tp_on,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,stress,CRS,8,0.24242424242424243
train_3,EARLY_TAKE_PROFIT,1,rolling_target_2_sessions_tp_on,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,stress,CRS,10,0.30303030303030304
train_3,EARLY_TAKE_PROFIT,2,rolling_target_2_sessions_tp_on,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,stress,CRS,2,0.06060606060606061
train_3,TARGET_DATE_REACHED,2,rolling_target_2_sessions_tp_on,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,stress,CRS,9,0.2727272727272727
train_3,TARGET_DATE_REACHED,3,rolling_target_2_sessions_tp_on,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,stress,CRS,1,0.030303030303030304
train_3,TARGET_DATE_REACHED,4,rolling_target_2_sessions_tp_on,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,stress,CRS,3,0.09090909090909091
train_3,FIXED_TWO_SESSION_EXIT,2,fixed_2_sessions,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,stress,CRS,32,1.0
train_3,TARGET_DATE_REACHED,2,rolling_target_2_sessions_tp_off,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,oos,CRS,16,0.8888888888888888
train_3,TARGET_DATE_REACHED,3,rolling_target_2_sessions_tp_off,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,oos,CRS,2,0.1111111111111111
train_3,EARLY_TAKE_PROFIT,0,rolling_target_2_sessions_tp_on,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,oos,CRS,3,0.16666666666666666
train_3,EARLY_TAKE_PROFIT,1,rolling_target_2_sessions_tp_on,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,oos,CRS,4,0.2222222222222222
train_3,EARLY_TAKE_PROFIT,2,rolling_target_2_sessions_tp_on,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,oos,CRS,3,0.16666666666666666
train_3,TARGET_DATE_REACHED,2,rolling_target_2_sessions_tp_on,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,oos,CRS,6,0.3333333333333333
train_3,EARLY_TAKE_PROFIT,3,rolling_target_2_sessions_tp_on,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,oos,CRS,1,0.05555555555555555
train_3,TARGET_DATE_REACHED,3,rolling_target_2_sessions_tp_on,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,oos,CRS,1,0.05555555555555555
train_3,FIXED_TWO_SESSION_EXIT,2,fixed_2_sessions,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,oos,CRS,18,1.0
train_3,TARGET_DATE_REACHED,2,rolling_target_2_sessions_tp_off,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,train,ALGT,37,0.7708333333333334
train_3,TARGET_DATE_REACHED,3,rolling_target_2_sessions_tp_off,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,train,ALGT,11,0.22916666666666666
train_3,EARLY_TAKE_PROFIT,0,rolling_target_2_sessions_tp_on,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,train,ALGT,16,0.32
train_3,EARLY_TAKE_PROFIT,1,rolling_target_2_sessions_tp_on,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,train,ALGT,9,0.18
train_3,EARLY_TAKE_PROFIT,2,rolling_target_2_sessions_tp_on,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,train,ALGT,8,0.16
train_3,TARGET_DATE_REACHED,2,rolling_target_2_sessions_tp_on,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,train,ALGT,11,0.22
train_3,EARLY_TAKE_PROFIT,3,rolling_target_2_sessions_tp_on,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,train,ALGT,1,0.02
train_3,TARGET_DATE_REACHED,3,rolling_target_2_sessions_tp_on,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,train,ALGT,5,0.1
train_3,FIXED_TWO_SESSION_EXIT,2,fixed_2_sessions,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,train,ALGT,48,1.0
train_3,FORCED_PERIOD_END_MARK_TO_MARKET,1,rolling_target_2_sessions_tp_off,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,stress,ALGT,1,0.037037037037037035
train_3,TARGET_DATE_REACHED,2,rolling_target_2_sessions_tp_off,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,stress,ALGT,16,0.5925925925925926
train_3,TARGET_DATE_REACHED,3,rolling_target_2_sessions_tp_off,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,stress,ALGT,10,0.37037037037037035
train_3,EARLY_TAKE_PROFIT,0,rolling_target_2_sessions_tp_on,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,stress,ALGT,6,0.21428571428571427
train_3,EARLY_TAKE_PROFIT,1,rolling_target_2_sessions_tp_on,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,stress,ALGT,2,0.07142857142857142
train_3,FORCED_PERIOD_END_MARK_TO_MARKET,1,rolling_target_2_sessions_tp_on,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,stress,ALGT,1,0.03571428571428571
train_3,TARGET_DATE_REACHED,2,rolling_target_2_sessions_tp_on,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,stress,ALGT,11,0.39285714285714285
train_3,EARLY_TAKE_PROFIT,3,rolling_target_2_sessions_tp_on,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,stress,ALGT,1,0.03571428571428571
train_3,TARGET_DATE_REACHED,3,rolling_target_2_sessions_tp_on,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,stress,ALGT,7,0.25
