trade_row_id,candidate_id,ticker,split,signal_date,entry_date,exit_date,eq_replay_mode,eq_row_reproducible_approx,eq_allow,eq_group,eq_label,eq_grade,eq_score,eq_primary_reason,eq_size_factor,eq_block_reasons,eq_reduce_reasons,eq_price_used,entry_signal_score,entry_signal_threshold,score_excess,net_pct,s2_net,s2_hold,s2_exit_date,s2_exit_price,entry_price,MAE,s2_MAE,vol_group
0,stage2:AGI:202bb1a936de,AGI,IS,2021-03-30,2021-03-31,2021-04-12,APPROX_OHLC_SIGNALDATE_CLOSE_NO_EVENT_NEWS_REASONS,True,False,BLOCK,FAILED_FOLLOW_THROUGH,FAILED,0,failed_follow_through_q_lt_45,1,failed_follow_through_q_lt_45,,7.53999996185,1.87724906756,1.5,0.37724906756,7.15482603767,7.15482603767,7,2021-04-12,8.14592461872,7.57999992371,0,0,MID_VOL
1,stage2:AGI:202bb1a936de,AGI,IS,2021-05-10,2021-05-11,2021-05-20,APPROX_OHLC_SIGNALDATE_CLOSE_NO_EVENT_NEWS_REASONS,True,True,ALLOW,WEAK_FOLLOW_THROUGH,WEAK,47,passed,1,,,8.60999965668,2.1503753482,1.5,0.6503753482,8.73352747182,8.73352747182,7,2021-05-20,9.22538454247,8.46000003815,-1.4184383572,-1.4184383572,MID_VOL
2,stage2:AGI:202bb1a936de,AGI,IS,2021-05-11,2021-05-12,2021-05-17,APPROX_OHLC_SIGNALDATE_CLOSE_NO_EVENT_NEWS_REASONS,True,True,ALLOW,HEALTHY_FOLLOW_THROUGH,HEALTHY,63,passed,1,,,8.72000026703,1.73930020184,1.5,0.23930020184,4.45145430259,4.45145430259,3,2021-05-17,9.14542461872,8.72999954224,-4.46734719473,-4.46734719473,MID_VOL
3,stage2:AGI:202bb1a936de,AGI,IS,2021-05-12,2021-05-13,2021-05-24,APPROX_OHLC_SIGNALDATE_CLOSE_NO_EVENT_NEWS_REASONS,True,False,BLOCK,FAILED_FOLLOW_THROUGH,FAILED,0,failed_follow_through_q_lt_45,1,failed_follow_through_q_lt_45,,8.47999954224,1.8707613715,1.5,0.3707613715,6.61836621971,6.61836621971,7,2021-05-24,9.03547996187,8.44999980927,0,0,MID_VOL
4,stage2:AGI:202bb1a936de,AGI,IS,2021-05-13,2021-05-14,2021-05-25,APPROX_OHLC_SIGNALDATE_CLOSE_NO_EVENT_NEWS_REASONS,True,False,BLOCK,FAILED_FOLLOW_THROUGH,FAILED,0,failed_follow_through_q_lt_45,1,failed_follow_through_q_lt_45,,8.40999984741,2.11895318029,1.5,0.61895318029,7.10306036043,7.10306036043,7,2021-05-25,9.20539503813,8.56999969482,0,0,MID_VOL
5,stage2:AGI:202bb1a936de,AGI,IS,2021-05-14,2021-05-17,2021-05-26,APPROX_OHLC_SIGNALDATE_CLOSE_NO_EVENT_NEWS_REASONS,True,True,ALLOW,HEALTHY_FOLLOW_THROUGH,HEALTHY,64,passed,1,,,8.69999980927,1.93812152704,1.5,0.43812152704,3.40966589906,3.40966589906,7,2021-05-26,9.08545515251,8.76000022888,0,0,MID_VOL
6,stage2:AGI:202bb1a936de,AGI,IS,2021-05-17,2021-05-18,2021-05-27,APPROX_OHLC_SIGNALDATE_CLOSE_NO_EVENT_NEWS_REASONS,True,True,ALLOW,STRONG_FOLLOW_THROUGH,STRONG,100,passed,1,,,9.14999961853,1.53616352151,1.5,0.03616352151,-1.98598771075,-1.98598771075,7,2021-05-27,8.9955,9.14999961853,-2.6229484276,-2.6229484276,MID_VOL
7,stage2:AGI:202bb1a936de,AGI,IS,2021-09-17,2021-09-20,2021-09-24,APPROX_OHLC_SIGNALDATE_CLOSE_NO_EVENT_NEWS_REASONS,True,False,BLOCK,FAILED_FOLLOW_THROUGH,FAILED,8,failed_follow_through_q_lt_45,1,failed_follow_through_q_lt_45,,7.44999980927,1.51925247579,1.5,0.01925247579,-2.79400617026,-2.79400617026,4,2021-09-24,7.16641507625,7.34999990463,-4.62584598859,-4.62584598859,MID_VOL
8,stage2:AGI:202bb1a936de,AGI,IS,2021-09-20,2021-09-21,2021-09-30,APPROX_OHLC_SIGNALDATE_CLOSE_NO_EVENT_NEWS_REASONS,True,False,BLOCK,FAILED_FOLLOW_THROUGH,FAILED,32,failed_follow_through_q_lt_45,1,failed_follow_through_q_lt_45,,7.51999998093,1.51925247579,1.5,0.01925247579,-4.8029425393,-4.8029425393,7,2021-09-30,7.27636020971,7.61999988556,-8.9238823957,-8.9238823957,MID_VOL
9,stage2:AGI:202bb1a936de,AGI,IS,2021-09-21,2021-09-22,2021-10-01,APPROX_OHLC_SIGNALDATE_CLOSE_NO_EVENT_NEWS_REASONS,True,False,BLOCK,FAILED_FOLLOW_THROUGH,FAILED,0,failed_follow_through_q_lt_45,1,failed_follow_through_q_lt_45,,7.40999984741,1.91734998743,1.5,0.41734998743,-4.77059855428,-4.77059855428,7,2021-10-01,7.11643988562,7.44999980927,-6.84563443096,-6.84563443096,MID_VOL
10,stage2:AGI:202bb1a936de,AGI,IS,2021-09-22,2021-09-23,2021-10-04,APPROX_OHLC_SIGNALDATE_CLOSE_NO_EVENT_NEWS_REASONS,True,False,BLOCK,FAILED_FOLLOW_THROUGH,FAILED,10,failed_follow_through_q_lt_45,1,failed_follow_through_q_lt_45,,7.40000009537,2.01456049932,1.5,0.51456049932,-0.893054148901,-0.893054148901,7,2021-10-04,7.30634494281,7.34999990463,-5.57822928884,-5.57822928884,MID_VOL
11,stage2:AGI:202bb1a936de,AGI,IS,2021-09-23,2021-09-24,2021-10-04,APPROX_OHLC_SIGNALDATE_CLOSE_NO_EVENT_NEWS_REASONS,True,False,BLOCK,FAILED_FOLLOW_THROUGH,FAILED,0,failed_follow_through_q_lt_45,1,failed_follow_through_q_lt_45,,7.17999982834,2.044649225,1.5,0.544649225,2.45738802255,2.45738802255,6,2021-10-04,7.30634494281,7.11000013351,-2.39099962163,-2.39099962163,MID_VOL
