section,exit_reason,holding_sessions,regime,event_count,event_share_pct,mean_holding_sessions,median_holding_sessions,max_holding_sessions,entry_label_miss_count,entry_label_hit_count,avg_return_pct,sample_ticker,sample_entry_date,sample_exit_date,sample_entry_score,sample_exit_score,threshold,period_end_exit,notes
REASON_SUMMARY,SCORE_DROP_BELOW_THRESHOLD,,,2105,99.66856060606061,1.1187648456057007,1,3,786,1319,0.7987978558889944,,,,,,,,position open AND exit_score < decision_threshold; all regular exit_score values were 0.0
REASON_SUMMARY,LABEL_MISS_CONFIRMED,,,0,0,,,,789,1323,,,,,,,,,"789 entries had label_2d3pct=0, but label miss was never an exit trigger"
REASON_SUMMARY,FORCED_PERIOD_END_MARK_TO_MARKET,,,7,0.3314393939393939,0.14285714285714285,0,1,3,4,0.452142680328533,,,,,,,,position remained active at end of regime frame; closed at final D0 close
REASON_SUMMARY,OTHER,,,0,0,,,,,,,,,,,,,,no other exit path observed
HOLDING_REASON_CROSSTAB,SCORE_DROP_BELOW_THRESHOLD,0,,0,0.0,,,,,,,,,,,,,,count by holding_sessions × exit_reason
HOLDING_REASON_CROSSTAB,LABEL_MISS_CONFIRMED,0,,0,0.0,,,,,,,,,,,,,,count by holding_sessions × exit_reason
HOLDING_REASON_CROSSTAB,FORCED_PERIOD_END_MARK_TO_MARKET,0,,6,0.2840909090909091,,,,,,,,,,,,,,count by holding_sessions × exit_reason
HOLDING_REASON_CROSSTAB,OTHER,0,,0,0.0,,,,,,,,,,,,,,count by holding_sessions × exit_reason
HOLDING_REASON_CROSSTAB,SCORE_DROP_BELOW_THRESHOLD,1,,1870,88.54166666666666,,,,,,,,,,,,,,count by holding_sessions × exit_reason
HOLDING_REASON_CROSSTAB,LABEL_MISS_CONFIRMED,1,,0,0.0,,,,,,,,,,,,,,count by holding_sessions × exit_reason
HOLDING_REASON_CROSSTAB,FORCED_PERIOD_END_MARK_TO_MARKET,1,,1,0.04734848484848485,,,,,,,,,,,,,,count by holding_sessions × exit_reason
HOLDING_REASON_CROSSTAB,OTHER,1,,0,0.0,,,,,,,,,,,,,,count by holding_sessions × exit_reason
HOLDING_REASON_CROSSTAB,SCORE_DROP_BELOW_THRESHOLD,2,,220,10.416666666666668,,,,,,,,,,,,,,count by holding_sessions × exit_reason
HOLDING_REASON_CROSSTAB,LABEL_MISS_CONFIRMED,2,,0,0.0,,,,,,,,,,,,,,count by holding_sessions × exit_reason
HOLDING_REASON_CROSSTAB,FORCED_PERIOD_END_MARK_TO_MARKET,2,,0,0.0,,,,,,,,,,,,,,count by holding_sessions × exit_reason
HOLDING_REASON_CROSSTAB,OTHER,2,,0,0.0,,,,,,,,,,,,,,count by holding_sessions × exit_reason
HOLDING_REASON_CROSSTAB,SCORE_DROP_BELOW_THRESHOLD,3,,15,0.7102272727272727,,,,,,,,,,,,,,count by holding_sessions × exit_reason
HOLDING_REASON_CROSSTAB,LABEL_MISS_CONFIRMED,3,,0,0.0,,,,,,,,,,,,,,count by holding_sessions × exit_reason
HOLDING_REASON_CROSSTAB,FORCED_PERIOD_END_MARK_TO_MARKET,3,,0,0.0,,,,,,,,,,,,,,count by holding_sessions × exit_reason
HOLDING_REASON_CROSSTAB,OTHER,3,,0,0.0,,,,,,,,,,,,,,count by holding_sessions × exit_reason
REGIME_REASON_CROSSTAB,SCORE_DROP_BELOW_THRESHOLD,,train,977,46.259469696969695,,,,,,,,,,,,,,count by regime × exit_reason
REGIME_REASON_CROSSTAB,LABEL_MISS_CONFIRMED,,train,0,0.0,,,,,,,,,,,,,,count by regime × exit_reason
REGIME_REASON_CROSSTAB,FORCED_PERIOD_END_MARK_TO_MARKET,,train,0,0.0,,,,,,,,,,,,,,count by regime × exit_reason
REGIME_REASON_CROSSTAB,OTHER,,train,0,0.0,,,,,,,,,,,,,,count by regime × exit_reason
REGIME_REASON_CROSSTAB,SCORE_DROP_BELOW_THRESHOLD,,stress,731,34.61174242424242,,,,,,,,,,,,,,count by regime × exit_reason
REGIME_REASON_CROSSTAB,LABEL_MISS_CONFIRMED,,stress,0,0.0,,,,,,,,,,,,,,count by regime × exit_reason
