feature_id,feature_set,feature_name_or_pattern,expanded_members,input_columns,exact_formula,normalization_or_unit,window_and_timing,source_path,source_line_or_commit,status,notes
PF-001,path_filter,daily_rets_pct,"D-5_ret,D-4_ret,D-3_ret,D-2_ret,D-1_ret",Close,"ret(D-k)=100*(Close[D-k]/Close[D-k-1]-1)",percent,"requires D-6 Close; outputs five returns for D-5..D-1",scripts/research/run_stage2_path_filter.py,227-250,CONFIRMED,"Vector feature; zero substituted when prior close <=0"
PF-002,path_filter,cumulative_ret5_pct,,Close,"100*(Close[D-1]/Close[D-6]-1)",percent,D-6 to D-1,scripts/research/run_stage2_path_filter.py,267;273,CONFIRMED,
PF-003,path_filter,up_days5,,Close,"count(ret(D-k)>0 for k=1..5)",integer 0..5,D-5..D-1,scripts/research/run_stage2_path_filter.py,260;274,CONFIRMED,
PF-004,path_filter,down_days5,,Close,"count(ret(D-k)<0 for k=1..5)",integer 0..5,D-5..D-1,scripts/research/run_stage2_path_filter.py,261;275,CONFIRMED,
PF-005,path_filter,recent_turn_down,,Close,"1 if ret[D-2]>0 and ret[D-1]<0 else 0",binary,D-2 and D-1,scripts/research/run_stage2_path_filter.py,262;276,CONFIRMED,
PF-006,path_filter,high5,,High,"max(High[D-5:D-1])",raw price,D-5..D-1,scripts/research/run_stage2_path_filter.py,251;277,CONFIRMED,"Not directly gated; intermediate for other features"
PF-007,path_filter,low5,,Low,"min(Low[D-5:D-1])",raw price,D-5..D-1,scripts/research/run_stage2_path_filter.py,252;278,CONFIRMED,"Not directly gated; intermediate for close_pos5"
PF-008,path_filter,close_d1,,Close,"Close[D-1]",raw price,D-1,scripts/research/run_stage2_path_filter.py,253;279,CONFIRMED,"Intermediate"
PF-009,path_filter,days_since_high5,,High,"4-argmax_i(High[D-5+i]); 0 means D-1 and 4 means D-5",integer 0..4,D-5..D-1,scripts/research/run_stage2_path_filter.py,254-255;280,CONFIRMED,"First max occurrence is used by Python max over indices"
PF-010,path_filter,days_since_close_high5,,Close,"4-argmax_i(Close[D-5+i])",integer 0..4,D-5..D-1,scripts/research/run_stage2_path_filter.py,268-269;281,CONFIRMED,"Computed and returned but no GA gate references it"
