record_id,target_or_experiment,feature_window,horizon,target,validation_type,result,step0_classification,selector_equivalent,evidence_path,evidence_timestamp_utc,evidence_sha256,notes
V-001,"exact selector: recent 5-day state predicts +3% within 2 trading days and gates candidate_pool",5 trading days,2 trading days,+3%,"OOS/hold-out/backtest search across code Git history and analysis artifacts",NONE_FOUND,NO_VERIFICATION_FOUND,false,"repository + reachable Git history + data/_system/analysis search",2026-07-12,,"No implementation, trained model, score field, threshold, survivor artifact, OOS row, or live call site found"
V-002,S3_target_3pct exit variant,NONE,"+2% trigger checked on entry bar and next bar; +3% sought until normal S2 exit",+3% exit target,"frozen OOS trade and portfolio replay", "OOS K20 CAGR 44.123%, MDD -25.2302%, Sharpe 1.25086 versus S2 CAGR 80.2297%, MDD -21.2911%, Sharpe 1.63396",VERIFIED_FAIL_FOR_EXIT_VARIANT,false,data/_system/analysis/exit_variants_20260707/readout.md,2026-07-07T18:10:56.483746630Z,190b5e9d7ca96745843d4af6d2005819abe090f618c06645669ccef1b7f19acd,"This validates a post-entry exit rule, not a pre-entry 5-day predictor selector; cannot satisfy the Step 0 gate"
V-003,S3_tp2_exit exit variant,NONE,entry bar plus next bar,+2%,"frozen OOS trade and portfolio replay","OOS K20 CAGR 40.0406%, MDD -19.8189%, Sharpe 1.24581 versus S2 CAGR 80.2297%",VERIFIED_FAIL_FOR_EXIT_VARIANT,false,data/_system/analysis/exit_variants_20260707/readout.md,2026-07-07T18:10:56.483746630Z,190b5e9d7ca96745843d4af6d2005819abe090f618c06645669ccef1b7f19acd,"Closest two-bar fixed-return experiment but target is +2%, no 5-day predictive features, and no candidate gating"
V-004,rolling_event2pct_high_FIX,prior 5-day features,next trading day,+2% high event,"252-day rolling train, 21-day step, sequential final periods",17 final survivors,PARTIALLY_VALIDATED_NOT_EQUIVALENT,false,exp_fix_range_predictor_stage2_v3_rolling_event2pct_high_20260704_001/final_survivors.jsonl,2026-07-04T14:56:01.558024Z,,"Detailed final-period metrics were deleted; horizon and target do not match exact selector"
V-005,precision_event2pct_high_FIX,prior 5-day features,next trading day,+2% high event,"precision and signal-rate gates plus final periods",0 final survivors,VERIFIED_FAIL_NOT_EQUIVALENT,false,data/_system/analysis/payoff_predictor_status_20260712/validation_status.csv,2026-07-12T07:04:07.627809932Z,95da9562a6de73aa528e3f23835899490b882e8802d78d7ff3c6c490505cb8af,"Closest predictive family failed when precision constraints were strengthened"
V-006,TP_SL_FIX,prior lag features,next trading day,"TP +2% / SL -1%",rolling Stage2 plus final periods,0 final survivors,VERIFIED_FAIL_NOT_EQUIVALENT,false,data/_system/analysis/payoff_predictor_status_20260712/validation_status.csv,2026-07-12T07:04:07.627809932Z,95da9562a6de73aa528e3f23835899490b882e8802d78d7ff3c6c490505cb8af,"One-day practical label; not two-day +3%"
V-007,TP_ONLY_MPC,prior lag features,next trading day,+2% high hit,rolling Stage2 plus final periods,0 final survivors,VERIFIED_FAIL_NOT_EQUIVALENT,false,data/_system/analysis/payoff_predictor_status_20260712/validation_status.csv,2026-07-12T07:04:07.627809932Z,95da9562a6de73aa528e3f23835899490b882e8802d78d7ff3c6c490505cb8af,"One-day +2% target; not exact selector"
V-008,payoff_5d_final_audit,5 lag days,next trading day,"high >= configurable ATR target and low <=0.7 ATR","train1-3 soft pass, stress validation, OOS final check",results deleted / NOT_STORED,NO_USABLE_VERIFICATION,false,scripts/research/run_payoff_two_gene_fullfeature_stage2_rolling_ga_5d_separate_highlow_soft_nod0_finalaudit_target.py,2026-07-06T04:25:52Z,,"Validation code exists but pass rows and counts are not retained; target is ATR-based next-day payoff"
V-009,target transformation record,5 days initially then 10 days,next trading day,"2% event then range/ATR targets",Git history reconstruction,"first predictor already used next_day; exact 2-day +2~3% target NOT_FOUND",CONFIRMS_NO_EXACT_VERIFICATION,false,data/_system/analysis/payoff_predictor_status_20260712/target_transformation_timeline.csv,2026-07-12T07:04:35.126760686Z,853ae05ce7c63c464f20481b23ae22dff726d7409cdb2fc0157563bfb152cd7b,"No recorded 2-day implementation from which a +3% selector validation could have been produced"
V-010,prior variant forensic conclusion,5-day predictor separate from S1/S2/S3 exit variants,2 trading days,+3%,code and Git connection audit,"exact candidate selector NOT_FOUND and live connection 0 commits",CONFIRMS_NO_EXACT_VERIFICATION,false,data/_system/analysis/experiment_variant_s1s2s3_forensics_20260712/two_day_three_pct_target_map.csv,2026-07-12T07:58:46.560937578Z,2999eb2dc187ccdb39d746bb3637ab5f457b1710d367e7052f4bcd173ecb8095,"Prevents treating S3_target_3pct OOS as selector validation"
