row_type,cause_or_candidate,ticker,status,count,share_of_57,death_cause_count,death_causes,train_precision,stress_precision,oos_precision,train_passed_count,stress_passed_count,oos_passed_count,notes
AGGREGATE,STRESS_PRECISION_FAIL,,,41,0.719298,,,,,,,,,"overlapping cause count; largest raw bottleneck"
AGGREGATE,OOS_PRECISION_FAIL,,,38,0.666667,,,,,,,,,"overlapping cause count"
AGGREGATE,TRAIN_STRESS_GAP_FAIL,,,37,0.649123,,,,,,,,,"train minus stress precision exceeded 20pp"
AGGREGATE,TRAIN_OOS_GAP_FAIL,,,27,0.473684,,,,,,,,,"train minus OOS precision exceeded 20pp"
AGGREGATE,OOS_MIN_PASS_FAIL,,,19,0.333333,,,,,,,,,"original minimum-pass rule retained"
AGGREGATE,STRESS_MIN_PASS_FAIL,,,16,0.280702,,,,,,,,,"original minimum-pass rule retained"
AGGREGATE,TRAIN_PRECISION_FAIL,,,10,0.175439,,,,,,,,,"train floor max(50%,base+10pp) failed"
AGGREGATE,INSUFFICIENT_TRAIN_SIGNALS,,,6,0.105263,,,,,,,,,"GA not trained"
AGGREGATE,OOS_SIGNAL_COUNT_FAIL,,,2,0.035088,,,,,,,,,"regime signal count below 5"
AGGREGATE,STRESS_SIGNAL_COUNT_FAIL,,,1,0.017544,,,,,,,,,"regime signal count below 5"
AGGREGATE,SURVIVOR,,,1,0.017544,,,,,,,,,"AEVA"
PRIMARY,STRESS_PRECISION_FAIL,,,20,0.350877,,,,,,,,,"hierarchical primary cause after train/sample prerequisites"
PRIMARY,STRESS_MIN_SAMPLE_FAIL,,,16,0.280702,,,,,,,,,"hierarchical primary cause"
PRIMARY,TRAIN_GATE_FAIL,,,10,0.175439,,,,,,,,,"hierarchical primary cause"
PRIMARY,INSUFFICIENT_TRAIN_SIGNALS,,,6,0.105263,,,,,,,,,"hierarchical primary cause"
PRIMARY,STRESS_GAP_FAIL,,,2,0.035088,,,,,,,,,"stress precision itself passed but gap exceeded"
PRIMARY,OOS_PRECISION_FAIL,,,1,0.017544,,,,,,,,,"stress passed first"
PRIMARY,OOS_MIN_SAMPLE_FAIL,,,1,0.017544,,,,,,,,,"stress passed first"
PRIMARY,SURVIVOR,,,1,0.017544,,,,,,,,,"AEVA"
ENTITY,stage2:ALGT:402f72d48c3c,ALGT,FAILED_GATE,, ,2,STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL,0.789474,0.357143,0.833333,19,14,6,
ENTITY,stage2:CAT:a752666ee858,CAT,FAILED_GATE,, ,4,TRAIN_PRECISION_FAIL;STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_PRECISION_FAIL,0.454545,0.125,0.4,11,8,5,
