logic_id,logic,source_path_or_commit,line_range,lookback_definition,variant_mapping,classification,live_candidate_path,current_active,status,notes
F5-01,"S1/S2/S3 exit variant core",data/_system/analysis/perday_perstock_20260707/run_perday_perstock_frozen.py,"214-365",NONE,"S1/S2/S3",EXIT_REPLAY,NO,NO,NOT_FOUND,"No rolling(5), tail(5), LOOKBACK=5, 5-day high/low/range, or five-day predictor in variant definitions"
F5-02,"S3 +2% within two bars",data/_system/analysis/perday_perstock_20260707/run_perday_perstock_frozen.py,"22;311-346",FUTURE_ENTRY_BAR_PLUS_NEXT_BAR,"S3",EXIT_TRIGGER,NO,NO,CONFIRMED_NOT_5DAY,"This is two forward bars after entry, not a five-day pre-entry lookback"
F5-03,"range predictor Stage2 components plus recent five-day pattern","commit 3048579f792f0d3d213034c6956f33973cc8130b:scripts/research/run_range_predictor_stage2_v3.py","5-13;42-70;273-325",LOOKBACK=5,"NONE; stage2_v3 is a version label",RESEARCH_PREDICTOR,NO,NO,CONFIRMED,"Uses D-1 through D-5 features; output explicitly research-only and no run_live"
F5-04,"next-day +2% event predictor retains prior five-day features","commit 33605eb80b6a1f25c09aacd2813b4da348f91b8b:scripts/research/run_range_predictor_stage2_v3.py","3-20;38-50",PRIOR_5_DAY_FEATURES,"NONE",RESEARCH_PREDICTOR,NO,NO,CONFIRMED,"Loads b03f39b historical module; no S1/S2/S3 variant linkage"
F5-05,"five-day lag payoff GA final audit",scripts/research/run_payoff_two_gene_fullfeature_stage2_rolling_ga_5d_separate_highlow_soft_nod0_finalaudit_target.py,"1-14;28-34;301-323",FORCED_5_DAY_LAG,"NONE",RESEARCH_PREDICTOR,NO,NO,CONFIRMED,"Next-day ATR payoff target; retained validation result rows are NOT_STORED"
F5-06,"pre-signal five-day path filter",scripts/research/run_stage2_path_filter.py,"238-325",D_MINUS_5_TO_D_MINUS_1,"NONE",RESEARCH_GATE,NO,NO,CONFIRMED_RESEARCH_ONLY,"Uses recent high/low/range/pullback genes; no live wiring found"
F5-07,"MA5 in bullish alignment",engine/core/indicators.py,"19-20;108-112;150-153",ROLLING_CLOSE_MEAN_5,"NONE",LIVE_SCORE_INPUT,YES,YES,CONFIRMED,"Only official live five-day price-state contribution; feeds MA5>MA20>MA60 score"
F5-08,"Volume_MA5 in volume ratio",engine/core/indicators.py,"135-137",ROLLING_VOLUME_MEAN_5,"NONE",LIVE_SCORE_INPUT,YES,YES,CONFIRMED,"Volume score can use current volume divided by five-day average volume"
F5-09,"entry-quality q metrics: ret5, MA5, low5, high5",engine/live/elite_shadow_entry_quality.py,"69-185;221-259",RECENT_5_DAILY_BARS,"NONE",SHADOW_OPEN_REFERENCE_GATE,NO_CANDIDATE_ELIGIBILITY,NO_AS_POOL_GATE,CONFIRMED_SEPARATE,"q<45 is separate from S1/S2/S3 and excluded from candidate eligibility"
F5-10,"current live candidate pool policy",data/_system/ops/live_candidate_slots.py,"343-465",NO_SEPARATE_5DAY_SELECTOR,"NONE",LIVE_CANDIDATE_SELECTION,YES,YES,CONFIRMED,"KEEP gate + evaluate_signal should_buy + final_score sort; five-day effects only arrive indirectly through standard indicators"
