time_utc,commit,event_type,target_path,variant,change_or_decision,reason_or_message,evidence,live_candidate_connection
2026-07-04T12:05:21Z,3048579f792f0d3d213034c6956f33973cc8130b,RESEARCH_CHANGE,scripts/research/run_range_predictor_stage2_v3.py,NONE,"combined Stage2 entry components with recent five-day pattern","고저구간 예측 GA v3를 기존 Stage2 진입 컴포넌트와 최근 5일 패턴 결합 구조로 변경","git commit and historical lines 1-18,42-70",NO
2026-07-04T13:32:11Z,2f4ab8d081e998cf7a98e984b6525893df6f92c2,TARGET_CHANGE,scripts/research/run_range_predictor_stage2_v3.py,NONE,"changed predictor to next-day two-percent up/down event classification","고저폭 GA v3 타깃을 2퍼센트 상방 하방 이벤트 분류로 완화",git commit,NO
2026-07-04T14:22:39Z,33605eb80b6a1f25c09aacd2813b4da348f91b8b,TARGET_CHANGE,scripts/research/run_range_predictor_stage2_v3.py,NONE,"separated next-day upside/downside two-percent events","고저폭 GA v3를 상방 하방 2퍼센트 이벤트 분리 학습 모드로 확장","historical lines 3-20,38-50",NO
2026-07-05T15:30:28Z,b89d24d22a081b93e1f804711f4e65809bafe453,LOOKBACK_CHANGE,scripts/research/run_range_predictor_stage2_v3.py,NONE,"expanded feature lookback from five to ten days","고저구간 Stage2 입력 지표를 5일 lag에서 10일 lag로 확장",git commit,NO
2026-07-05T17:00:36Z,cc58b5adeeccc09af366f68706bf207335aa424b,RESEARCH_CHANGE,scripts/research/run_payoff_two_gene_fullfeature_stage2_rolling_ga_5d_separate_highlow70.py,NONE,"added five-day lag payoff wrapper","최고가 최저가 분리 GA의 5일 lag 실행 wrapper 추가",git commit,NO
2026-07-06T04:25:52Z,e22a445e94931838f98288f517ab3665ae1e8cd9,VALIDATION_CHANGE,scripts/research/run_payoff_two_gene_fullfeature_stage2_rolling_ga_5d_separate_highlow_soft_nod0_finalaudit_target.py,NONE,"added D0 leakage removal and stress/OOS final validation audit","D0 gap 제거와 stress oos 최종검증 감사 wrapper 추가",git commit,NO
2026-07-07T17:17:25.244504Z,NOT_FOUND_UNTRACKED_ARTIFACT,OFFLINE_EXPERIMENT,data/_system/analysis/perday_perstock_20260707/run_perday_perstock_frozen.py,"S1/S2/S3","defined original-TP, no-TP, and +2%-within-two-bars exit variants","file mtime and SHA feef9d9996d4bac4530827a51942f3fd7b307b2e1f927a62bde341961fb00d95","git ls-files and git log returned no tracked commit",NO
2026-07-07T17:48:58.629104Z,NOT_FOUND_UNTRACKED_ARTIFACT,OFFLINE_EXPERIMENT,data/_system/analysis/exit_variants_20260707/run_exit_variants.py,S3_target_3pct,"added +3% target, trail, floor, and momentum exit variants after S3 +2% trigger","file mtime and SHA fc616f4f86c4ae9ac61f8488e8667e3b5fd895d32fea40fc5e4292ce59f23769","git ls-files and git log returned no tracked commit",NO
2026-07-07T18:10:56.483747Z,NOT_FOUND_UNTRACKED_ARTIFACT,OFFLINE_RESULT,data/_system/analysis/exit_variants_20260707/readout.md,S3_variants,"reported variant comparison; later realism audit found optimistic trail inflated","readout mtime and SHA 190b5e9d7ca96745843d4af6d2005819abe090f618c06645669ccef1b7f19acd",artifact evidence,NO
2026-07-08T05:53:14Z,379c6b0195a0777fbacc08b2037f8d9378634945,ADOPTION_DESIGN,data/_system/analysis/s2_auto_design_20260708/readout.md,S2,"selected S2 K=20 final_score priority and no-TP semantics for a separate auto-trader design","S2 자동매매 구현 1단계 설계 산출물 추가","readout lines 10-18,35-37,225-267,409-420",NO_SELECTION_CHANGE
2026-07-08T06:21:18Z,75faf9a5871fe92fa43cb842f79481b0b6ac4825,LIVE_IMPLEMENTATION,"engine/core/exit_policy.py; engine/live/s2_auto_trader.py",S2,"implemented no-TP exit toggle and dry-run auto trader","S2 자동매매 dry-run 경로와 no-TP 청산 토글 구현","changed-file list excludes live_candidate_slots.py, elite_shadow_report.py, and evaluate_candidate",NO_SELECTION_CHANGE
2026-07-09T14:21:27Z,e589e57434b9bef1503cca30a37bd7652acd6f96,OPERATIONS,scripts/live_candidate_slots_guard.sh,NONE,"added daemon restart/monitoring only","실거래 후보 슬롯 데몬 재가동 및 자동 감시 추가","changed files only cron and guard shell",NO_LOGIC_CONNECTION
2026-07-10T09:52:12Z,cb7f48983645933002b11fa07f4c206fe1b1af4e,LIVE_FILTER,engine/live/elite_shadow_report.py,NONE,"added denylist for CE/CDE/BKSY/BOIL candidate generation","CE CDE BKSY BOIL 후보 생성 deny-list 필터 추가",git history,NO_VARIANT_CONNECTION
2026-07-11T14:05:23Z,7d709cb1ddc3c517ad89493c43e6f02a84bfa499,LIVE_POLICY,config,NONE,"disabled direct Event contribution","라이브 direct Event 진입 축 비활성화",git history,NO_VARIANT_CONNECTION
2026-07-11T17:00:51Z,a26e9ce92fcc340c03d0684e7724252569e24e42,LIVE_POLICY,config,NONE,"changed upstream v3/BOIL enforcement to BLOCK","상류 v3·BOIL 게이트를 BLOCK으로 전환",git history,NO_VARIANT_CONNECTION
,NOT_FOUND,CONNECTION_SEARCH,"engine/live/elite_shadow_report.py; engine/live/elite_shadow_trader.py; data/_system/ops/live_candidate_slots.py",S1/S2/S3,"searched history for S1_original, S2_no_take_profit, S3_tp2, tp2_hit_2d, target_3pct, lookback5, and 0.03","git log -G on live candidate paths returned zero commits",CONFIRMED_NOT_CONNECTED
