candidate_id,ticker,first_signal_at,first_signal_price,current_price,current_price_timestamp,event_contribution,non_event_raw_contribution,raw_score,market_multiplier,final_score,threshold,pass_current,off_estimated_score,pass_off_estimated,group,unrealized_return_pct
stage3:BTBT:363898884d44,BTBT,2026-07-07T22:22:21.577113+00:00,1.64,1.6950000524520874,2026-07-10T19:59:53.001495+00:00,11.81,1.6463779590349237,13.456377959034924,1.1044649520832261,14.862097837739288,1.911257702358741,true,1.8183667536363866,false,EVENT_DEPENDENT,3.353661734883384
stage3:BMA:0c978464f9dd,BMA,2026-07-07T22:22:21.577113+00:00,91.65,94.80000305175781,2026-07-10T19:59:53.001495+00:00,10.24,1.96499025677927,12.20499025677927,1.0,12.20499025677927,2.8483915860441122,true,1.96499025677927,false,EVENT_DEPENDENT,3.4369918731672833
stage3:BMI:07d4ee0f7841,BMI,2026-07-07T22:22:21.577113+00:00,147.08,144.3699951171875,2026-07-10T19:59:53.001495+00:00,5.17,1.2955030788241153,6.465503078824115,1.4948964776631555,9.665257778854457,2.4293027201134647,true,1.9366429893359431,false,EVENT_DEPENDENT,-1.8425379948412535
stage3:CRS:8695c9ce3320,CRS,2026-07-09T17:20:33.590054+00:00,600.8599853515625,578.7999877929688,2026-07-10T19:59:53.001495+00:00,4.38,4.660072469611355,9.040072469611355,1.0,9.040072469611355,2.5574757832651467,true,4.660072469611355,true,EVENT_AMPLIFIED,-3.6714040036609275
stage3:BCS:5e7da5a74b01,BCS,2026-07-07T22:22:21.577113+00:00,27.6625,27.469999313354492,2026-07-10T19:59:53.001495+00:00,1.85,4.930297327115024,6.780297327115025,1.0,6.780297327115025,3.3016768173756628,true,4.930297327115024,true,EVENT_AMPLIFIED,-0.6958904171550317
stage3:BNTX:d667608bc166,BNTX,2026-07-07T22:22:21.577113+00:00,94.0,91.4749984741211,2026-07-10T19:59:53.001495+00:00,5.04,1.1417946894515518,6.181794689451552,1.0,6.181794689451552,1.9606991235700824,true,1.1417946894515518,false,EVENT_DEPENDENT,-2.6861718360413844
stage3:ALGT:aec5dd5b1dc1,ALGT,2026-07-07T22:22:21.577113+00:00,110.0,111.12999725341797,2026-07-10T19:59:53.001495+00:00,0.0,3.6907802046505243,3.6907802046505243,1.516561048216129,5.5972934959001375,2.2937281833052667,true,5.5972934959001375,true,EVENT_NONE_OR_NEG,1.027270230379962
stage2:CMC:4f6ee2739add,CMC,2026-07-07T22:22:21.577113+00:00,61.58,62.654998779296875,2026-07-10T19:59:53.001495+00:00,3.37,1.0534528541320283,4.423452854132028,1.0,4.423452854132028,2.390547721639751,true,1.0534528541320283,false,EVENT_DEPENDENT,1.7456946724535127
stage3:BN:d264957fe5f6,BN,2026-07-07T22:22:21.577113+00:00,43.5,43.744998931884766,2026-07-10T19:59:53.001495+00:00,-0.37,4.331113918326717,3.961113918326717,1.0,3.961113918326717,2.6480219613592295,true,4.331113918326717,true,EVENT_NONE_OR_NEG,0.5632159353672783
stage3:BWXT:f195725cb792,BWXT,2026-07-07T22:22:21.577113+00:00,186.21,185.9149932861328,2026-07-10T19:59:53.001495+00:00,2.78,1.010050482430009,3.7900504824300087,1.0,3.7900504824300087,2.015809174011457,true,1.010050482430009,false,EVENT_DEPENDENT,-0.1584268910730824
